,公司代號,公司名稱,發言日期,發言時間,主旨
0,6225,天瀚,106/01/24,14:25:47,公告本公司105年12月份合併財務資訊
1,6225,天瀚,106/02/16,10:44:28,公告本公司106年01月份合併財務資訊
2,6225,天瀚,106/03/20,14:04:57,公告本公司106年02月份合併財務資訊
3,6225,天瀚,106/03/30,16:52:03,公告本公司106年第1次私募普通股訂價相關事宜
4,6225,天瀚,106/03/30,16:54:06,公告本公司董事會決議不分配員工酬勞及董監事酬勞
5,6225,天瀚,106/03/30,16:54:53,公告本公司董事會決議召開106年股東常會相關事宜
6,6225,天瀚,106/03/31,15:16:05,董事會決議股利分派
7,6225,天瀚,106/04/20,15:37:35,公告本公司106年03月份合併財務資訊
8,6225,天瀚,106/04/25,13:04:27,公告本公司106年第一次私募增資實收資本總額 及股數變更登記完成
9,6225,天瀚,106/04/27,11:55:03,公告本公司106年第2次私募普通股訂價相關事宜
10,6225,天瀚,106/04/27,11:56:58,本公司董事會通過，105年股東常會決議之私募現金增資 發行普通股案，剩餘額度不擬繼續執行
11,6225,天瀚,106/04/27,11:57:23,公告本公司董事會決議辦理減資彌補虧損案
12,6225,天瀚,106/04/27,11:58:15,本公司董事會決議以現金增資辦理私募普通股方式籌措資金案
13,6225,天瀚,106/04/27,15:36:23,公告本公司董事會決議減資彌補虧損召開重大訊息說明 記者會內容
14,6225,天瀚,106/05/17,13:12:49,公告本公司106年第二次私募增資實收資本總額 及股數變更登記完成
15,6225,天瀚,106/05/19,10:40:58,公告本公司106年04月份合併財務資訊
16,6225,天瀚,106/06/07,16:10:32,依金融監督管理委員會證券期貨局 證期(發)字第1060017561號函發布更正訊息
17,6225,天瀚,106/06/20,16:05:47,公告本公司106年05月份合併財務資訊
18,6225,天瀚,106/06/22,13:32:17,公告本公司106年股東常會重要決議事項
19,6225,天瀚,106/06/22,13:36:40,公告本公司106年股東常會全面改選董事名單
20,6225,天瀚,106/06/22,13:37:21,公告本公司股東常會通過解除董事之競業禁止事宜
21,6225,天瀚,106/06/22,13:37:53,公告本公司董事會選任董事長
22,6225,天瀚,106/06/22,13:38:45,公告本公司薪酬委員會委員任期屆滿
23,6225,天瀚,106/07/13,13:45:54,更正公開資訊觀測站私募專區年度與期別
24,6225,天瀚,106/07/25,15:07:04,公告補正本公司105年度年報部分內容
25,6225,天瀚,106/07/25,15:07:25,公告本公司106年06月份合併財務資訊
26,6225,天瀚,106/08/11,16:02:00,公告本公司薪資報酬委員會異動
27,6225,天瀚,106/08/24,14:55:45,公告本公司106年07月份合併財務資訊
28,6225,天瀚,106/08/25,11:22:10,本公司辦理減資致債權人公告
29,6225,天瀚,106/08/31,15:53:58,公告本公司董事會通過遷址案
30,6225,天瀚,106/08/31,15:55:02,公告本公司106年第1次私募普通股訂價相關事宜
31,6225,天瀚,106/09/25,11:04:30,公告本公司106年08月份合併財務資訊
32,6225,天瀚,106/10/06,13:45:48,公告更正本公司106年東常會議事錄內容
33,6225,天瀚,106/10/20,11:54:42,公告本公司106年09月份合併財務資訊
34,6225,天瀚,106/10/20,11:57:17,公告更正本公司更正106年度第1期私募案股款或價款 繳納完成日起十五日內應申報相關資訊
35,6225,天瀚,106/11/21,16:16:04,公告本公司106年10月份合併財務資訊
36,6225,天瀚,106/12/08,12:35:47,公告本公司召開法人說明會
37,6225,天瀚,106/12/19,12:20:32,公告本公司106年11月份合併財務資訊
38,6225,天瀚,106/12/27,17:26:37,公告本公司106年第2次私募普通股訂價相關事宜
