,公司代號,公司名稱,發言日期,發言時間,主旨
0,6230,超眾,102/03/25,20:23:01,公告本公司董事會決議通過召開102年股東常會之相關事宜
1,6230,超眾,102/03/25,20:33:38,董事會決議股利分派
2,6230,超眾,102/05/03,14:56:02,公告本公司董事會通過102年第一季合併財務報表。
3,6230,超眾,102/05/03,15:46:22,本公司公告新增背書保證金額達新台幣三千萬元以上 且達本公司最近期財務報表淨值百分之五以上
4,6230,超眾,102/06/05,17:35:46,代子公司昆山巨仲電子有限公司公告新增資金貸與金額 達新臺幣一千萬元以上且達本公司最近期財務報表淨值 百分之二以上
5,6230,超眾,102/06/17,13:15:25,公告本公司102年股東常會重要決議事項
6,6230,超眾,102/06/18,11:38:18,澄清有關媒體對本公司第三季營收成長之報導
7,6230,超眾,102/07/15,13:01:43,公告蘇力颱風對本公司財務及業務無重大影響。
8,6230,超眾,102/07/19,16:02:33,補正本公司101年度年報資料。
9,6230,超眾,102/08/09,18:57:58,公告本公司董事會決議除息基準日
10,6230,超眾,102/08/22,17:10:50,公告潭美颱風來襲對本公司財務或業務並無重大影響
11,6230,超眾,102/09/30,11:41:24,澄清102年9月30日工商時報B3版報導。
12,6230,超眾,102/10/21,11:40:09,澄清102年10月19日工商時報B3版報導。
13,6230,超眾,102/10/29,16:35:06,代子公司昆山巨仲電子有限公司公告監事異動
14,6230,超眾,102/11/08,14:42:29,公告本公司董事會決議新增資金貸與金額達新臺幣 一千萬元以上且達本公司最近期財務報表淨值百分 之二以上
15,6230,超眾,102/12/31,10:45:52,澄清102年12月31日自由時報C1版報導。
