,公司代號,公司名稱,發言日期,發言時間,主旨
0,6235,華孚,109/01/03,14:00:16,新聞稿-華孚一○八年十二月自結合併營收為新台幣1.95億元
1,6235,華孚,109/01/21,17:12:24,代子公司華孚精密科技(馬鞍山)有限公司公告向關係人 取得營業用之機器設備交易金額達新臺幣3億元以上
2,6235,華孚,109/01/21,17:13:37,代子公司昆山華復精密金屬有限公司公告出售營業用 之機器設備予與關係人交易金額達新臺幣3億元以上
3,6235,華孚,109/01/22,14:21:33,公告本公司新增對Waffer International Limited背書保證 金額達新臺幣三千萬元以上且達本公司最近期財務報表淨值 百分之五以上
4,6235,華孚,109/01/30,17:09:40,有關新型冠狀病毒疫情影響之說明
5,6235,華孚,109/02/05,15:28:19,新聞稿-華孚一○九年一月自結合併營收為新台幣1.72億元
6,6235,華孚,109/02/10,17:25:04,公告本公司新增對Waffer International Limited背書保證 金額達新臺幣三千萬元以上且達本公司最近期財務報表 淨值百分之五以上
7,6235,華孚,109/02/11,18:18:34,代子公司華孚精密科技(馬鞍山)有限公司公告復工事宜
8,6235,華孚,109/02/14,14:56:30,公告本公司新增對Waffer International Limited背書保證 金額達新臺幣三千萬元以上且達本公司最近期財務報表 淨值百分之五以上
9,6235,華孚,109/02/26,14:44:12,公告本公司董事會決議召開109年股東常會相關事宜
10,6235,華孚,109/02/26,14:48:32,公告本公司董事會決議不分派股利事宜
11,6235,華孚,109/02/27,17:47:28,新聞稿-華孚一○八年度稅後淨損新台幣5.04億元， 每股稅後虧損3.00元
12,6235,華孚,109/03/05,14:09:56,新聞稿-華孚一○九年二月自結合併營收為新台幣1.15億元
13,6235,華孚,109/03/12,16:25:08,公告本公司新增對Waffer International Limited背書保證 金額達新臺幣三千萬元以上且達本公司最近期財務報表 淨值百分之五以上
14,6235,華孚,109/03/25,13:48:16,更正本公司108年第四季個體財務報告重要會計項目 明細表九之附註資訊
15,6235,華孚,109/04/06,14:39:39,新聞稿-華孚一○九年三月自結合併營收為新台幣1.63億元
16,6235,華孚,109/04/15,18:19:31,公告本公司董事會決議處分不動產予關係人
17,6235,華孚,109/04/15,18:23:23,公告本公司共同執行長及執行長變動
18,6235,華孚,109/04/15,18:26:57,公告本公司總經理異動
19,6235,華孚,109/04/15,20:40:19,新聞稿-華孚科技董事會決議通過處分桃園大智路土地及 廠房予關係人
20,6235,華孚,109/04/24,16:16:00,公告本公司新增對Waffer International Limited背書保證 金額達新臺幣三千萬元以上且達本公司最近期財務報表 淨值百分之五以上
21,6235,華孚,109/04/24,16:16:34,代子公司Waffer International Limited公告新增對華孚科 技股份有限公司背書保證金額達新臺幣三千萬元以上且 達本公司最近期財務報表淨值百分之五以上
22,6235,華孚,109/05/05,14:15:07,新聞稿-華孚一○九年四月自結合併營收為新台幣1.27億元
23,6235,華孚,109/05/13,14:46:07,新聞稿-華孚一○九年第一季稅後淨損新台幣2347萬元， 每股稅後虧損0.14元
24,6235,華孚,109/05/22,13:43:07,代子公司Waffer International Limited公告新增資金貸與 金額達新臺幣一千萬元以上且達本公司最近期財務報表 淨值百分之二以上
25,6235,華孚,109/05/27,14:05:09,新聞稿-代子公司華孚精密科技(馬鞍山)有限公司公告 二期建設舉行開工典禮
26,6235,華孚,109/06/03,14:13:16,新聞稿-華孚一○九年五月自結合併營收為新台幣1.21億元
27,6235,華孚,109/06/03,15:50:05,係因本公司有價證券於集中交易市場達公布注意交易資訊 標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。
28,6235,華孚,109/06/08,13:57:04,代子公司Burton Consultants Limited公告新增資金貸與 金額達新臺幣一千萬元以上且達本公司最近期財務報表 淨值百分之二以上
29,6235,華孚,109/06/16,14:06:22,公告本公司新增對Waffer International Limited背書保證 金額達新臺幣三千萬元以上且達本公司最近期財務報表 淨值百分之五以上
30,6235,華孚,109/06/18,14:35:40,公告本公司109年股東常會重要決議
31,6235,華孚,109/06/18,14:37:22,公告本公司109年股東會決議解除董事競業禁止之限制案
32,6235,華孚,109/06/24,13:41:00,代子公司Burton Consultants Limited公告新增資金貸與 金額達新臺幣一千萬元以上且達本公司最近期財務報表 淨值百分之二以上
33,6235,華孚,109/07/03,14:16:33,新聞稿-華孚一○九年六月自結合併營收為新台幣1.33億元
34,6235,華孚,109/08/05,14:38:24,新聞稿-華孚一○九年七月自結合併營收為新台幣1.49億元
35,6235,華孚,109/08/13,17:33:44,新聞稿-華孚一○九年上半年度稅後淨利新台幣5.65億元， 每股稅後盈餘3.35元
36,6235,華孚,109/08/26,13:58:20,公告本公司新增對Waffer International Limited背書保證 金額達新臺幣三千萬元以上且達本公司最近期財務報表 淨值百分之五以上
37,6235,華孚,109/09/04,14:06:49,新聞稿-華孚一○九年八月自結合併營收為新台幣1.84億元
38,6235,華孚,109/09/15,15:17:09,公告本公司新增對Waffer International Limited背書保證 金額達新臺幣三千萬元以上且達本公司最近期財務報表 淨值百分之五以上
39,6235,華孚,109/09/30,17:27:00,代子公司昆山華復精密金屬有限公司公告新增資金貸與 金額達新臺幣一千萬元以上且達本公司最近期財務報表 淨值百分之二以上
40,6235,華孚,109/10/05,15:29:41,新聞稿-華孚一○九年九月自結合併營收為新台幣1.99億元
41,6235,華孚,109/10/15,13:56:06,代子公司Waffer International Limited公告新增資金貸與 金額達新臺幣一千萬元以上且達本公司最近期財務報表 淨值百分之二以上
