,公司代號,公司名稱,發言日期,發言時間,主旨
0,6257,矽格,101/02/21,18:12:27,本公司買回公司股份期間屆滿之相關資訊
1,6257,矽格,101/02/29,18:02:58,公告本公司薪酬委員異動
2,6257,矽格,101/03/09,17:55:11,董事會擬議發放現金每股約1.64元(含盈餘及資本公積)
3,6257,矽格,101/03/09,17:57:15,董事會決議召開股東常會
4,6257,矽格,101/03/09,17:58:44,公告本公司董事會委任薪酬委員
5,6257,矽格,101/03/09,18:02:13,本公司董事會決議通過一○○年財務報表(含合併 財務報表)並上傳電子書
6,6257,矽格,101/03/12,14:27:18,澄清工商時報B3版之報導
7,6257,矽格,101/05/14,14:58:26,澄清經濟日報C3版之報導
8,6257,矽格,101/06/06,17:29:00,本公司股東常會決議
9,6257,矽格,101/06/06,17:30:58,公告本公司董事會決議訂定配息基準日
10,6257,矽格,101/06/12,17:35:51,近日豪大雨對於公司財務業務之影響
11,6257,矽格,101/06/15,14:50:16,矽格湖口廠產能提前於三天內完全恢復
12,6257,矽格,101/08/15,17:22:08,對於聯合晚報報導之說明
13,6257,矽格,101/08/21,18:40:31,公告本公司受邀擔任麥瑟半導體(股)公司私募普通股應募人
14,6257,矽格,101/09/21,17:52:48,本公司董事會決議解除董事競業限制及經理人 競業禁止之行為
15,6257,矽格,101/12/10,14:41:27,更正申報本公司資金貸與他人相關資訊
16,6257,矽格,101/12/27,18:25:20,本公司董事會決議通過102年資本支出預算
