,公司代號,公司名稱,發言日期,發言時間,主旨
0,6277,宏正,109/01/08,17:02:55,宏正108年12月合併營收新台幣4.16億元
1,6277,宏正,109/01/16,15:46:25,董事會決議解除經理人競業禁止之限制
2,6277,宏正,109/01/30,08:55:15,公告武漢肺炎對本公司財務業務無重大影響
3,6277,宏正,109/02/06,17:04:14,宏正109年1月合併營收新台幣3.79億元
4,6277,宏正,109/02/11,17:43:24,補充新型冠狀病毒疫情復工情形說明
5,6277,宏正,109/02/26,16:34:20,公告本公司109年3月12日召開線上法人說明會
6,6277,宏正,109/03/05,17:01:57,宏正109年2月合併營收新台幣3.79億元
7,6277,宏正,109/03/10,16:36:47,董事會決議召開109年股東常會
8,6277,宏正,109/03/10,16:37:08,公告董事會決議股利分派
9,6277,宏正,109/03/10,16:37:25,本公司董事會通過108年度合併財務報告及個體財務報告
10,6277,宏正,109/04/01,18:20:57,公告處分有價證券
11,6277,宏正,109/04/08,15:32:20,宏正109年3月合併營收新台幣3.95億元
12,6277,宏正,109/04/14,17:05:45,公告處分有價證券
13,6277,宏正,109/04/22,15:47:58,公告本公司109年5月7日召開線上法人說明會
14,6277,宏正,109/04/23,18:09:28,公告處分有價證券
15,6277,宏正,109/04/29,18:33:07,代重要子公司ATEN Technology公告董事會決議通過現金增資
16,6277,宏正,109/04/29,18:33:39,代重要子公司ATEN Technology公告董事會決議召開股東常會
17,6277,宏正,109/04/30,16:02:34,代重要子公司ATEN Technology公告股東會重要決議事項
18,6277,宏正,109/05/01,11:39:08,代重要子公司ATEN US HOLDING 公告董事會決議召開股東常會
19,6277,宏正,109/05/01,11:39:42,代重要子公司ATEN US HOLDING公告董事會決議通過現金增資
20,6277,宏正,109/05/05,17:23:28,代重要子公司ATEN US HOLDING公告股東會重要決議事項
21,6277,宏正,109/05/05,17:25:18,公告本公司提報董事會109年第1季合併財務報告
22,6277,宏正,109/05/05,17:25:42,公告本公司設置公司治理主管
23,6277,宏正,109/05/05,17:27:20,"公告本公司董事會決議通過增資子公司ATEN Computer Products Co., Ltd."
24,6277,宏正,109/05/05,17:32:54,公告董事會決議109年第一次暫不分派股利
25,6277,宏正,109/05/07,14:02:21,公告說明處分有價證券處理情形
26,6277,宏正,109/05/07,18:08:29,宏正109年4月合併營收新台幣3.62億元
27,6277,宏正,109/06/04,16:57:53,宏正109年5月合併營收新台幣3.4億元
28,6277,宏正,109/06/16,11:32:39,公告本公司股東會重大決議事項
29,6277,宏正,109/06/16,11:33:30,公告本公司董事會通過董事長續任
30,6277,宏正,109/06/16,11:34:47,公告本公司109年股東常會改選董事(含獨立董事)當選名單
31,6277,宏正,109/06/16,11:35:27,公告本公司設置審計委員會
32,6277,宏正,109/06/16,16:07:58,公告本公司股東常會決議解除新任董事競業限制
33,6277,宏正,109/06/16,18:47:07,公告本公司薪酬委員會委員任期屆滿
34,6277,宏正,109/07/01,17:57:24,"代重要子公司TOPMOST INTERNATIONAL CO., LTD. 董事會公告決議發放股利"
35,6277,宏正,109/07/07,16:10:11,宏正109年6月合併營收新台幣3.81億元
36,6277,宏正,109/07/10,15:19:20,公告本公司董事會決議配發現金股利基準日
37,6277,宏正,109/07/10,18:56:36,公告本公司董事會委任薪資報酬委員會委員
38,6277,宏正,109/08/03,15:52:34,公告本公司109年8月20日召開線上法人說明會
39,6277,宏正,109/08/06,15:57:50,宏正109年7月合併營收新台幣3.94億元
40,6277,宏正,109/08/11,15:46:57,公告本公司提報董事會109年第2季合併財務報告
41,6277,宏正,109/08/11,15:47:25,公告董事會決議109年第二季股利分派
42,6277,宏正,109/09/08,16:56:41,宏正109年8月合併營收新台幣4.25億元
43,6277,宏正,109/09/22,15:13:06,本公司受邀參加Institutional Capital Advisory舉辦之Asia Insights Forum
44,6277,宏正,109/10/08,16:24:15,宏正109年9月合併營收新台幣4.01億元
