,公司代號,公司名稱,發言日期,發言時間,主旨
0,6278,台表科,103/01/06,17:03:17,台表科102年12月份自結合併營收為新臺幣29.75億元
1,6278,台表科,103/01/06,17:03:44,公告本公司之重要子公司峻凌國際控股有限公司102年12月份自結 合併營收
2,6278,台表科,103/01/06,17:04:16,初次上市公司承諾事項至102年第4季止之執行情形
3,6278,台表科,103/02/05,10:40:13,說明工商時報103年2月5日有關本公司之報導
4,6278,台表科,103/02/07,17:32:54,台表科103年1月份自結合併營收為新臺幣27.88億元
5,6278,台表科,103/02/07,17:33:26,公告本公司之重要子公司峻凌國際控股有限公司103年1月份自結 合併營收
6,6278,台表科,103/03/05,17:59:22,台表科103年2月份自結合併營收為新臺幣20.43億元
7,6278,台表科,103/03/05,18:00:33,公告本公司之重要子公司峻凌國際控股有限公司103年2月份自結 合併營收
8,6278,台表科,103/03/17,20:22:46,公告本公司董事會決議召開103年股東常會相關事宜
9,6278,台表科,103/03/17,20:23:25,代本公司之重要子公司峻凌國際控股有限公司公告 103年股東週年大會事宜
10,6278,台表科,103/03/17,20:24:17,公告本公司董事會決議盈餘轉增資發行新股相關事宜
11,6278,台表科,103/03/17,20:25:23,代重要子公司Regent Manner Limited及 Regent Manner (BVI) Limited公告董事會決議發放股利事宜
12,6278,台表科,103/03/17,20:29:18,董事會決議股利分派
13,6278,台表科,103/03/17,20:35:15,代本公司之重要子公司峻凌國際控股有限公司公告董事會 決議派付股息
14,6278,台表科,103/03/17,20:40:02,本公司及子公司採用國際會計準則公報（以下簡稱IFRSs） 前開財務影響公告與後續評估差異說明
15,6278,台表科,103/03/18,18:39:54,本公司及子公司採用國際會計準則公報（以下簡稱IFRSs） 前開財務影響公告與後續評估差異說明(更正公告)
16,6278,台表科,103/04/07,16:58:11,台表科103年3月份自結合併營收為新臺幣28.42億元
17,6278,台表科,103/04/07,16:59:11,公告本公司之重要子公司峻凌國際控股有限公司103年3月份自結 合併營收
18,6278,台表科,103/04/07,16:59:59,初次上市公司承諾事項至103年第1季止之執行情形
19,6278,台表科,103/04/09,20:39:14,代本公司之重要子公司峻凌國際控股有限公司公告103年第1季預期 獲利減少
