,公司代號,公司名稱,發言日期,發言時間,主旨
0,6281,全國電,108/02/27,11:22:11,公告本公司內部稽核主管異動
1,6281,全國電,108/03/08,18:47:25,本公司董事會決議召開股東常會
2,6281,全國電,108/03/08,18:47:50,本公司董事會通過107年度財務報告
3,6281,全國電,108/03/08,18:51:37,107年股利分派情形
4,6281,全國電,108/05/10,17:01:04,公告本公司內部稽核主管異動
5,6281,全國電,108/06/14,13:41:12,公告本公司108年股東常會重要決議事項
6,6281,全國電,108/06/14,13:41:45,本公司董事會核准任命第四屆薪酬委員會委員
7,6281,全國電,108/06/14,13:42:19,公告本公司改選董監事名單
8,6281,全國電,108/06/18,11:24:39,公告本公司108年除息基準日
9,6281,全國電,108/08/12,15:22:43,公告本公司財務暨會計主管異動
10,6281,全國電,108/09/04,11:36:56,公告本公司召開法人說明會相關事宜
11,6281,全國電,108/11/01,16:46:21,公告本公司發言人異動
