,公司代號,公司名稱,發言日期,發言時間,主旨
0,6282,康舒,102/01/15,11:10:21,澄清媒體報導
1,6282,康舒,102/01/18,10:58:49,澄清媒體報導
2,6282,康舒,102/02/27,14:56:21,康舒科技股份有限公司舉辦101年營運結果法人說明會
3,6282,康舒,102/03/04,10:03:42,澄清媒體報導
4,6282,康舒,102/03/05,14:21:55,"公告本公司參加美林證券舉辦之『Taiwan, Technology & Beyond 2013 Conference』"
5,6282,康舒,102/03/11,15:35:32,本公司董事會通過101年度財務報表
6,6282,康舒,102/03/11,15:35:46,董事會決議召開102年股東常會
7,6282,康舒,102/03/11,15:36:05,公告董事會決議發放股利事宜
8,6282,康舒,102/03/11,15:55:15,本公司董事會通過經由第三地區投資事業參與大陸地區 「滬華五金電子(吳江)有限公司」增資案
9,6282,康舒,102/03/11,19:12:45,澄清媒體報導
10,6282,康舒,102/03/12,11:17:24,澄清媒體報導
11,6282,康舒,102/04/17,15:44:05,知悉董事及經理人從事大陸地區之競業情形
12,6282,康舒,102/04/30,18:19:39,知悉董事從事大陸地區之競業情形
13,6282,康舒,102/05/08,15:06:10,公告本公司102年度第一季合併財務報告
14,6282,康舒,102/05/08,15:10:23,本公司董事會通過解除經理人競業禁止之限制案
15,6282,康舒,102/05/29,10:44:06,澄清媒體報導
16,6282,康舒,102/06/03,15:02:44,公告102/06/02南投地震對本公司財務及業務無重大影響
17,6282,康舒,102/06/06,17:10:37,更正本公司102年3月份衍生性商品交易資訊
18,6282,康舒,102/06/19,13:48:07,公告本公司一○二年股東常會重要決議事項
19,6282,康舒,102/06/19,13:48:17,本公司股東常會通過解除董事競業禁止之限制
20,6282,康舒,102/06/25,09:28:27,澄清媒體報導
21,6282,康舒,102/07/30,15:33:13,康舒科技股份有限公司舉辦102年上半年度營運結果法人說明會
22,6282,康舒,102/08/08,15:58:47,公告本公司102年度第二季合併財務報告
23,6282,康舒,102/08/08,15:59:19,公告本公司董事會決議配息基準日
24,6282,康舒,102/08/09,10:23:05,澄清媒體報導
25,6282,康舒,102/08/13,14:32:51,公告本公司現金股利配息率調整
26,6282,康舒,102/08/30,15:12:56,澄清媒體報導
27,6282,康舒,102/10/23,10:46:36,澄清媒體報導
28,6282,康舒,102/10/28,14:56:36,康舒科技股份有限公司舉辦102年前三季營運結果法人說明會
29,6282,康舒,102/11/08,15:44:23,公告本公司102年第三季合併財務報告
30,6282,康舒,102/11/10,15:33:54,澄清媒體報導
31,6282,康舒,102/11/10,15:34:02,澄清媒體報導
32,6282,康舒,102/11/22,14:03:47,本公司受邀參加臺灣證券交易所舉辦之上市公司業績發表會
33,6282,康舒,102/11/27,07:40:06,澄清媒體報導
34,6282,康舒,102/12/05,14:07:47,本公司受邀參加凱基證券舉辦之2014年台灣投資論壇(KGI Taiwan Corporate Day)
35,6282,康舒,102/12/31,17:37:28,知悉董事及經理人從事大陸地區之競業情形
