,公司代號,公司名稱,發言日期,發言時間,主旨
0,6289,華上,106/01/13,17:17:29,公告本公司105年12月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
1,6289,華上,106/01/24,16:41:53,公告本公司董事會決議召開106年股東常會事宜
2,6289,華上,106/02/16,16:45:57,公告本公司106年01月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
3,6289,華上,106/02/21,15:22:04,係因本公司有價證券於集中交易市場達公布注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別瞭解
4,6289,華上,106/03/08,16:27:05,董事會決議不分派股利
5,6289,華上,106/03/08,16:31:00,補充公告本公司106年股東常會召集事由
6,6289,華上,106/03/14,16:47:36,公告本公司106年02月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
7,6289,華上,106/03/21,16:13:43,更正本公司105年合併及個體財報之會計師查核報告部份內容
8,6289,華上,106/04/14,15:32:55,公告本公司106年03月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
9,6289,華上,106/04/19,17:26:32,公告本公司106年股東常會重要決議事項
10,6289,華上,106/04/25,17:04:47,公告本公司擬出售轉投資公司華信光電科技(股)公司持股予關係人 華冠通訊(股)公司
11,6289,華上,106/05/22,16:07:03,公告本公司106年04月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
12,6289,華上,106/06/15,15:04:41,公告本公司106年05月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
13,6289,華上,106/06/20,15:31:04,係因本公司有價證券於集中交易市場達公布注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別瞭解
14,6289,華上,106/07/13,15:32:36,公告本公司106年06月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
15,6289,華上,106/07/19,15:43:45,公告補正本公司105年度年報部分資料
16,6289,華上,106/08/25,15:41:00,公告本公司106年07月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
17,6289,華上,106/08/28,16:27:45,代子公司Easy Creation International Development Limited 依公開發行公司資金貸與及背書保證處理準則第二十二條第一項 第一款公告資金貸與事宜
18,6289,華上,106/09/12,16:04:26,公告本公司106年08月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
19,6289,華上,106/10/18,16:33:11,公告本公司106年09月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
20,6289,華上,106/10/20,16:20:28,公告本公司新竹二廠火災情形說明
21,6289,華上,106/10/20,17:26:55,公告本公司與東芝(股)公司專利侵權訴訟案達成和解
22,6289,華上,106/10/24,15:30:32,更正本公司106年09月份資金貸與明細表資訊
23,6289,華上,106/11/16,16:56:32,公告本公司106年10月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
24,6289,華上,106/12/12,16:41:43,公告本公司106年11月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
