,公司代號,公司名稱,發言日期,發言時間,主旨
0,6289,華上,108/01/17,16:00:22,公告本公司107年12月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
1,6289,華上,108/02/20,16:01:40,公告本公司108年01月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
2,6289,華上,108/03/14,17:02:10,公告本公司108年02月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
3,6289,華上,108/03/26,16:56:44,公告本公司董事會決議召開108年股東常會事宜
4,6289,華上,108/03/26,17:03:25,董事會決議不分派股利
5,6289,華上,108/04/03,17:15:24,代子公司華上光電(江蘇)有限公司依公開發行公司資金貸與及 背書保證處理準則第二十二條第一項第一款公告資金貸與事宜
6,6289,華上,108/04/08,15:57:07,係因本公司有價證券於集中交易市場達公布注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別瞭解
7,6289,華上,108/04/24,16:09:32,公告本公司108年03月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
8,6289,華上,108/05/08,16:00:20,公告本公司董事會決議辦理減資彌補虧損
9,6289,華上,108/05/08,16:01:20,補充公告本公司108年股東常召集事由
10,6289,華上,108/05/17,16:09:32,公告本公司108年04月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
11,6289,華上,108/05/29,18:02:07,代子公司華上光電(江蘇)有限公司公告取消對本公司之資金 貸與額度
12,6289,華上,108/05/29,18:04:18,代子公司華上光電(江蘇)有限公司依公開發行公司資金貸與及 背書保證處理準則第二十二條第一項第一款公告資金貸與事宜
13,6289,華上,108/06/13,17:08:55,代子公司華上光電(江蘇)有限公司依公開發行公司資金貸與及 背書保證處理準則第二十二條第一項第一款公告資金貸與事宜
14,6289,華上,108/06/17,16:49:32,公告本公司108年05月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
15,6289,華上,108/06/21,16:13:10,公告本公司108年股東常會重要決議事項
16,6289,華上,108/06/21,16:14:01,公告本公司108年股東常會通過解除董事競業禁止之限制
17,6289,華上,108/06/21,16:15:10,本公司辦理減資致債權人公告
18,6289,華上,108/07/16,16:36:18,公告本公司108年06月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
19,6289,華上,108/07/23,15:35:25,公告補正本公司107年度年報部分資料
20,6289,華上,108/08/19,16:44:22,公告本公司108年07月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
21,6289,華上,108/09/17,15:37:19,公告本公司108年08月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
22,6289,華上,108/10/16,15:55:23,公告本公司108年09月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
23,6289,華上,108/10/29,17:11:03,公告本公司獨立董事辭任
24,6289,華上,108/10/29,17:11:30,公告本公司審計委員會及薪資報酬委員會委員辭任
25,6289,華上,108/11/06,17:06:06,公告本公司召開法人說明會相關資訊
26,6289,華上,108/11/11,16:37:08,公告本公司董事會決議通過股務委託代理事宜
27,6289,華上,108/11/14,16:58:05,公告本公司108年10月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
28,6289,華上,108/11/14,16:58:48,公告本公司股務室遷址事宜
29,6289,華上,108/12/18,16:09:00,公告本公司108年11月高流動資產、短期借款、應付短期票券 及一年內到期之長期負債等財務資訊
30,6289,華上,108/12/27,15:35:46,公告本公司董事會訂定減資基準日及減資換發股票作業計畫
31,6289,華上,108/12/27,15:36:43,公告本公司董事會決議補行委任薪資報酬委員會委員
