,公司代號,公司名稱,發言日期,發言時間,主旨
0,6409,旭隼,102/01/08,11:54:53,澄清有關大眾媒體報導-工商時報1月8日B5版
1,6409,旭隼,102/01/18,16:48:24,本公司受邀參加元大寶來證券舉辦之法說會
2,6409,旭隼,102/02/25,17:50:36,公告本公司董事會決議召開102年股東常會事宜
3,6409,旭隼,102/02/25,17:50:49,本公司董事會決議101年度第1次限制員工權利新股之資增基準日
4,6409,旭隼,102/03/06,11:26:10,澄清有關大眾媒體報導-經濟日報3月6日C5版
5,6409,旭隼,102/03/25,09:51:32,澄清有關大眾媒體報導-工商時報3月25日C4版
6,6409,旭隼,102/03/26,19:06:21,補充公告本公司董事會決議召開102年股東常會相關事宜
7,6409,旭隼,102/03/26,19:06:52,公告本公司董事會決議辦理102年度第一次現金增資發行新股
8,6409,旭隼,102/03/26,19:07:11,公告本公司董事會決議盈餘轉增資發行新股
9,6409,旭隼,102/03/26,19:14:31,董事會決議股利分派
10,6409,旭隼,102/03/27,10:44:03,澄清媒體報導-工商時報3月27日B1版
11,6409,旭隼,102/03/27,17:16:08,公告102年3月27日地震對本公司業務及財務並無影響
12,6409,旭隼,102/04/10,16:14:20,本公司受邀參加元大寶來證券舉辦之興櫃公司法人說明會
13,6409,旭隼,102/05/22,15:01:41,公告本公司102年股東常會重要決議事項
14,6409,旭隼,102/06/03,10:14:56,公告102年6月2日地震對本公司業務及財務無重大影響。
15,6409,旭隼,102/06/06,21:25:14,公告本公司董事會決議102年現金增資認股基準日暨相關事宜
16,6409,旭隼,102/06/06,21:25:55,公告本公司董事會決議102年除權息基準日等相關事宜
17,6409,旭隼,102/06/21,10:40:02,公告本公司102年現金增資委託代收價款及專戶存儲價款行庫
18,6409,旭隼,102/07/08,21:00:57,公告本公司102年現金增資全體董事、監察人放棄認購股數 達得認購股數1/2以上，並洽特定人認購事宜。
19,6409,旭隼,102/07/09,15:31:55,本公司102年現金增資股款催繳公告
20,6409,旭隼,102/07/11,14:26:49,公告本公司102年現金增資收足股款暨增資基準日
21,6409,旭隼,102/07/15,09:07:27,公告蘇力颱風對本公司業務及財務並無影響
22,6409,旭隼,102/07/19,16:24:32,公告本公司取得兆豐國際寶鑽貨幣市場基金相關資料
23,6409,旭隼,102/07/22,15:21:11,公告修正增補本公司101年度年報部分資料
24,6409,旭隼,102/08/09,16:08:14,本公司102年現金增資催繳期間屆滿公告
25,6409,旭隼,102/08/09,18:38:35,本公司董事會通過民國ㄧ○二年第二季合併財務報表
26,6409,旭隼,102/08/22,11:35:35,公告潭美颱風對本公司業務及財務並無影響
27,6409,旭隼,102/08/22,11:35:51,澄清媒體報導
28,6409,旭隼,102/08/23,17:16:02,公告本公司獨立董事辭任
29,6409,旭隼,102/08/23,17:16:15,公告本公司薪酬委員會委員辭任事宜
30,6409,旭隼,102/08/23,17:16:34,公告本公司自行撤回上市申請案
31,6409,旭隼,102/08/23,18:06:44,公告本公司董事會決議召開102年第1次股東臨時會之相關事宜
32,6409,旭隼,102/08/26,17:36:12,修正公告本公司8/23董事會決議召開102年第1次股東臨時會 之相關事宜(更改股東臨時會開會地點)
33,6409,旭隼,102/08/30,10:35:53,公告康芮颱風對本公司業務及財務並無影響
34,6409,旭隼,102/09/26,17:11:41,公告本公司處分兆豐國際寶鑽貨幣市場基金相關資料
35,6409,旭隼,102/10/14,11:22:05,公告本公司102年第1次股東臨時會重要決議事項
36,6409,旭隼,102/10/14,11:22:25,公告本公司補選之新任董事。
37,6409,旭隼,102/10/14,11:22:42,公告本公司102年第1次股東臨時會同意解除新任董事 競業禁止之限制案。
38,6409,旭隼,102/10/14,16:28:59,公告本公司董事會決議補選薪酬委員會委員
39,6409,旭隼,102/10/15,11:12:17,澄清102年10月15日媒體報導
40,6409,旭隼,102/10/18,16:51:05,因應本公司上市申請需要委託簽證會計師出具內控專審報告
41,6409,旭隼,102/11/08,20:22:34,公告本公司董事會通過民國ㄧ○二年第三季合併財務報表
42,6409,旭隼,102/12/24,15:34:02,公告本公司董事會決議辦理現金增資發行新股
43,6409,旭隼,102/12/25,19:37:59,公告本公司取得兆豐國際寶鑽貨幣市場基金
44,6409,旭隼,102/12/25,19:38:16,公告本公司取得統一強棒貨幣市場基金相關資料
