,公司代號,公司名稱,發言日期,發言時間,主旨
0,6412,群電,102/01/03,11:48:34,公告說明有關經濟日報C5版報導本公司去年每股純益可望 逾3元，及今年獲利年增率上看25%。
1,6412,群電,102/01/15,17:57:43,公告本公司總經理異動
2,6412,群電,102/01/15,17:58:48,公告本公司新增研發主管
3,6412,群電,102/01/16,19:20:27,公告本公司董事會決議解除經理人競業禁止限制案
4,6412,群電,102/01/22,18:55:59,公告本公司102年第一次股東臨時會重要決議事項
5,6412,群電,102/01/22,18:57:08,公告本公司102年第一次股東臨時會通過解除新任 獨立董事競業禁止限制案
6,6412,群電,102/01/22,18:58:27,公告本公司102年第一次股東臨時會增補選獨立董事當選名單， 董事變動達三分之一以上。
7,6412,群電,102/02/18,19:17:27,公告本公司從事衍生性商品交易損失達全部契約損 失上限，對公司並無重大影響
8,6412,群電,102/03/14,18:19:15,本公司董事會決議召開102年股東常會公告
9,6412,群電,102/03/14,18:19:29,公告本公司董事會決議發放股利事宜
10,6412,群電,102/03/14,18:19:42,公告本公司董事會重大決議事項
11,6412,群電,102/03/14,18:19:55,公告本公司董事會決議盈餘暨員工紅利轉增資發行新股
12,6412,群電,102/03/29,20:19:19,更正本公司董事會決議召開102年股東常會公告 (討論事項(3)誤植更正)
13,6412,群電,102/04/09,18:24:16,本公司受邀參加法人說明會資訊
14,6412,群電,102/05/06,17:47:51,本公司董事會決議召開102年股東常會公告
15,6412,群電,102/05/06,17:48:19,董事會決議修訂股利分派
16,6412,群電,102/05/06,17:48:47,公告本公司董事會決議修訂盈餘暨員工紅利轉增資發行新股
17,6412,群電,102/05/06,17:50:04,公告本公司董事會決議解除經理人競業禁止限制
18,6412,群電,102/05/06,17:50:25,公告本公司董事會重大決議事項
19,6412,群電,102/06/03,10:30:42,公告102年6月2日地震對本公司財務或業務並無重大影響
20,6412,群電,102/06/18,17:40:07,公告本公司102年股東常會重要決議事項
21,6412,群電,102/06/18,17:40:51,公告本公司董事會重大決議事項
22,6412,群電,102/06/18,17:41:21,公告本公司董事會授權董事長訂定除權息暨增資基準日，及 資本公積配發現金基準日相關事宜。
23,6412,群電,102/06/18,17:50:07,代子公司高效電子(東莞)有限公司公告新增資金貸與 金額達『公開發行公司資金貸與及背書保證處理準則』 第二十二條第一項第三款之標準
24,6412,群電,102/06/18,17:51:18,代子公司群光電能科技(蘇州)有限公司公告新增資金貸與 金額達『公開發行公司資金貸與及背書保證處理準則』第 二十二條第一項第三款之標準
25,6412,群電,102/06/19,15:56:44,公告本公司101年度盈餘分配現金股利之配息基準日及資本公積 配發現金基準日
26,6412,群電,102/06/28,19:42:14,因應本公司上市申請需要委託簽證會計師出具內控專審報告
27,6412,群電,102/07/03,19:35:16,修正101及100年度個別暨合併財務報表會計師查核報告意見 為無保留意見
28,6412,群電,102/07/15,09:44:24,公告蘇力颱風對本公司財務業務並無重大影響
29,6412,群電,102/07/16,17:30:51,公告本公司101年度盈餘分配股票股利之配股基準日相關事宜。
30,6412,群電,102/08/12,18:43:25,公告本公司提報董事會102年第二季經會計師核閱之財務報告
31,6412,群電,102/08/12,18:43:38,本公司依「公開發行公司資金貸與及背書保證處理準則」 第二十五條第一項第一款規定公告
32,6412,群電,102/08/12,18:43:52,本公司依「公開發行公司資金貸與及背書保證處理準則」 第二十五條第一項第二、三及四款規定公告
33,6412,群電,102/08/22,11:19:54,澄清102年8月22日經濟日報C4版有關本公司之報導
34,6412,群電,102/09/04,11:42:00,澄清102年9月4日經濟日報C4版及工商時報B5版有關本公司之報導
35,6412,群電,102/09/05,18:10:03,公告本公司董事會重大決議
36,6412,群電,102/09/05,18:10:52,公告本公司內部稽核主管異動
37,6412,群電,102/09/05,18:11:48,公告本公司董事會決議辦理現金增資發行新股
38,6412,群電,102/09/11,16:20:10,公告更正本公司102年6月份及7月份背書保證資訊揭露明細表
39,6412,群電,102/09/26,09:54:19,公告說明有關近期媒體報導本公司接獲 Sony 遊戲機訂單。
40,6412,群電,102/10/07,11:17:25,澄清102年10月7日經濟日報 A12版有關本公司之報導。
41,6412,群電,102/10/11,17:43:15,公告本公司初次上市現金增資委託代收及存儲價款機構
42,6412,群電,102/10/11,17:46:04,公告本公司股務代理機構名稱、辦公處所及聯絡電話
43,6412,群電,102/10/11,17:48:44,公告本公司股票初次上市前現金增資相關事宜
44,6412,群電,102/10/15,10:24:26,公告本公司召開上市前業績發表會
45,6412,群電,102/10/16,23:36:01,補充公告本公司召開上市前業績發表會
46,6412,群電,102/10/25,15:58:35,公告本公司股票即將終止興櫃交易並轉至證券交易所上市交易
47,6412,群電,102/11/01,15:44:36,公告本公司股票初次上市前現金增資發行新股承銷價格
48,6412,群電,102/11/05,16:08:02,公告本公司辦理股票初次上市過額配售事宜
49,6412,群電,102/11/07,13:09:07,本公司初次上市現金增資案收足股款公告
50,6412,群電,102/11/11,17:11:36,公告本公司於董事會提報102年第三季合併財務報告
51,6412,群電,102/11/18,16:44:25,公告本公司掛牌首五個營業日穩定價格操作結果
52,6412,群電,102/11/20,11:43:55,澄清媒體報導
53,6412,群電,102/11/27,14:44:43,本公司受邀參加臺灣證券交易所股份有限公司所舉辦之業績說明會
54,6412,群電,102/12/23,16:20:26,公告本公司及子公司資金貸與餘額達「公開發行公司資金貸 與及背書保證處理準則」第二十二條第一項第一款規定標準
55,6412,群電,102/12/23,16:20:43,公告本公司及子公司資金貸與達「公開發行公司資金貸與及 背書保證處理準則」第二十二條第一項第二款及第三款之公 告標準
