,公司代號,公司名稱,發言日期,發言時間,主旨
0,6414,樺漢,104/01/07,10:52:01,澄清媒體有關本公司相關報導
1,6414,樺漢,104/02/02,19:31:33,公告本公司發言人及代理發言人異動
2,6414,樺漢,104/02/09,17:52:49,公告本公司董事會決議召開104年股東常會事宜
3,6414,樺漢,104/02/09,18:45:27,公告本公司董事會決議發行國內第一次無擔保轉換公司債
4,6414,樺漢,104/02/09,20:03:23,董事會決議股利分派
5,6414,樺漢,104/04/16,16:12:16,公告本公司國內第一次無擔保轉換公司債之委託代收價款 及存儲專戶契約訂定
6,6414,樺漢,104/05/04,11:44:22,澄清媒體有關本公司相關報導
7,6414,樺漢,104/05/04,17:23:09,本公司國內第一次無擔保轉換公司債收足債款
8,6414,樺漢,104/05/12,15:14:04,公告本公司104年股東會重要決議
9,6414,樺漢,104/05/12,15:14:49,公告本公司股東常會決議通過解除董事競業禁止之限制案
10,6414,樺漢,104/05/12,15:17:17,公告本公司決議配息基準日
11,6414,樺漢,104/05/12,17:58:33,澄清媒體有關本公司相關報導
12,6414,樺漢,104/05/15,18:10:57,公告本公司受邀參加凱基證券股份有限公司所舉辦之法人說明會
13,6414,樺漢,104/05/18,11:17:54,澄清媒體有關本公司相關報導
14,6414,樺漢,104/05/22,17:07:56,公告本公司國內第一次無擔保轉換公司債轉換價格調整
15,6414,樺漢,104/05/22,17:20:51,公告本公司受邀參加元大寶來證券股份有限公司所舉辦之海外法人說明會
16,6414,樺漢,104/08/11,15:56:55,公告本公司財務主管及會計主管異動
17,6414,樺漢,104/08/11,15:58:09,公告本公司發言人及代理發言人異動
18,6414,樺漢,104/08/11,15:59:18,代重要子公司樺成國際投資股份有限公司公告董事會 決議現金增資發行新股事宜
19,6414,樺漢,104/08/12,13:23:57,公告一年內累計取得樺成國際投資股份有限公司股票 達本公司實收資本額百分之二十以上
20,6414,樺漢,104/08/26,10:18:24,澄清媒體有關本公司相關報導
21,6414,樺漢,104/10/05,09:52:52,澄清媒體有關本公司相關報導
22,6414,樺漢,104/10/05,18:17:00,公告本公司受邀參加元大證券股份有限公司所舉辦之法人說明會(地點：台灣證券交易所9樓會議室)
23,6414,樺漢,104/11/06,16:22:32,代重要子公司樺成國際投資股份有限公司公告董事會 決議現金增資發行新股事宜
24,6414,樺漢,104/11/06,16:25:12,公告一年內累計取得樺成國際投資股份有限公司股票 達本公司實收資本額百分之二十以上
25,6414,樺漢,104/11/06,16:27:33,"公告本公司董事會決議投資設立境外子公司 Ennoconn Holdings Co., Ltd."
26,6414,樺漢,104/12/04,09:50:12,澄清媒體有關本公司相關報導
