,公司代號,公司名稱,發言日期,發言時間,主旨
0,6415,矽力-KY,104/01/29,17:05:15,代重要子公司Silergy Semiconductor (Samoa) Limited公告補 充說明取得統晶光電科技股份有限公司股票
1,6415,矽力-KY,104/02/03,18:03:58,公告本公司參與機構投資人說明會
2,6415,矽力-KY,104/02/09,15:33:52,公告本公司參與機構投資人說明會
3,6415,矽力-KY,104/03/10,17:26:12,公告本公司參與機構投資人說明會
4,6415,矽力-KY,104/03/26,18:16:06,公告本公司參加機構投資人說明會
5,6415,矽力-KY,104/03/30,14:02:04,本公司103年第4季度財務報告
6,6415,矽力-KY,104/03/30,14:03:03,本公司董事會決議召開2015年股東常會
7,6415,矽力-KY,104/03/30,14:05:29,本公司董事會決議股利分派
8,6415,矽力-KY,104/03/30,14:06:03,本公司董事會決議發行員工認股權憑證
9,6415,矽力-KY,104/03/30,14:07:22,本公司董事會決議發行限制員工權利新股
10,6415,矽力-KY,104/03/30,18:18:46,公告取得會計師內部控制專案審查報告
11,6415,矽力-KY,104/03/30,19:50:41,公告本公司參與機構投資人說明會
12,6415,矽力-KY,104/04/08,11:56:18,媒體報導說明
13,6415,矽力-KY,104/05/11,16:58:27,本公司104年第1季度財務報告
14,6415,矽力-KY,104/05/13,20:58:52,公告本公司參與機構投資人說明會
15,6415,矽力-KY,104/05/20,18:02:15,公告本公司參與機構投資人說明會
16,6415,矽力-KY,104/05/25,16:24:24,更正本公司103年9月至104年4月資金貸與申報資訊
17,6415,矽力-KY,104/06/18,14:40:43,公告本公司參與機構投資人說明會
18,6415,矽力-KY,104/06/24,17:54:17,公告本公司參與機構投資人說明會
19,6415,矽力-KY,104/06/24,17:54:59,公告本公司2015年股東常會重要決議事項
20,6415,矽力-KY,104/06/24,17:55:55,公告本公司董事會決議現金股利配息基準日
21,6415,矽力-KY,104/07/06,16:37:33,更正本公司104年5月份資金貸與申報作業
22,6415,矽力-KY,104/07/13,10:29:59,公告本公司調整現金股利配息率
23,6415,矽力-KY,104/07/20,16:12:13,公告本公司補正2014年度年報部分內容
24,6415,矽力-KY,104/08/11,16:04:26,公告本公司參加機構投資人說明會
25,6415,矽力-KY,104/08/12,13:31:16,本公司104年第2季度財務報告
26,6415,矽力-KY,104/08/31,16:16:01,公告本公司參加機構投資人說明會
27,6415,矽力-KY,104/08/31,16:16:51,公告本公司參加機構投資人說明會
28,6415,矽力-KY,104/09/07,16:28:32,公告本公司參加機構投資人說明會
29,6415,矽力-KY,104/09/08,14:03:12,公告本公司參加機構投資人說明會
30,6415,矽力-KY,104/09/09,14:25:55,公告本公司參加機構投資人說明會
31,6415,矽力-KY,104/09/23,14:06:26,公告本公司參加機構投資人說明會
32,6415,矽力-KY,104/10/28,21:31:38,公告本公司參加機構投資人說明會
33,6415,矽力-KY,104/11/04,14:09:03,公告本公司參與機構投資人說明會
34,6415,矽力-KY,104/11/10,21:12:43,公告本公司參與機構投資人說明會
35,6415,矽力-KY,104/12/11,17:47:31,本公司擬投資興建總部大樓
36,6415,矽力-KY,104/12/11,17:48:31,本公司董事會決議擬以無形資產和現金於合肥參與投資
37,6415,矽力-KY,104/12/14,10:50:52,更正本公司12月11日公告擬於合肥參與投資案內容第34款
38,6415,矽力-KY,104/12/31,00:00:19,本公司擬向Maxim Integrated.購買智慧電表及能源監控業務部門
