,公司代號,公司名稱,發言日期,發言時間,主旨
0,6443,元晶,105/01/07,15:14:17,公告本公司104年12月份自結損益
1,6443,元晶,105/02/17,09:59:53,澄清105/02/17經濟日報C3報導
2,6443,元晶,105/02/21,21:03:18,公告本公司董事會決議股東常會召開日期及相關事宜
3,6443,元晶,105/02/21,21:03:51,公告本公司董事會通過之重要議案
4,6443,元晶,105/02/22,17:50:45,董事會決議股利分派
5,6443,元晶,105/02/23,16:13:50,公告本公司董事會決議辦理現金增資發行新股
6,6443,元晶,105/03/28,17:57:09,公告本公司董事會通過之重要議案
7,6443,元晶,105/03/30,14:45:32,公告更正本公司董事會決議股東常會議程
8,6443,元晶,105/04/25,11:04:10,澄清105/04/25經濟日報報導
9,6443,元晶,105/05/06,17:55:16,公告本公司董事會決議通過105年第一季合併財務報告。
10,6443,元晶,105/05/09,19:36:54,公告本公司董事及監察人任期屆滿全面改選
11,6443,元晶,105/05/09,19:37:20,公告本公司董事會推舉廖國榮先生續任董事長
12,6443,元晶,105/05/09,19:37:40,公告本公司105年股東常會重大決議
13,6443,元晶,105/05/09,19:38:32,公告本公司105年股東常會解除董事競業禁止之限制
14,6443,元晶,105/05/09,19:38:49,公告本公司薪資報酬委員會成員任期屆滿
15,6443,元晶,105/05/23,18:14:01,公告本公司105年現金增資認股基準日相關事宜
16,6443,元晶,105/05/31,16:23:54,公告本公司訂定105年度現金增資之每股發行價格、 委託代收股款銀行及存儲專戶銀行
17,6443,元晶,105/06/15,12:37:16,公告本公司105年度現金增資發行新股展延募集期間相關事宜
18,6443,元晶,105/06/16,15:04:00,補充公告本公司105年度現金增資發行新股展延募集期間 相關事宜，原股東及員工之股款繳納期間及公開申購期間依 原訂時程進行
19,6443,元晶,105/06/16,20:15:03,再補充公告本公司105年度現金增資發行新股相關事宜。
20,6443,元晶,105/06/21,21:56:19,本公司105年度現金增資催繳公告
21,6443,元晶,105/06/21,22:03:12,105年度現金增資全體董監事放棄認購股數達得認購股數 二分之一以上，並洽特定人認購事宜
22,6443,元晶,105/06/27,14:30:29,公告本公司105年現金增資收足股款暨增資基準日
23,6443,元晶,105/08/01,19:21:09,公告本公司董事會決議通過委任第二屆薪資報酬委員會委員
24,6443,元晶,105/08/01,19:21:22,公告本公司董事會決議通過105年第2季合併財務報表
25,6443,元晶,105/08/19,17:05:20,公告本公司與聯貸銀行團簽訂聯合授信合約
26,6443,元晶,105/09/02,09:55:58,公告本公司獨立董事辭任
27,6443,元晶,105/09/02,16:39:09,公告本公司薪酬委員會委員辭任
28,6443,元晶,105/09/12,15:05:38,公告本公司受邀參加元大證券舉辦之法人說明會
29,6443,元晶,105/11/09,18:31:49,公告本公司董事會決議通過105年第三季合併財務報告
30,6443,元晶,105/11/09,18:32:40,公告本公司薪資報酬委員會委員異動
31,6443,元晶,105/11/09,18:33:01,公告本公司執行董事申請自105年11月30日退休
32,6443,元晶,105/11/17,17:00:37,本公司受邀參加臺灣證券交易所舉辦之「主題式業績發表會」
33,6443,元晶,105/11/30,16:25:28,公告本公司法人董事改派代表人
34,6443,元晶,105/12/19,18:37:17,公告本公司董事會決議通過購買土地，用以增建廠房案
