,公司代號,公司名稱,發言日期,發言時間,主旨
0,6449,鈺邦,103/03/25,18:29:32,公告本公司董事會決議召開股東常會
1,6449,鈺邦,103/04/25,17:44:54,董事會決議股利分派
2,6449,鈺邦,103/04/25,20:13:22,公告新增資金貸與金額達「公開發行公司資金貸與及背書 保證處理準則」第22條第一項第一款之標準。
3,6449,鈺邦,103/04/25,20:13:51,公告新增資金貸與金額達「公開發行公司資金貸與及背書 保證處理準則」第22條第一項第二款及第三款之標準。
4,6449,鈺邦,103/06/12,19:37:41,公告本公司103年股東常會董事及監察人全面改選當選名單
5,6449,鈺邦,103/06/12,19:38:03,公告本公司董事長續任
6,6449,鈺邦,103/06/12,19:38:18,公告本公司董事會決議委任第二屆薪資報酬委員會委員
7,6449,鈺邦,103/06/12,19:38:35,公告本公司股東會重要決議事項
8,6449,鈺邦,103/06/12,19:39:07,公告本公司103年股東常會通過解除新任董事競業禁止案
9,6449,鈺邦,103/06/16,16:57:02,代子公司鈺邦電子(無錫)有限公司公告總經理異動
10,6449,鈺邦,103/08/07,18:55:45,公告本公司法人董事改派代表人
11,6449,鈺邦,103/08/08,19:01:39,公告本公司董事會決議股利配發基準日
12,6449,鈺邦,103/08/08,19:14:36,公告新增資金貸與金額達「公開發行公司資金貸與及背書 保證處理準則」第22條第一項第一款之標準。
13,6449,鈺邦,103/08/08,19:14:49,公告新增資金貸與金額達「公開發行公司資金貸與及背書 保證處理準則」第22條第一項第二款及第三款之標準。
14,6449,鈺邦,103/08/08,19:15:00,公告本公司董事會通過為子公司鈺邦電子(無錫)有限公司 背書保證額度到期續約
15,6449,鈺邦,103/08/08,19:15:16,公告本公司董事會通過為子公司鈺邦電子(無錫)有限公司 背書保證額度到期續約
16,6449,鈺邦,103/08/28,19:15:56,公告取得會計師內部控制專案審查報告
17,6449,鈺邦,103/09/01,17:59:12,公告新增資金貸與金額達「公開發行公司資金貸與及背書 保證處理準則」第22條第一項第一款之標準。
18,6449,鈺邦,103/09/01,17:59:30,公告新增資金貸與金額達「公開發行公司資金貸與及背書 保證處理準則」第22條第一項第二款及第三款之標準。
19,6449,鈺邦,103/09/09,11:24:44,澄清103/09/06經濟日報相關報導
20,6449,鈺邦,103/10/30,16:23:41,公告本公司董事會決議股票初次上市前辦理現金增資發行 新股並提撥公開承銷案
21,6449,鈺邦,103/11/13,19:04:56,公告本公司初次上市現金增資委託代收及存儲價款機構
22,6449,鈺邦,103/11/14,15:31:25,公告本公司將於103年11月20日舉辦上市前業績發表會
23,6449,鈺邦,103/11/24,18:14:13,公告本公司股票初次上市前現金增資基準日及認股繳款期間
24,6449,鈺邦,103/11/27,16:44:00,公告本公司股務單位名稱、辦公處所及連絡電話
25,6449,鈺邦,103/12/02,16:04:56,公告本公司股票即將終止興櫃交易並轉至證券交易所上市交易
26,6449,鈺邦,103/12/02,16:05:27,公告本公司股票初次上市現金增資每股承銷價格
27,6449,鈺邦,103/12/05,17:49:57,公告本公司辦理股票初次上市過額配售內容
28,6449,鈺邦,103/12/08,15:57:26,本公司辦理股票初次上市前現金增資收足股款暨增資基準日
29,6449,鈺邦,103/12/17,19:49:08,公告本公司掛牌首五日營業日穩定價格操作結果
30,6449,鈺邦,103/12/23,19:10:08,代重要子公司APAQ Investments Limited公告 董事會決議通過增資發行新股
31,6449,鈺邦,103/12/23,19:10:24,代重要子公司鈺邦電子(無錫)有限公司公告 董事會決議通過增資
32,6449,鈺邦,103/12/23,19:10:54,董事會決議增加投資大陸鈺邦電子(無錫)有限公司
