,公司代號,公司名稱,發言日期,發言時間,主旨
0,6451,訊芯-KY,105/03/10,15:31:18,公告董事會決議2016年股東常會召集相關事項
1,6451,訊芯-KY,105/03/10,15:31:36,公告本公司董事會通過2015年度(104年度)合併財務報表
2,6451,訊芯-KY,105/03/10,15:31:55,公告本公司董事會通過2015(104)年度員工酬勞及董事酬勞分派案
3,6451,訊芯-KY,105/03/28,15:50:30,公告本公司股務代理機構「福邦證券股份有限公司」 變更營業處所相關事宜
4,6451,訊芯-KY,105/04/26,15:35:17,董事會決議股利分派
5,6451,訊芯-KY,105/05/10,13:52:52,公告本公司董事會通過2016年(105年)第1季合併財務報表
6,6451,訊芯-KY,105/05/13,15:47:44,公告本公司取得會計師2015年內部控制專案審查報告
7,6451,訊芯-KY,105/06/13,14:01:10,本公司2016年股東常會決議事項
8,6451,訊芯-KY,105/06/13,14:02:45,公告本公司2016年現金股利配息基準日
9,6451,訊芯-KY,105/06/17,17:44:29,更(補)正本公司2015年度合併財務報告之部份資訊
10,6451,訊芯-KY,105/07/01,15:31:48,更正本公司配發現金股息發放日
11,6451,訊芯-KY,105/08/10,16:49:19,公告本公司董事會通過2016年(105年)第2季合併財務報表
12,6451,訊芯-KY,105/08/11,00:16:25,公告本公司董事會決議本公司對全資子公司 ShunSin Technology (Samoa) Corporation Limited增資事宜
13,6451,訊芯-KY,105/08/11,00:16:46,代子公司公告： ShunSin Technology (Samoa) Corporation Limited 對本公司全資香港子公司增資事宜
14,6451,訊芯-KY,105/08/11,16:45:39,係因本公司有價證券於集中交易市場達公布注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別瞭解
15,6451,訊芯-KY,105/09/09,16:31:54,更正本公司8月營收公告中2016年全年營收累計數字
16,6451,訊芯-KY,105/11/07,14:35:20,公告本公司董事會通過2016年(105年)第3季合併財務報表
17,6451,訊芯-KY,105/11/15,15:56:11,公告本公司召開法人說明會相關資訊
18,6451,訊芯-KY,105/11/17,14:54:33,代子公司Shunsin Technology (Samoa) Corportaion Limited 公告新增資金貸與金額達新台幣一千萬元以上且達該公開發行 公司最近期財務報表淨值百分之二以上
19,6451,訊芯-KY,105/11/17,14:55:05,代子公司訊芯科技(香港)有限公司公告新增資金貸與金 額達新台幣一千萬元以上且達該公開發行公司最近期財 務報表淨值百分之二以上
20,6451,訊芯-KY,105/11/22,16:03:57,說明媒體中央社報導
21,6451,訊芯-KY,105/12/02,17:28:01,公告本公司發言人及代理發言人異動事宜
22,6451,訊芯-KY,105/12/02,17:28:26,公告本公司內部稽核主管異動事宜
23,6451,訊芯-KY,105/12/20,16:54:30,公告本公司董事會重要決議事項
24,6451,訊芯-KY,105/12/20,17:03:26,公告本公司董事會通過內部稽核主管異動事宜
