,公司代號,公司名稱,發言日期,發言時間,主旨
0,6456,GIS-KY,107/01/29,18:11:01,代子公司業成光電(深圳)有限公司公告出售設備予 業成科技(成都)有限公司
1,6456,GIS-KY,107/01/29,18:11:41,代子公司業成科技(成都)有限公司公告向業成光電(深圳) 有限公司取得生產設備
2,6456,GIS-KY,107/01/29,18:11:55,公告本公司董事會核准子公司資本支出預算案
3,6456,GIS-KY,107/01/29,18:12:08,公告本公司董事會決議通過銀行聯貸案
4,6456,GIS-KY,107/01/29,18:12:25,本公司為子公司General Interface Solution Limited之 銀行聯貸案提供保證
5,6456,GIS-KY,107/01/29,18:18:13,公告本公司董事會決議第二次買回庫藏股
6,6456,GIS-KY,107/01/30,16:53:42,更正公告本公司董事會決議通過銀行聯貸案
7,6456,GIS-KY,107/01/31,18:26:29,更正公告本公司董事會決議第二次買回庫藏股
8,6456,GIS-KY,107/01/31,18:26:49,代子公司業成科技(成都)有限公司公告訂購生產設備
9,6456,GIS-KY,107/02/01,17:51:35,代子公司業成科技(成都)有限公司公告訂購生產設備
10,6456,GIS-KY,107/03/05,17:32:30,公告本公司董事會決議召開2018年股東常會
11,6456,GIS-KY,107/03/05,17:32:48,公告本公司財務長暨財務主管異動
12,6456,GIS-KY,107/03/05,17:32:59,公告本公司發言人及代理發言人異動
13,6456,GIS-KY,107/03/05,17:33:11,公告本公司董事會決議解除經理人競業限制
14,6456,GIS-KY,107/03/14,16:21:40,公告本公司將參加美銀美林證券舉辦之『BofAML APAC TMT Conference 2018』
15,6456,GIS-KY,107/03/23,17:21:57,代子公司業成科技(成都)有限公司公告訂購生產設備
16,6456,GIS-KY,107/03/29,18:32:16,公告本公司第二次庫藏股買回期間屆滿之相關資料
17,6456,GIS-KY,107/03/31,17:59:55,更正公告本公司第二次庫藏股買回期間屆滿之相關資料
18,6456,GIS-KY,107/04/19,16:36:18,本公司董事會決議股利分派
19,6456,GIS-KY,107/04/19,16:36:53,公告本公司董事會決議辦理現金增資發行普通股及/或 現金增資發行普通股參與發行海外存託憑證
20,6456,GIS-KY,107/04/19,16:37:51,補充公告本公司2018年股東常會召集事由
21,6456,GIS-KY,107/04/19,16:38:05,代重要子公司英特盛科技股份有限公司公告 董事會決議不發放股利
22,6456,GIS-KY,107/05/04,15:20:35,公告本公司董事會核准子公司資本支出預算案
23,6456,GIS-KY,107/05/08,14:52:06,公告本公司將參加元大證券舉辦之法人座談會
24,6456,GIS-KY,107/05/11,21:05:12,代子公司英特盛科技股份有限公司公告董事會決議參與 榮炭科技股份有限公司私募普通股
25,6456,GIS-KY,107/05/23,15:38:09,公告本公司將參加匯豐證券舉辦之HSBC Taiwan Executive Forum
26,6456,GIS-KY,107/05/23,15:38:24,公告本公司將參加大和證券舉辦之Daiwa Investment Conference
27,6456,GIS-KY,107/06/04,18:29:37,代子公司業成科技(成都)有限公司公告訂購生產設備
28,6456,GIS-KY,107/06/05,14:50:10,公告本公司2018年股東常會重要決議事項
29,6456,GIS-KY,107/06/05,14:50:25,公告本公司股東常會補選董事當選名單
30,6456,GIS-KY,107/06/05,14:50:49,公告本公司2018年股東常會決議通過解除董事競業限制
31,6456,GIS-KY,107/06/05,14:51:10,公告本公司董事會核准子公司資本支出預算案
32,6456,GIS-KY,107/06/05,14:51:46,公告本公司董事會決議增資大陸子公司業成科技(成都)有限公司
33,6456,GIS-KY,107/06/05,14:52:05,公告本公司董事會決議增資子公司英特盛科技股份有限公司
34,6456,GIS-KY,107/06/05,14:53:14,公告本公司107年現金股利配息基準日
35,6456,GIS-KY,107/06/12,14:00:52,公告本公司將參加永豐金證券舉辦之投資論壇
36,6456,GIS-KY,107/06/25,18:13:01,代子公司業成科技(成都)有限公司公告訂購生產設備
37,6456,GIS-KY,107/06/27,14:37:42,公告本公司將參加瑞銀證券舉辦之Taiwan conference 2018
38,6456,GIS-KY,107/07/26,14:55:49,公告本公司將參加凱基證券舉辦之海外投資人會議(NDR)
39,6456,GIS-KY,107/08/06,16:24:44,本公司對子公司General Interface Solution Limited背書保證 公告
40,6456,GIS-KY,107/10/15,17:20:17,代重要子公司General Interface Solution Limited公告 董事會決議發放現金股利
41,6456,GIS-KY,107/11/05,19:03:48,本公司對子公司General Interface Solution Limited 背書保證公告
42,6456,GIS-KY,107/11/06,17:48:21,本公司對子公司General Interface Solution Limited 背書保證公告(修正事實發生日為107/11/5)
43,6456,GIS-KY,107/11/14,16:24:13,公告本公司將參加花旗證券舉辦之「Citi’s 13th China investor conference」
44,6456,GIS-KY,107/11/20,17:52:25,代子公司業成科技(成都)有限公司公告訂購生產設備
45,6456,GIS-KY,107/11/22,17:52:09,公告本公司大陸地區投資事業投資架構調整事宜
46,6456,GIS-KY,107/12/05,17:06:17,代重要子公司英特盛科技股份有限公司公告董事會決議 辦理現金增資發行新股
47,6456,GIS-KY,107/12/20,18:27:54,代子公司業成科技(成都)有限公司公告訂購生產設備
