,公司代號,公司名稱,發言日期,發言時間,主旨
0,6464,台數科,103/06/12,09:31:45,公告本公司103年現金增資收足股款暨增資基準日公告
1,6464,台數科,103/06/13,13:49:25,代子公司台灣基礎開發科技股份有限公司公告董事會決議受讓 「中投有線電視股份有限公司」市內網路業務之相關營業資產
2,6464,台數科,103/07/25,09:15:18,公告本公司董事會決議發放股利相關事宜
3,6464,台數科,103/07/25,13:23:01,澄清鉅亨網新聞內容
4,6464,台數科,103/07/25,14:03:18,澄清鉅亨網新聞內容
5,6464,台數科,103/07/28,08:54:48,澄清中時電子報新聞內容
6,6464,台數科,103/07/28,08:59:49,澄清非凡新聞台新聞內容
7,6464,台數科,103/07/28,10:53:31,澄清工商時報B5版報導
8,6464,台數科,103/08/07,18:18:05,公告本公司法人董事代表人變動
9,6464,台數科,103/08/08,17:47:34,本公司子公司取得市內網路業務籌設同意書
10,6464,台數科,103/08/11,14:21:19,公告本公司董事會決議調整配息率
11,6464,台數科,103/08/12,15:22:20,代重要子公司鑫傳視訊廣告(股)公司公告董事長變動
12,6464,台數科,103/08/12,15:24:55,代重要子公司鑫傳視訊廣告(股)公司公告法人董事改派代表人
13,6464,台數科,103/08/14,14:46:58,更正本公司103年度第二季IFRSs綜合損益表XBRL申報資料
14,6464,台數科,103/08/18,10:46:39,澄清說明103年8月16日工商時報之報導
15,6464,台數科,103/08/21,15:05:51,公告更正本公司103年7月合併營業收入資訊
16,6464,台數科,103/08/25,16:13:12,補充公告本公司103年6月合併營業收入資訊
17,6464,台數科,103/08/28,16:31:14,補充說明103/6/13代子公司台灣基礎開發科技股份有限公司公告 董事會決議受讓「中投有線電視股份有限公司」市內網路業務之 相關營業資產
18,6464,台數科,103/09/10,17:08:27,本公司受台新證券邀請召開法說會
19,6464,台數科,103/09/17,13:49:14,公告本公司法人董事辭任
20,6464,台數科,103/09/17,13:52:33,公告本公司法人監察人辭任
21,6464,台數科,103/09/26,14:40:26,公告本公司董事會決議召開股東臨時會相關事宜
22,6464,台數科,103/10/23,13:39:35,更正公告本公司董事會決議召開股東臨時會相關事宜(議程內容)
23,6464,台數科,103/10/24,17:30:56,公告本公司對台灣佳光電訊股份有限公司增資
24,6464,台數科,103/10/27,11:02:39,補充-10/24公告本公司對台灣佳光電訊股份有限公司增資
25,6464,台數科,103/11/18,11:28:48,公告本公司法人董事代表人變動
26,6464,台數科,103/11/19,13:12:39,本公司103年股東臨時會補選獨立董事及監察人
27,6464,台數科,103/11/19,13:15:49,本公司103年股東臨時會補選獨立董事及監察人
28,6464,台數科,103/11/19,13:18:49,本公司103年股東臨時會通過解除新任獨立董事競業禁止限制案
29,6464,台數科,103/11/19,14:05:36,公告本公司103年股東臨時會重要決議
30,6464,台數科,103/11/26,11:13:44,撤銷103/06/13代子公司台灣基礎開發科技股份有限公司公告受讓 「中投有線電視股份有限公司」市內網路業務之相關營業資產
31,6464,台數科,103/12/03,10:06:33,本公司受邀請參加法人說明會
32,6464,台數科,103/12/08,13:11:00,公告本公司法人董事代表人變動
