,公司代號,公司名稱,發言日期,發言時間,主旨
0,6491,晶碩,107/01/08,10:36:01,澄清107/01/06蘋果日報有關本公司2018/2019年 營運規劃預測之相關報導
1,6491,晶碩,107/01/29,16:25:26,董事會決議股利分派
2,6491,晶碩,107/01/29,17:38:33,公告本公司董事會通過民國一○六年度合併及個體財務報告
3,6491,晶碩,107/01/29,18:38:44,召開本公司一○七年股東常會
4,6491,晶碩,107/06/14,18:49:09,民國107年股東常會重要決議事項
5,6491,晶碩,107/06/14,18:50:21,本公司民國107年股東常會全面改選董事
6,6491,晶碩,107/06/14,18:51:07,公告本公司解除新任董事競業禁止案
7,6491,晶碩,107/06/14,18:51:55,公告本公司董事會選任董事長及副董事長
8,6491,晶碩,107/06/14,18:52:32,公告本公司第二屆審計委員會成員
9,6491,晶碩,107/06/14,18:53:02,公告本公司董事會委任第三屆薪資報酬委員會委員
10,6491,晶碩,107/06/26,16:02:56,公告本公司董事會決議購買土地及廠房事宜
11,6491,晶碩,107/07/30,16:10:46,公告本公司於董事會提報民國一○七年第二季合併財務報告
