,公司代號,公司名稱,發言日期,發言時間,主旨
0,6504,南六,105/02/06,12:11:42,公告105/2/6凌晨3:57高雄美濃地震對本公司財務業務無重大影響
1,6504,南六,105/02/22,15:58:09,"公告本公司受邀參加高盛證券舉辦之「Goldman Sachs Taiwan Beauty Products, Health and Wellness Tour Day」"
2,6504,南六,105/03/10,09:42:07,澄清105年03月09日鉅亨網有關本公司報導
3,6504,南六,105/03/11,09:45:19,公告本公司受邀參加美林證券舉辦之「2016 Asia Pacific TMT Conference (TTB)」
4,6504,南六,105/03/11,10:12:22,公告本公司受邀參加摩根士丹利證券舉辦之「Hong Kong Summit-The New Economy」
5,6504,南六,105/03/18,16:13:39,公告本公司受邀參加大和國泰證券舉辦之「Daiwa Taiwan Corporate Day in Singapore」
6,6504,南六,105/03/18,16:14:13,公告本公司受邀參加大和國泰證券舉辦之「Daiwa Taiwan Corporate Day in Hong Kong」
7,6504,南六,105/03/18,17:59:34,本公司董事會重要決議事項
8,6504,南六,105/03/18,18:01:22,公告本公司董事會通過民國104年度合併財務報告
9,6504,南六,105/03/18,18:02:14,公告本公司董事會決議通過104年度董監及員工酬勞分派案
10,6504,南六,105/03/18,18:04:03,董事會決議召開105年股東常會相關事宜
11,6504,南六,105/03/18,18:04:40,董事會決議股利分派
12,6504,南六,105/04/12,15:33:48,公告本公司受邀參加港都會聯合投資論壇
13,6504,南六,105/04/28,18:01:10,本公司董事會重要決議事項
14,6504,南六,105/04/28,18:31:48,公告本公司因會計師事務所內部調整更換會計師
15,6504,南六,105/04/29,16:28:17,公告本公司受邀參加麥格理證券舉辦之「Greater China Conference 2016」
16,6504,南六,105/05/11,17:10:36,本公司董事會重要決議事項
17,6504,南六,105/05/11,17:11:18,公告本公司董事會通過民國105年第1季合併財務報告
18,6504,南六,105/05/26,16:41:10,公告本公司受邀參加富邦證券舉辦之「富邦2016年年度投資論壇」
19,6504,南六,105/06/13,20:13:44,公告本公司105年股東常會通過重要決議事項
20,6504,南六,105/06/13,20:15:17,公告本公司105年股東常會董事及監察人全面改選當選名單
21,6504,南六,105/06/13,20:15:51,本公司董事會推舉黃清山先生續任董事長
22,6504,南六,105/06/13,20:16:41,105年股東常會通過解除新任董事競業禁止之限制
23,6504,南六,105/06/13,20:17:22,公告本公司民國一百零五年配息基準日
24,6504,南六,105/06/14,17:38:09,公告本公司105年股東常會董事及監察人全面改選當選名單 (更正新任董事筆秀投資股份有限公司持股數)
25,6504,南六,105/06/20,16:14:45,公告本公司受邀參加元大投顧舉辦之「元大金控亞洲投資創富論壇」
26,6504,南六,105/06/29,17:29:01,公告本公司受邀參加統一綜合證券舉辦之「2016年下半年投資展望趨勢論壇」
27,6504,南六,105/08/10,16:31:30,本公司董事會重要決議事項
28,6504,南六,105/08/10,16:32:11,公告本公司董事會通過民國105年第2季合併財務報告
29,6504,南六,105/08/18,17:40:48,公告本公司受邀參加第一金證券舉辦之「2016年Q3投資座談會」
30,6504,南六,105/11/11,15:26:57,本公司董事會重要決議事項
31,6504,南六,105/11/11,15:28:18,公告本公司董事會通過民國105年第3季合併財務報告
32,6504,南六,105/11/24,17:11:54,公告本公司受邀參加富邦證券舉辦之「2016年度第四季富邦投資論壇」
33,6504,南六,105/11/30,17:23:49,公告本公司受邀參加統一證券舉辦之「統一證券2017年金雞報喜投資展望說明會」
34,6504,南六,105/12/05,16:26:37,公告本公司受邀參加日盛證券舉辦之「日盛太陽獅大中華冬季論壇」
35,6504,南六,105/12/27,18:21:39,本公司董事會重要決議事項
36,6504,南六,105/12/27,18:25:33,本公司董事會決議委任第三屆薪資酬勞委員會委員
