,公司代號,公司名稱,發言日期,發言時間,主旨
0,6669,緯穎,108/01/02,11:07:06,澄清媒體之相關報導
1,6669,緯穎,108/01/10,10:35:08,澄清媒體之相關報導
2,6669,緯穎,108/01/14,10:53:18,澄清媒體之相關報導
3,6669,緯穎,108/01/15,16:36:40,本公司受邀參加元大證券海外法人說明會
4,6669,緯穎,108/01/28,16:36:05,公告本公司107年12月份自結合併財務報表之負債比率、 流動比率及速動比率
5,6669,緯穎,108/02/01,14:23:12,公告本公司於108年2月21日召開上市前業績發表會
6,6669,緯穎,108/02/22,11:29:09,澄清媒體之相關報導
7,6669,緯穎,108/02/26,16:50:59,公告本公司股票初次上市現金增資委託代收及存儲價款機構 銀行合約簽訂事宜
8,6669,緯穎,108/02/27,17:30:04,公告本公司股票初次上市前現金增資認股繳款期間暨 調整暫定承銷價相關事宜
9,6669,緯穎,108/02/27,17:30:30,公告本公司108年1月份自結合併財務報表之負債比率、 流動比率及速動比率
10,6669,緯穎,108/03/05,10:49:13,澄清媒體之相關報導
11,6669,緯穎,108/03/05,15:35:55,公告本公司股務代理機構名稱、辦公處所及聯絡電話
12,6669,緯穎,108/03/07,13:08:12,澄清媒體之相關報導
13,6669,緯穎,108/03/13,15:56:30,公告本公司股票初次上市前現金增資發行新股承銷價格
14,6669,緯穎,108/03/14,10:13:29,澄清媒體之相關報導
15,6669,緯穎,108/03/15,10:01:54,澄清媒體之相關報導
16,6669,緯穎,108/03/15,16:41:37,本公司受邀參加凱基證券投資論壇
17,6669,緯穎,108/03/15,16:42:11,本公司受邀參加德意志銀行舉辦之「5G & EV Corporate Day」 投資論壇
18,6669,緯穎,108/03/18,16:45:44,代重要子公司Wiwynn International Corporation公告 董事會決議不發放股利
19,6669,緯穎,108/03/20,18:17:16,公告本公司一○八年第一次董事會重大決議事項
20,6669,緯穎,108/03/20,18:17:56,董事會決議召開一○八年股東常會相關事宜
21,6669,緯穎,108/03/20,18:20:31,"本公司受邀參加Bank of America Merrill Lynch舉辦之2019 Asia Pacific Telecom, Media & Technology Conference"
22,6669,緯穎,108/03/21,11:11:08,澄清媒體之相關報導
23,6669,緯穎,108/03/22,17:07:02,公告本公司辦理初次上市過額配售內容
24,6669,緯穎,108/03/25,18:19:33,公告本公司初次上市現金增資收足股款暨現金增資基準日
25,6669,緯穎,108/03/26,10:52:25,澄清媒體之相關報導
26,6669,緯穎,108/03/26,17:12:12,公告本公司股票即將終止興櫃交易並轉至臺灣證券交易所上巿交易
27,6669,緯穎,108/04/08,15:09:06,公告本公司上巿掛牌首五個營業日穩定價格操作結果
28,6669,緯穎,108/04/10,18:53:14,公告本公司初次申請股票上市時所出具之承諾事項暨其後續 執行情形
29,6669,緯穎,108/05/02,15:01:05,公告本公司一○八年第二次董事會重大決議事項
30,6669,緯穎,108/05/02,15:06:01,公告本公司董事會決議通過會計主管異動
31,6669,緯穎,108/05/02,15:06:39,董事會決議股利分派
32,6669,緯穎,108/05/13,14:09:23,本公司受邀參加富邦證券舉辦之投資論壇
33,6669,緯穎,108/06/03,15:35:45,澄清媒體之相關報導
34,6669,緯穎,108/06/18,13:49:55,本公司受邀參加元大金控2019亞洲投資創富論壇法人說明會
35,6669,緯穎,108/06/25,16:39:24,公告本公司一○八年股東常會重要決議事項
36,6669,緯穎,108/06/25,16:39:45,公告本公司民國108年股東常會通過增選兩席董事 (含一席獨立董事)
37,6669,緯穎,108/06/25,16:40:08,公告本公司審計委員會增加一席委員
38,6669,緯穎,108/06/25,16:40:41,公告股東會通過解除本公司新選任董事之競業禁止限制案
39,6669,緯穎,108/06/25,16:41:10,公告本公司108年除息基準日
40,6669,緯穎,108/07/08,16:08:35,公告本公司初次申請股票上市時所出具之承諾事項暨其後續 執行情形
41,6669,緯穎,108/08/01,14:46:26,代本公司重要子公司Wiwynn International Corporation公告 增派兩席法人董事代表人
42,6669,緯穎,108/08/09,16:36:18,公告本公司一○八年第三次董事會重大決議事項
43,6669,緯穎,108/08/09,16:36:49,公告本公司原訂108年8月12日發放現金股利，因颱風停止上班 影響發放作業，現金股利發放日將順延至108年8月13日。
44,6669,緯穎,108/10/02,17:40:37,公告本公司初次申請股票上市時所出具之承諾事項暨其後續 執行情形
45,6669,緯穎,108/10/02,17:45:10,代本公司之子公司Wiwynn Mexico S.A. de C.V.公告 本公司向Wistron Mexico取得不動產使用權資產
46,6669,緯穎,108/11/04,19:18:29,澄清媒體之相關報導
47,6669,緯穎,108/11/06,16:53:43,公告本公司一○八年第四次董事會重大決議事項
48,6669,緯穎,108/12/31,11:30:47,澄清媒體之相關報導
