,公司代號,公司名稱,發言日期,發言時間,主旨
0,6715,嘉基,108/01/22,16:25:53,澄清媒體報導
1,6715,嘉基,108/03/19,18:24:23,董事會決議股利分派
2,6715,嘉基,108/03/19,18:24:47,公告本公司董事會決議召開108年股東常會
3,6715,嘉基,108/03/19,18:25:07,公告本公司會計主管異動
4,6715,嘉基,108/04/30,16:33:56,補正本公司107年度合併財報XBRL附註揭露
5,6715,嘉基,108/05/07,18:42:20,公告本公司董事會決議召開108年股東常會(補充公告)
6,6715,嘉基,108/05/09,10:56:50,澄清媒體報導
7,6715,嘉基,108/05/09,18:10:29,董事會通過對100%轉投資孫公司新增背書保證金額達新臺幣三千萬 元以上且達公司最近期財務報表淨值百分之五以上，依公開發行資 金貸與及背書保證處理準則第25條第1項第4款之規定公告
8,6715,嘉基,108/05/15,18:06:54,澄清媒體報導
9,6715,嘉基,108/06/19,17:34:11,公告本公司108年股東常會重要決議事項
10,6715,嘉基,108/07/08,17:41:47,因應本公司上市申請需要委託簽證會計師出具內控專審報告
11,6715,嘉基,108/07/10,21:41:03,公告補更正以下財務報告部分資訊 1.105年第4季合併與個體 財務報告 2.106年第4季合併與個體財務報告 3.107年第4季合併 與個體財務報告
12,6715,嘉基,108/08/12,19:55:32,公告本公司董事會決議除息基準日
13,6715,嘉基,108/08/12,21:04:48,本公司依公開發行公司資金貸與及背書保證處理準則第二十五條 第一項第二款~第四款規定公告
14,6715,嘉基,108/09/06,16:27:13,公告本公司董事會決議辦理初次上市現金增資發行新股案
15,6715,嘉基,108/10/02,16:30:16,本公司於108年10月8日召開上市前業績發表會
16,6715,嘉基,108/10/23,15:19:41,公告本公司經主管機關核准股票上市掛牌買賣及 上市前現金增資募資期限延長三個月
17,6715,嘉基,108/11/08,15:59:04,公告本公司股票初次上市前現金增資認股繳款期間、 委託代收價款及存儲專戶機構
18,6715,嘉基,108/11/18,20:36:05,澄清媒體報導
19,6715,嘉基,108/11/19,10:20:31,澄清媒體報導
20,6715,嘉基,108/11/28,16:44:23,公告本公司股票初次上市前現金增資發行新股承銷價格
21,6715,嘉基,108/11/29,15:19:57,更正108/11/28上傳之現增公開說明書 (價格確定版)部分內容
22,6715,嘉基,108/12/09,15:38:01,公告本公司股務代理機構名稱、辦公處所及聯絡電話
23,6715,嘉基,108/12/09,15:38:28,公告本公司辦理股票初次上巿過額配售內容
24,6715,嘉基,108/12/10,15:27:04,公告本公司辦理股票初次上市前現金增資收足股款 暨現金增資基準日
25,6715,嘉基,108/12/11,12:52:39,公告本公司股票即將終止興櫃交易，並轉至臺灣證券交易所 上巿交易
26,6715,嘉基,108/12/18,15:16:36,公告本公司上市掛牌首五個營業日穩定價格操作結果
