,公司代號,公司名稱,發言日期,發言時間,主旨
0,8016,矽創,109/01/20,17:19:36,代子公司公告向關係人取得使用權資產
1,8016,矽創,109/02/11,15:09:13,本公司受邀參加元富證券舉辦的2月份企業日論壇
2,8016,矽創,109/02/12,15:03:02,公佈本公司一○八年年度合併自結數財務報告
3,8016,矽創,109/03/13,13:51:28,公告本公司設置公司治理主管
4,8016,矽創,109/03/13,17:14:49,本公司董事會決議召集109年股東常會
5,8016,矽創,109/03/13,18:02:32,董事會決議股利分派
6,8016,矽創,109/04/15,14:13:55,向關係人處分使用權資產一筆(終止租約)
7,8016,矽創,109/04/29,15:00:51,公佈本公司一○九年第一季合併自結數財務報告
8,8016,矽創,109/05/07,10:20:39,本公司董事會決議召集109年股東常會(新增報告事項)
9,8016,矽創,109/06/05,15:34:55,本公司受邀參加 2020年TWSE證交所 x 元富證券 A Post-Pandemic World: Taiwan Market Outlook 線上法人說明會
10,8016,矽創,109/06/15,15:34:48,代子公司公告向關係人提前終止租約使用權資產一筆
11,8016,矽創,109/06/24,15:06:11,公告本公司一O九年股東常會重要決議事項
12,8016,矽創,109/07/09,16:30:44,公告本公司除息基準日
13,8016,矽創,109/07/30,15:43:49,公佈本公司一○九年上半年度合併自結數財務報告
14,8016,矽創,109/07/31,14:13:10,本公司公告取得私募基金
15,8016,矽創,109/08/06,16:03:42,依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款公告
16,8016,矽創,109/08/06,16:04:06,依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款公告
17,8016,矽創,109/08/15,19:33:19,公告本公司董事逝世
18,8016,矽創,109/08/16,19:04:42,公告本公司薪酬委員逝世
19,8016,矽創,109/08/16,19:20:46,公告本公司審計委員逝世
20,8016,矽創,109/08/20,18:14:47,本公司公告取得私募基金
21,8016,矽創,109/08/25,14:49:49,本公司受邀參加2020第三季富邦投資論壇
22,8016,矽創,109/09/01,16:18:08,本公司受邀參加中國信託綜合證券2020年第3季投資論壇
23,8016,矽創,109/09/17,17:59:01,本公司代子公司力領科技股份有限公司公告取得私募基金
24,8016,矽創,109/09/30,11:55:22,本公司代理發言人異動
