,公司代號,公司名稱,發言日期,發言時間,主旨
0,8072,陞泰,102/01/07,17:12:06,公告陞泰公司自結101年12月份稅前損益
1,8072,陞泰,102/02/08,13:06:00,公告陞泰公司自結102年1月份稅前損益
2,8072,陞泰,102/03/06,14:53:52,公告陞泰公司自結102年2月份稅前損益
3,8072,陞泰,102/03/25,16:21:34,董事會決議股利分派
4,8072,陞泰,102/03/25,17:32:14,公告董事會決議召開本公司102年股東常會
5,8072,陞泰,102/03/25,17:36:11,公告陞泰科技董事會通過101年度財務報表
6,8072,陞泰,102/03/27,14:30:14,公告0327地震對陞泰公司無財務業務上之影響
7,8072,陞泰,102/04/09,14:27:12,公告陞泰公司自結102年3月份稅前損益
8,8072,陞泰,102/04/25,10:41:22,說明102/4/25經濟日報C5版有關法人推估本公司季營收事宜
9,8072,陞泰,102/05/07,15:35:09,公告陞泰公司自結102年4月份稅前損益
10,8072,陞泰,102/05/08,14:56:52,公告陞泰董事會通過民國102年第1季季報
11,8072,陞泰,102/06/06,15:07:23,公告陞泰公司自結102年5月份稅前損益
12,8072,陞泰,102/06/17,13:19:21,陞泰102年股東常會決議事項
13,8072,陞泰,102/06/18,16:17:03,陞泰科技現金股利基準日公告
14,8072,陞泰,102/07/05,15:08:49,公告陞泰公司自結102年6月份稅前損益
15,8072,陞泰,102/07/16,14:34:00,公告修正本公司101年度年報部分內容
16,8072,陞泰,102/08/06,17:13:12,公告陞泰公司自結102年7月份稅前損益
17,8072,陞泰,102/08/09,13:34:44,公告陞泰董事會通過民國102年第2季季報
18,8072,陞泰,102/09/05,15:28:01,公告陞泰公司自結102年8月份稅前損益
19,8072,陞泰,102/10/08,17:10:39,公告陞泰公司自結102年9月份稅前損益
20,8072,陞泰,102/10/28,08:49:11,陞泰科技97年三重廠火災三審判決事宜
21,8072,陞泰,102/11/06,14:14:40,公告陞泰董事會通過民國102年第3季季報
22,8072,陞泰,102/11/06,14:15:35,公告陞泰公司自結102年10月份稅前損益
23,8072,陞泰,102/12/04,17:24:09,陞泰科技對於97年火災訴訟案之或有損失認列事宜
24,8072,陞泰,102/12/04,17:27:27,公告陞泰公司自結102年11月份稅前損益
