,公司代號,公司名稱,發言日期,發言時間,主旨
0,8081,致新,106/02/13,16:38:17,公告本公司召開105年第四季法人說明會相關資訊
1,8081,致新,106/03/07,15:55:27,公告一年內累積處份同一有價證券達實收資本額20%
2,8081,致新,106/03/08,15:26:47,更正公告本公司一年內累積處分同一有價證券達實收資本額20%
3,8081,致新,106/03/23,15:58:49,本公司董事會決議召開106年股東常會
4,8081,致新,106/03/23,16:03:53,董事會決議股利分派
5,8081,致新,106/05/05,14:50:23,公告本公司召開106年第一季法人說明會相關資訊
6,8081,致新,106/06/02,13:34:52,公告本公司因勤業眾信聯合會計師事務所內部調整更換會計師
7,8081,致新,106/06/13,15:13:41,公告本公司106年度股東常會重要決議事項
8,8081,致新,106/06/13,15:14:30,公告本公司106年股東常會全面改選董事及獨立董事當選名單
9,8081,致新,106/06/13,15:15:42,公告本公司股東會通過解除新任董事及其代表人競業行為 之限制案
10,8081,致新,106/06/13,15:16:18,公告本公司成立審計委員會
11,8081,致新,106/06/13,15:17:08,公告本公司第二屆薪資報酬委員會委員任期屆滿
12,8081,致新,106/06/16,15:46:56,公告本公司董事會選任董事長及副董事長
13,8081,致新,106/06/16,15:47:55,公告本公司委任薪資報酬委員會成員
14,8081,致新,106/06/16,15:49:42,公告本公司民國106年除息基準日
15,8081,致新,106/08/07,16:38:42,公告本公司召開106年第二季法人說明會相關資訊
16,8081,致新,106/11/07,15:56:36,公告本公司召開106年第三季法人說明會相關資訊
