,公司代號,公司名稱,發言日期,發言時間,主旨
0,8101,華冠,107/01/10,16:49:09,主旨:公告106年12月份合併營收
1,8101,華冠,107/02/12,15:02:59,主旨:公告107年1月份合併營收
2,8101,華冠,107/02/12,15:22:49,公告本公司邱志哲董事辭任
3,8101,華冠,107/02/13,15:59:39,公告本公司董事長退休
4,8101,華冠,107/02/13,16:00:10,公告本公司法人董事改派代表人
5,8101,華冠,107/02/13,16:00:50,公告本公司董事會推選董事長
6,8101,華冠,107/03/09,17:02:37,主旨:公告107年2月份合併營收
7,8101,華冠,107/03/13,16:13:32,公告本公司臨時董事會重要決議
8,8101,華冠,107/03/13,16:14:22,公告本公司一○七年股東常會召開日期及召集事由
9,8101,華冠,107/03/28,17:02:18,公告本公司董事會重要決議
10,8101,華冠,107/03/28,17:02:51,公告本公司董事會決議召開股東常會事宜(追加議案) 召集事由一、報告事項(四)； 三、討論事項(一)
11,8101,華冠,107/03/28,17:03:28,董事會決議股利分派
12,8101,華冠,107/03/28,17:05:33,公告本公司董事會決議辦理減資彌補虧損案
13,8101,華冠,107/03/28,17:06:00,公告本公司董事會決議辦理減資彌補虧損案重大訊息記者說明會
14,8101,華冠,107/04/10,17:02:57,主旨:公告107年3月份合併營收
15,8101,華冠,107/05/08,17:43:56,公告本公司董事會重要決議
16,8101,華冠,107/05/08,17:45:59,公告本公司配合會計事務所內部調整變更簽證會計師事宜。
17,8101,華冠,107/05/10,16:32:20,主旨:公告107年4月份合併營收及 更正107年1-3月各月及累計合併營收
18,8101,華冠,107/05/22,16:38:35,107年3月份與關係人間重要交易資訊申報數更正
19,8101,華冠,107/05/29,17:48:58,公告本公司107年股東常會重要決議事項。
20,8101,華冠,107/05/29,17:49:26,本公司辦理減資致債權人公告
21,8101,華冠,107/06/11,17:18:46,主旨:公告107年5月份合併營收
22,8101,華冠,107/06/22,15:03:24,公告本公司董事長訂定減資基準日等相關事宜 (僅作為申請辦理減資變更登記之用)
23,8101,華冠,107/07/10,14:26:48,公告107年6月份合併營收
24,8101,華冠,107/07/23,10:37:45,公告補正本公司106年度股東會年報資料
25,8101,華冠,107/08/01,17:42:38,公告本公司減資彌補虧損辦理資本變更登記完成暨減資對公司 財務報告之影響及預計換股作業計劃
26,8101,華冠,107/08/06,16:42:38,公告本公司董事長訂定減資基準日等相關事宜 (補充減資換發股票日程相關事宜)
27,8101,華冠,107/08/08,17:06:05,公告本公司董事會重要決議
28,8101,華冠,107/08/10,17:11:15,公告107年7月份合併營收
29,8101,華冠,107/08/15,15:48:26,107年6月份與關係人間重要交易資訊申報數更正
30,8101,華冠,107/08/28,17:56:47,代孫公司華冠通訊(江蘇)有限公司公告出售土地及房產事宜
31,8101,華冠,107/08/28,17:57:44,代孫公司華冠通訊(江蘇)有限公司公告出售土地及房產事宜
32,8101,華冠,107/09/10,17:27:28,公告107年8月份合併營收
33,8101,華冠,107/09/28,17:35:26,代子公司Arima ComunicacoesBrasilLtda 公告巴西廠之股權轉售事宜
34,8101,華冠,107/10/11,15:41:25,公告107年9月份合併營收
35,8101,華冠,107/11/09,16:42:00,公告本公司董事會重要決議
36,8101,華冠,107/11/12,17:22:20,更正107年9月份合併營收及公告10月份合併營收
37,8101,華冠,107/12/10,17:35:53,代孫公司華冠通訊(江蘇)有限公司公告董事會決議滁州建廠投資案
38,8101,華冠,107/12/10,17:36:16,公告107年11月份合併營收
39,8101,華冠,107/12/20,20:59:37,公告本公司受邀元富證券法人說明會相關資訊
