,公司代號,公司名稱,發言日期,發言時間,主旨
0,8104,錸寶,107/01/08,09:45:21,澄清媒體報導
1,8104,錸寶,107/01/30,13:36:56,公告本公司106年12月份自結報表之負債比率、流動比率及 速動比率
2,8104,錸寶,107/02/06,10:28:21,澄清媒體報導
3,8104,錸寶,107/02/26,17:37:26,公告本公司107年1月份自結報表之負債比率、流動比率及 速動比率
4,8104,錸寶,107/03/19,18:04:53,公告本公司董事會重要決議
5,8104,錸寶,107/03/19,18:05:18,公告本公司董事會決議盈餘轉增資發行新股
6,8104,錸寶,107/03/19,18:05:42,公告本公司董事會決議召開107年股東常會相關事宜
7,8104,錸寶,107/03/19,18:06:05,董事會決議股利分派
8,8104,錸寶,107/03/29,10:27:59,公告本公司107年2月份自結報表之負債比率、流動比率及 速動比率
9,8104,錸寶,107/04/09,10:42:29,澄清媒體報導
10,8104,錸寶,107/04/30,16:07:24,公告本公司107年3月份自結報表之負債比率、流動比率及 速動比率
11,8104,錸寶,107/05/07,17:57:14,本公司受邀參加凱基證券舉辦之法人說明會
12,8104,錸寶,107/05/09,10:25:30,澄清媒體報導
13,8104,錸寶,107/05/30,16:01:22,公告本公司107年4月份自結報表之負債比率、流動比率及 速動比率
14,8104,錸寶,107/06/06,11:28:31,公告本公司107年股東常會重要決議事項
15,8104,錸寶,107/06/07,10:23:27,澄清媒體報導
16,8104,錸寶,107/06/27,17:24:32,公告本公司薪酬委員辭職
17,8104,錸寶,107/06/28,17:47:16,公告本公司107年5月份自結報表之負債比率、流動比率及 速動比率
18,8104,錸寶,107/07/05,18:01:30,公告董事會通過取消本公司對關係人之背書保證
19,8104,錸寶,107/07/05,18:01:53,公告本公司補行委任第一屆薪資報酬委員會成員
20,8104,錸寶,107/07/05,18:02:07,公告本公司董事會通過訂定盈餘轉增資基準日、配股配息 基準日暨發放日
21,8104,錸寶,107/07/13,16:24:12,更正公告本公司董事會通過訂定盈餘轉增資基準日、配股配息 基準日暨發放日(股票股利金額誤植)
22,8104,錸寶,107/07/27,16:59:15,公告本公司107年6月份自結報表之負債比率、流動比率及 速動比率
23,8104,錸寶,107/08/14,11:09:38,澄清媒體報導
24,8104,錸寶,107/08/20,11:00:18,澄清媒體報導
25,8104,錸寶,107/08/20,13:42:30,(更正)澄清媒體報導
26,8104,錸寶,107/08/27,15:06:57,公告本公司107年7月份自結報表之負債比率、流動比率及 速動比率
27,8104,錸寶,107/08/30,17:34:41,本公司受邀參加凱基證券舉辦之法人說明會
28,8104,錸寶,107/09/10,18:04:30,公告本公司董事會解除經理人競業禁止之限制
29,8104,錸寶,107/09/28,19:15:27,公告本公司107年8月份自結報表之負債比率、流動比率及 速動比率
30,8104,錸寶,107/10/04,10:43:35,因應本公司上市申請需求，委託簽證會計師出具「內部控制 制度審查報告書」
31,8104,錸寶,107/10/30,17:31:27,公告本公司107年9月份自結報表之負債比率、流動比率及 速動比率
32,8104,錸寶,107/10/31,15:36:44,更正107/6-9背書保證明細表資訊
33,8104,錸寶,107/11/28,16:43:45,公告本公司董事會通過執行長異動
34,8104,錸寶,107/11/28,16:44:38,公告本公司董事會通過總經理異動
35,8104,錸寶,107/11/28,16:45:42,公告本公司董事會決議辦理現金增資發行新股供初次上巿前 公開承銷事宜
36,8104,錸寶,107/11/29,09:47:11,澄清媒體報導
37,8104,錸寶,107/11/29,14:34:08,公告本公司107年10月份自結報表之負債比率、流動比率及 速動比率
38,8104,錸寶,107/12/19,17:07:49,公告本公司於107年12月20日召開上市前業績發表會
39,8104,錸寶,107/12/21,18:36:32,公告本公司股票初次上市現金增資委託代收及存儲價款機構
40,8104,錸寶,107/12/21,18:36:58,公告本公司股票初次上市前現金增資發行新股相關事宜
41,8104,錸寶,107/12/21,18:37:13,公告本公司股務代理機構名稱、辦公處所及聯絡電話
42,8104,錸寶,107/12/27,09:58:51,公告本公司107年11月份自結報表之負債比率、流動比率及 速動比率
