,公司代號,公司名稱,發言日期,發言時間,主旨
0,8105,凌巨,104/01/08,14:53:49,更正本公司103年12月資金貸與資訊揭露明細表中 GIANTPLUS HOLDING L.L.C.資金貸與昆山和霖光電高科 有限公司累計至本月止最高餘額金額
1,8105,凌巨,104/01/28,17:08:18,公告本公司自結103年12月份財務資訊
2,8105,凌巨,104/02/25,15:52:03,公告本公司自結104年1月份財務資訊
3,8105,凌巨,104/03/11,15:17:45,"公告本公司受邀參加匯豐銀行舉辦之""HSBC Taiwan CEO Forum”之相關內容"
4,8105,凌巨,104/03/20,16:32:58,董事會決議103年度不分派股利
5,8105,凌巨,104/03/20,16:33:21,本公司董事會決議召開一○四年度股東常會之公告
6,8105,凌巨,104/03/30,15:09:06,公告本公司自結104年2月份財務資訊
7,8105,凌巨,104/04/27,15:19:13,公告本公司自結104年3月份財務資訊
8,8105,凌巨,104/04/28,15:36:06,代子公司GIANTPLUS HOLDING L.L.C.公告 資金貸與符合情形處理準則第二十二條第 一項第二款及第三款
9,8105,凌巨,104/06/10,15:58:50,公告本公司資金貸與符合情形處理準則第二十二條 第一項第二款及第三款
10,8105,凌巨,104/06/10,16:00:05,公告本公司104年股東常會重要決議事項
11,8105,凌巨,104/06/10,16:00:58,公告股東會決議不分配股利
12,8105,凌巨,104/06/11,14:05:32,公告本公司法人董事中華映管(股)公司之代表人變動
13,8105,凌巨,104/08/04,14:20:26,公告本公司資金貸與符合情形處理準則第二十二條第一項 第二款及第三款
14,8105,凌巨,104/08/04,14:20:52,代子公司GIANTPLUS HOLDING L.L.C.公告資金貸與符合 情形處理準則第二十二條第一項第二款及第三款
15,8105,凌巨,104/10/23,15:33:54,代子公司GIANTPLUS HOLDING L.L.C.公告資金貸與 符合情形處理準則第二十二條第一項第二款及第三 款
16,8105,凌巨,104/10/29,15:11:39,公告本公司參加元大證券舉辦法說會之相關內容
17,8105,凌巨,104/10/30,17:38:41,本公司購買中華映管TFT LCD八德廠4代線
18,8105,凌巨,104/11/02,16:02:21,公告本公司簽約購買中華映管TFT LCD八德廠4代線
19,8105,凌巨,104/11/03,10:58:46,澄清104年11月03日經濟日報C5版報導之新聞內容
20,8105,凌巨,104/11/04,16:58:13,因本公司有價證券於集中交易市場達公布注意交易資訊標準，故 公告相關財務業務等重大訊息，以利投資人區別瞭解
21,8105,凌巨,104/11/19,15:14:48,公告本公司參加元大證券舉辦法說會之相關內容
22,8105,凌巨,104/11/19,15:37:29,"公告更正本公司參加大和國泰法人座談會,誤植為元大證券"
23,8105,凌巨,104/12/02,16:33:10,代子公司GIANTPLUS HOLDING L.L.C.公告資金貸與 符合情形處理準則第二十二條第一項第二款及第三 款
24,8105,凌巨,104/12/25,17:18:49,公告本公司知悉董事為他人經營同類之業務
