,公司代號,公司名稱,發言日期,發言時間,主旨
0,8110,華東,104/02/13,16:40:57,本公司董事會決議召開104年股東常會
1,8110,華東,104/02/13,16:41:25,公告本公司董事會通過103年度合併財務報表
2,8110,華東,104/04/24,15:39:30,本公司董事會決議股利分派
3,8110,華東,104/06/18,15:38:51,公告本公司104年度股東常會重要決議事項
4,8110,華東,104/07/02,14:49:30,公告本公司決議股利配發基準日
5,8110,華東,104/07/24,15:46:02,公告本公司董事會決議買回本公司股份事宜
6,8110,華東,104/09/04,17:39:28,公告本公司庫藏股買回數量達已發行股份總數百分之二
7,8110,華東,104/09/25,15:45:57,公告買回本公司股份期間屆滿
8,8110,華東,104/10/30,15:46:23,訂定註銷買回股份減資基準日
9,8110,華東,104/10/30,15:46:53,公告本公司董事會決議買回本公司股份事宜
10,8110,華東,104/11/24,16:33:37,註銷買回庫藏股減資變更登記完成
11,8110,華東,104/12/22,16:06:20,公告本公司第八次買回庫藏股已執行完畢
