,公司代號,公司名稱,發言日期,發言時間,主旨
0,8114,振樺電,104/03/10,16:33:18,本公司董事會決議召開104年股東常會
1,8114,振樺電,104/03/10,16:35:27,公告本公司董事會通過103年度合併財務報告案
2,8114,振樺電,104/04/14,18:34:52,補充公告本公司董事會決議召開104年股東常會
3,8114,振樺電,104/04/14,18:35:11,公告董事會決議盈餘轉增資發行新股情形
4,8114,振樺電,104/04/14,19:02:57,董事會決議股利分派
5,8114,振樺電,104/04/15,10:57:04,澄清104年4月15日工商時報報導
6,8114,振樺電,104/05/14,17:03:43,本公司受邀參加法國巴黎銀行BNP Paribas所舉辦之「BNP Paribas 6th Asia Pacific TMT Conference」
7,8114,振樺電,104/05/27,16:15:06,本公司一百零四年股東常會重要決議事項公告
8,8114,振樺電,104/05/27,16:17:47,公告本公司董事任期屆滿改選事宜
9,8114,振樺電,104/05/27,16:18:10,公告本公司董事會推選董事長
10,8114,振樺電,104/05/27,16:18:39,公告本公司股東會決議解除董事競業禁止之限制事宜
11,8114,振樺電,104/05/27,16:56:44,公告本公司薪資報酬委員會委員任期屆滿。
12,8114,振樺電,104/06/22,16:58:44,公告本公司董事會決議除權暨除息基準日
13,8114,振樺電,104/06/22,17:00:47,依資金貸與及背書保證處理準則第二十五條第一項第四款公告
14,8114,振樺電,104/06/26,15:59:58,本公司受邀參加MORGAN STANLEY 所舉辦之「Taiwan Emerging Growth Companies Day HK 」
15,8114,振樺電,104/07/21,10:23:49,澄清104年7月21日工商時報B5版有關報導
16,8114,振樺電,104/08/04,16:24:48,公告本公司董事會通過104年第二季合併財務報告案
17,8114,振樺電,104/08/05,09:38:09,公告本公司董事會決議委任薪酬委員會成員
18,8114,振樺電,104/08/21,14:06:30,本公司應邀參加Nomura野村證券所舉辦之「Nomura Taiwan Corporate Day 」
19,8114,振樺電,104/09/02,14:04:36,本公司受邀參加Credit Suisse 所舉辦之「16th annual Credit Suisse Asian Technology Conference」
20,8114,振樺電,104/10/13,11:38:30,澄清104年10月13日工商時報報導
21,8114,振樺電,104/11/05,17:37:11,公告本公司董事會通過104年第三季合併財務報告案
22,8114,振樺電,104/11/12,16:54:58,修正本公司102/11/27補充102/10/29公告以自地委建廠辦 大樓新建工程承攬契約之公告
23,8114,振樺電,104/11/12,17:06:52,本公司受邀參加麥格理證券於新加坡&香港舉辦之「Maquarie North Asia Corp Day」
