,公司代號,公司名稱,發言日期,發言時間,主旨
0,8131,福懋科,108/02/27,14:12:28,董事會決議股利分派
1,8131,福懋科,108/02/27,14:17:54,公告本公司董事會決議召開股東會相關事宜
2,8131,福懋科,108/02/27,14:19:51,公告本公司108年2月27日董事會重要決議
3,8131,福懋科,108/05/03,14:00:14,補充公告本公司董事會決議召開108年股東常會 相關事宜(新增討論案)
4,8131,福懋科,108/05/03,14:03:06,公告本公司設置公司治理主管
5,8131,福懋科,108/05/31,13:35:36,公告本公司會計主管異動
6,8131,福懋科,108/06/20,17:48:22,本公司108年6月20日股東常會重要決議事項
7,8131,福懋科,108/06/20,17:52:38,公告本公司股東常會改選董事
8,8131,福懋科,108/06/20,17:55:25,公告本公司108年6月20日股東常會決議解除董事競業禁止 之限制
9,8131,福懋科,108/06/20,17:56:19,公告本公司董事長續任。
10,8131,福懋科,108/06/20,17:57:14,公告本公司董事會決議分派現金股利基準日
11,8131,福懋科,108/06/20,17:58:44,公告本公司董事會決議薪酬委員會成員
12,8131,福懋科,108/06/20,18:02:05,公告本公司設置審計委員會
13,8131,福懋科,108/08/08,14:11:26,公告本公司董事會決議通過新任會計主管
14,8131,福懋科,108/08/15,15:19:16,本公司受邀參加華南永昌綜合證券公司舉辦之法人說明會
15,8131,福懋科,108/11/21,17:10:23,本公司受邀參加華南永昌綜合證券公司舉辦之法人說明會
