,公司代號,公司名稱,發言日期,發言時間,主旨
0,8150,南茂,104/01/12,13:43:17,本公司應德意志銀行邀請舉行論壇
1,8150,南茂,104/01/14,10:28:07,澄清媒體報導
2,8150,南茂,104/01/30,16:28:52,南茂科技與東京精密簽署設備與產線自動化開發合作意向書
3,8150,南茂,104/02/02,10:42:14,澄清媒體報導
4,8150,南茂,104/03/12,16:32:10,公告本公司第七屆第十三次董事會重大決議
5,8150,南茂,104/03/12,16:32:30,公告本公司董事會決議召開一O四年度第一次股東常會
6,8150,南茂,104/03/12,16:35:58,董事會決議股利分派
7,8150,南茂,104/03/13,17:11:39,本公司應美林證券邀請舉行論壇，會中將進行公司簡介、已公開發佈之財務數字及經營績效等相關資訊做討論
8,8150,南茂,104/04/15,10:46:03,澄清媒體報導
9,8150,南茂,104/04/22,16:33:56,公告本公司第七屆第十四次董事會重大決議
10,8150,南茂,104/05/04,16:28:56,公告本公司第七屆第十五次董事會重大決議
11,8150,南茂,104/05/29,14:37:51,公告本公司新產品開發管理中心副總經理辭職
12,8150,南茂,104/06/03,16:57:01,公告本公司第七屆第十六次董事會重大決議
13,8150,南茂,104/06/03,16:57:44,公告本公司副總經理新任
14,8150,南茂,104/06/03,16:58:49,公告本公司董事會決議依公司法第32條許可經理人從事 競業行為有關「行為之重要內容」公告事項
15,8150,南茂,104/06/03,16:59:40,本公司一Ο四年股東常會重要決議事項
16,8150,南茂,104/06/03,17:00:53,公告本公司除息基準日
17,8150,南茂,104/06/03,17:01:22,增補選第七屆獨立董事二名公告
18,8150,南茂,104/06/03,17:01:45,增補選第七屆獨立董事二名公告
19,8150,南茂,104/06/04,11:35:11,更正本公司現金股利每股為2.22元
20,8150,南茂,104/06/09,16:08:07,本公司取得機器設備公告
21,8150,南茂,104/06/26,16:30:54,本公司取得機器設備公告
22,8150,南茂,104/07/14,16:27:53,本公司董事會決議通過組成特別委員會評估及協商與百慕 達商南茂科技股份有限公司合併事宜
23,8150,南茂,104/07/14,16:28:14,公告本公司第七屆第十七次董事會重大決議
24,8150,南茂,104/07/14,16:28:32,公告本公司董事會決議限制員工權利新股之增資基準日
25,8150,南茂,104/08/10,17:36:26,公告本公司第七屆第十八次董事會重大決議
26,8150,南茂,104/08/10,17:40:45,公告本公司董事會決議第一次買回本公司股份相關事宜
27,8150,南茂,104/08/28,16:05:36,公告本公司更換會計師
28,8150,南茂,104/08/28,16:06:02,公告本公司第七屆第十九次董事會重大決議
29,8150,南茂,104/08/28,16:06:27,公告本公司董事會決議解除經理人競業禁止之限制
30,8150,南茂,104/08/28,16:08:48,公告本公司第一次買回股份之交易金額達新台幣3億元以上
31,8150,南茂,104/09/03,14:27:31,本公司應瑞士信貸邀請舉行論壇，會中將進行公司簡介、已公開發佈之財務數字及經營績效等相關資訊做討論
32,8150,南茂,104/09/15,17:01:34,本公司代子公司宏茂微電子(上海)有限公司公告總經理及 副總經理聘任事宜。
33,8150,南茂,104/09/17,15:01:32,公告本公司買回本公司股份數量累積達公司已發行股份總額百分 之二且本次金額累積達新台幣三億元以上
34,8150,南茂,104/09/18,14:14:32,公告本公司買回本公司股份買回期間未滿已執行完畢
35,8150,南茂,104/09/18,14:14:53,公告本公司買回本公司股份數量累積達公司已發行股份總額百分 之二且本次金額累積達新台幣六億元以上
36,8150,南茂,104/09/21,11:26:50,澄清經濟日報A3版
37,8150,南茂,104/10/26,15:25:14,公告本公司第七屆第二十次董事會重大決議
38,8150,南茂,104/10/26,15:40:01,公告本公司對孫公司宏茂微電子(上海)有限公司新增資金貸與 金額達新臺幣一千萬元以上且達本公司最近期財務報表淨值百 分之二以上
39,8150,南茂,104/10/26,15:47:33,公告本公司董事會決議註銷庫藏股減資事宜
40,8150,南茂,104/11/11,11:20:48,澄清2015/11/11媒體報導
41,8150,南茂,104/11/12,15:49:24,公告本公司第七屆第二十一次董事會重大決議
42,8150,南茂,104/11/13,17:14:40,公告本公司第1次庫藏股減資暨註銷收回限制員工權利新 股，辦理變更登記完成
43,8150,南茂,104/12/11,17:16:36,公告本公司第七屆第二十二次董事會重大決議
44,8150,南茂,104/12/11,17:16:57,本公司與紫光集團有限公司簽訂認股協議書
45,8150,南茂,104/12/11,17:17:15,本公司與紫光集團有限公司簽訂策略聯盟契約
46,8150,南茂,104/12/11,17:18:02,公告本公司董事會決議召開一O五年度第一次股東臨時會
47,8150,南茂,104/12/11,17:18:24,公告本公司董事會決議私募發行普通股案
48,8150,南茂,104/12/30,15:08:01,公告本公司第七屆第二十三次董事會重大決議
49,8150,南茂,104/12/30,15:08:55,公告本公司重要營運主管異動
50,8150,南茂,104/12/30,15:09:21,公告本公司重要營運主管異動
51,8150,南茂,104/12/30,15:10:31,代子公司ChipMOS TECHNOLOGIES (BVI) LTD.公告董事異動
52,8150,南茂,104/12/30,15:10:53,代子公司宏茂微電子 (上海) 有限公司公告董事異動
53,8150,南茂,104/12/30,15:11:16,代子公司宏茂微電子 (上海) 有限公司公告總經理異動
54,8150,南茂,104/12/30,15:11:45,代子公司宏茂微電子(上海)有限公司公告重要營運主管異動
55,8150,南茂,104/12/30,15:12:06,代子公司宏茂微電子 (上海) 有限公司公告董事長異動
56,8150,南茂,104/12/30,15:12:29,代子公司宏茂微電子 (上海) 有限公司公告監事異動
57,8150,南茂,104/12/30,15:12:48,代子公司ChipMOS TECHNOLOGIES (BVI) LTD.公告 董事長異動
