,公司代號,公司名稱,發言日期,發言時間,主旨
0,8163,達方,101/01/05,16:00:04,發佈本公司100年12月份業績資料
1,8163,達方,101/01/31,08:14:23,更正100/12資金貸與明細表
2,8163,達方,101/02/06,14:32:33,發佈本公司101年1月份業績資料
3,8163,達方,101/02/29,17:42:43,公告本公司將召開營運成果說明會
4,8163,達方,101/03/01,18:24:50,公告本公司今日董事會重大決議
5,8163,達方,101/03/01,18:25:15,公告本公司董事會決議召開一○一年股東常會公告
6,8163,達方,101/03/01,18:25:30,公告本公司董事會決議解除經理人競業禁止
7,8163,達方,101/03/05,16:49:00,發佈本公司101年2月份業績資料
8,8163,達方,101/04/06,17:15:54,發佈本公司101年3月份業績資料
9,8163,達方,101/04/27,17:49:15,公告本公司今日董事會重大決議
10,8163,達方,101/04/27,17:49:41,公告董事會決議盈餘分派案
11,8163,達方,101/04/27,18:13:31,公告本公司董事會決議召開一○一年股東常會公告(增加議案)
12,8163,達方,101/05/07,16:13:16,發佈本公司101年4月份業績資料
13,8163,達方,101/06/06,16:53:17,發佈本公司101年5月份業績資料
14,8163,達方,101/06/14,18:14:04,公告本公司處分寶來得寶證券投資信託基金
15,8163,達方,101/06/14,18:37:28,更正公告本公司處分寶來得寶證券投資信託基金
16,8163,達方,101/06/21,17:43:15,公告本公司101年股東常會重要決議事項
17,8163,達方,101/06/21,17:43:28,公告本公司101年度股東常會改選董事
18,8163,達方,101/06/21,17:43:38,公告本公司股東會通過解除本公司董事競業禁止之限制
19,8163,達方,101/06/21,17:43:50,本公司委任新一屆薪資報酬委員會委員
20,8163,達方,101/06/21,17:44:00,本公司董事會推舉李錫華先生擔任董事長
21,8163,達方,101/06/21,17:44:15,公告本公司101年除權息基準日
22,8163,達方,101/07/05,17:31:21,發佈本公司101年6月份業績資料
23,8163,達方,101/07/20,16:37:09,公告補正本公司100年度年報資料
24,8163,達方,101/08/07,15:16:04,發佈本公司101年7月份業績資料
25,8163,達方,101/08/28,08:16:19,公告本公司將召開營運成果說明會
26,8163,達方,101/08/29,17:29:33,公告本公司今日董事會重大決議
27,8163,達方,101/08/29,17:29:46,本公司變更簽證會計師
28,8163,達方,101/09/06,15:33:58,發佈本公司101年8月份業績資料
29,8163,達方,101/09/24,17:12:36,代大陸子公司公告合併事宜
30,8163,達方,101/10/04,15:36:57,發佈本公司101年9月份業績資料
31,8163,達方,101/10/25,16:03:18,公告本公司董事會重大決議
32,8163,達方,101/10/25,17:35:28,本公司及子公司新增資金貸與金額達新台幣壹仟萬元以上 且達本公司最近期財務報表淨值百分之二以上
33,8163,達方,101/11/06,15:17:47,發佈本公司101年10月份業績資料
34,8163,達方,101/12/06,15:48:43,發佈本公司101年11月份業績資料
