,公司代號,公司名稱,發言日期,發言時間,主旨
0,8163,達方,109/01/07,16:01:23,發佈本公司108年12月份業績資料
1,8163,達方,109/01/13,18:58:33,代子公司蘇州達方精密工業有限公司公告處分理財產品
2,8163,達方,109/01/14,15:41:17,代重要子公司蘇州達方電子有限公司公告減資變更登記完成
3,8163,達方,109/02/06,16:00:11,發佈本公司109年1月份業績資料
4,8163,達方,109/02/11,16:11:46,代重要子公司納閩馬來西亞達方有限公司公告董事會決議減資事宜
5,8163,達方,109/02/11,16:13:10,代重要子公司納閩馬來西亞達方有限公司公告股東會重大決議
6,8163,達方,109/02/13,16:26:04,代子公司淮安達方電子有限公司公告處分理財產品
7,8163,達方,109/03/05,16:30:23,發佈本公司109年2月份業績資料
8,8163,達方,109/03/06,16:17:53,代重要子公司納閩馬來西亞達方有限公司公告減資變更登記完成
9,8163,達方,109/03/16,17:27:10,公告董事會通過捐贈事宜
10,8163,達方,109/03/16,17:30:05,公告本公司今日董事會重大決議
11,8163,達方,109/03/16,17:30:41,本公司董事會決議召開一○九年股東常會公告
12,8163,達方,109/03/16,17:31:30,董事會決議股利分派
13,8163,達方,109/03/23,16:14:07,代子公司世同金屬股份有限公司公告處分不動產
14,8163,達方,109/03/23,16:14:46,代子公司世同金屬股份有限公司公告取得不動產使用權資產
15,8163,達方,109/04/08,16:00:09,發佈本公司109年3月份業績資料
16,8163,達方,109/04/21,16:08:20,代子公司蘇州達方電子有限公司公告向關係人取得不動產使用權資 產
17,8163,達方,109/04/28,17:18:49,代子公司世同金屬股份有限公司公告資金貸與超限改善計畫
18,8163,達方,109/05/05,16:30:20,代子公司世同金屬股份有限公司公告調降資金貸與子公司之額度
19,8163,達方,109/05/05,16:30:54,代子公司世同金屬股份有限公司公告調降資金貸與子公司之額度
20,8163,達方,109/05/07,15:59:28,發佈本公司109年4月份業績資料
21,8163,達方,109/05/08,17:30:12,公告本公司今日董事會重大決議
22,8163,達方,109/05/08,17:32:51,本公司董事會決議召開一○九年股東常會補充公告 (新增報告事項)
23,8163,達方,109/05/08,17:33:26,代子公司達瑞創新股份有限公司公告取得不動產使用權資產
24,8163,達方,109/05/18,16:00:14,代子公司蘇州達方精密工業有限公司公告資金貸與重慶達方電子有 限公司
25,8163,達方,109/05/22,16:12:09,公告本公司今日董事會重大決議
26,8163,達方,109/05/22,16:14:10,本公司董事會決議投資設立越南子公司
27,8163,達方,109/06/04,16:08:15,發佈本公司109年5月份業績資料
28,8163,達方,109/06/18,16:31:02,公告本公司109年股東常會重要決議事項
29,8163,達方,109/06/18,16:32:07,公告本公司109年訂定除息基準日相關事宜
30,8163,達方,109/07/06,16:01:03,發佈本公司109年6月份業績資料
31,8163,達方,109/07/31,16:10:04,公告本公司受邀參加兆豐證券於109年8月5日舉辦之線上法人說明會相關資訊
32,8163,達方,109/08/05,15:01:33,公告本公司取得統達能源股份有限公司普通股股票
33,8163,達方,109/08/05,16:00:40,公告本公司今日董事會重大決議
34,8163,達方,109/08/05,16:01:18,公告本公司設置公司治理主管
35,8163,達方,109/08/05,16:02:02,本公司董事會通過達方越南有限公司擬建置廠房之資本支出預算案
36,8163,達方,109/08/05,17:39:05,本公司董事會決議增資越南子公司
37,8163,達方,109/08/06,10:35:10,澄清經濟日報報導
38,8163,達方,109/08/06,16:00:37,發佈本公司109年7月份業績資料
39,8163,達方,109/09/04,16:00:10,發佈本公司109年8月份業績資料
40,8163,達方,109/09/04,17:22:48,代子公司蘇州達方電子有限公司公告向關係人原取得不動產使用權 資產租賃範圍調整
41,8163,達方,109/10/08,15:33:35,發佈本公司109年9月份業績資料
