,公司代號,公司名稱,發言日期,發言時間,主旨
0,8201,無敵,104/01/27,17:44:54,"代子公司好易通科技(香港)有限公司公告清算解散事宜 (原103/10/28董事會通過之減資案,於104/01/27董事會通過撤銷)"
1,8201,無敵,104/03/24,16:42:58,公告本公司董事會決議召開一○四年股東常會相關事宜
2,8201,無敵,104/03/24,17:43:43,公告董事會通過本公司一○三年度個體財務報表
3,8201,無敵,104/03/24,17:44:11,公告董事會通過本公司一○三年度合併財務報表
4,8201,無敵,104/04/21,17:42:10,董事會決議股利分派
5,8201,無敵,104/04/21,21:10:27,代子公司好易通科技(香港)有限公司公告處分有價證券之相關資料
6,8201,無敵,104/04/21,21:10:53,代子公司好易通科技(香港)有限公司公告處分有價證券之相關資料
7,8201,無敵,104/04/21,21:11:19,代子公司好易通科技(香港)有限公司公告處分有價證券之相關資料
8,8201,無敵,104/04/21,21:11:45,代子公司好易通科技(香港)有限公司公告處分有價證券之相關資料
9,8201,無敵,104/04/21,21:12:06,代子公司好易通科技(香港)有限公司公告處分有價證券之相關資料
10,8201,無敵,104/04/21,21:12:31,代子公司好易通科技(香港)有限公司公告處分有價證券之相關資料
11,8201,無敵,104/04/21,21:12:58,代子公司好易通科技(香港)有限公司公告處分有價證券之相關資料
12,8201,無敵,104/04/21,21:13:24,代子公司好易通科技(香港)有限公司公告處分有價證券之相關資料
13,8201,無敵,104/04/21,21:13:47,代子公司好易通科技(香港)有限公司公告處分有價證券之相關資料
14,8201,無敵,104/04/21,21:14:22,"代子公司INVENTEC BESTA (BVI) CO., LTD.公告取得有價證券"
15,8201,無敵,104/04/21,21:14:44,"代子公司INVENTEC BESTA (BVI) CO., LTD.公告取得有價證券"
16,8201,無敵,104/04/21,21:15:09,"代子公司INVENTEC BESTA (BVI) CO., LTD.公告取得有價證券"
17,8201,無敵,104/04/21,21:15:29,"代子公司INVENTEC BESTA (BVI) CO., LTD.公告取得有價證券"
18,8201,無敵,104/04/21,21:16:10,"代子公司INVENTEC BESTA (BVI) CO., LTD.公告取得有價證券"
19,8201,無敵,104/04/21,21:16:31,"代子公司INVENTEC BESTA (BVI) CO., LTD.公告取得有價證券"
20,8201,無敵,104/04/21,21:16:51,"代子公司INVENTEC BESTA (BVI) CO., LTD.公告取得有價證券"
21,8201,無敵,104/04/21,21:17:15,"代子公司INVENTEC BESTA (BVI) CO., LTD.公告取得有價證券"
22,8201,無敵,104/04/21,21:17:34,"代子公司INVENTEC BESTA (BVI) CO., LTD.公告取得有價證券"
23,8201,無敵,104/04/22,19:52:51,更正104/04/21重訊(2)-代子公司好易通科技(香港)有限 公司公告處分中國工商銀行（亞洲）有限公司人民幣債券
24,8201,無敵,104/04/22,19:53:13,"更正104/04/21重訊(11)-代子公司INVENTEC BESTA (BVI)CO.,LTD.公告取得中國工商銀行(亞洲)有限公 司債券"
25,8201,無敵,104/05/11,18:02:11,公告董事會通過本公司一○四年第一季合併財務季報表
26,8201,無敵,104/06/23,17:07:50,公告本公司一○四年股東常會重要決議事項
27,8201,無敵,104/06/23,17:08:43,公告本公司股東常會決議通過解除董事及其代表人競業行為之限制
28,8201,無敵,104/06/30,17:59:06,"代子公司BESTA (CAYMAN) CO., LTD.公告辦理現金 增資案"
29,8201,無敵,104/06/30,17:59:25,代重要子公司「無敵數碼科技有限公司」公告 法人董事之改派代表案。
30,8201,無敵,104/08/11,15:50:48,公告董事會通過本公司一○四年第二季止合併財務季報表
31,8201,無敵,104/09/30,16:37:35,"代重要子公司INVENTEC BESTA (BVI) CO.,LTD公告現金減資事宜"
32,8201,無敵,104/11/10,16:09:51,公告本公司董事會通過現金減資案
33,8201,無敵,104/11/10,16:10:16,公告董事會通過本公司一○四年第三季止合併財務季報表
34,8201,無敵,104/11/10,16:37:52,公告本公司董事會決議召開第一次股東臨時會
35,8201,無敵,104/11/11,15:54:43,公告更正本公司104年09月與關係人取得資產相關資訊
36,8201,無敵,104/11/17,16:32:37,"係因本公司有價證券於集中交易市場有異常交易情形, 故依規定公布基本財務業務等重大訊息,以利投資人區瞭解"
37,8201,無敵,104/12/28,16:07:47,公告本公司104年第1次股東臨時會重要決議事項
38,8201,無敵,104/12/28,16:08:13,本公司辦理現金減資致債權人公告
39,8201,無敵,104/12/29,16:29:41,公告本公司股東臨時會決議將原104/11/10董事會決議 現金減資比率由50%變更為30%
