,公司代號,公司名稱,發言日期,發言時間,主旨
0,8210,勤誠,108/01/25,14:38:24,公告本公司董事會通過展延對Procase & Morex Corporation 之背書保證額度350萬美元
1,8210,勤誠,108/01/25,14:38:59,公告本公司董事會通過展延對Procase & Morex Corporation 之背書保證額度50萬美元
2,8210,勤誠,108/03/11,15:25:22,受邀參加富邦證券舉辦之線上法人說明會說明本公司2018年第四季營運成果
3,8210,勤誠,108/03/18,17:09:32,本公司受邀參加美林證券舉辦之美林美銀科技行業論壇
4,8210,勤誠,108/03/19,14:23:29,【公告】本公司董事會通過107年合併財務報表
5,8210,勤誠,108/03/19,14:24:08,本公司召開一百零八年度股東常會日期及相關事宜公告
6,8210,勤誠,108/03/19,14:35:23,公告本公司董事會決議通過107年度董監酬勞及員工酬勞
7,8210,勤誠,108/03/19,14:35:48,董事會決議股利分派
8,8210,勤誠,108/04/03,14:54:39,本公司受邀參加臺灣證券交易所及寬量國際共同於香港主辦之「2019 Taiwan CEO Week」，向投資人說明本公司之營運概況、財務及業務相關資訊。
9,8210,勤誠,108/04/08,18:59:36,公告本公司自然人董事徐顯國當然解任之事實發生日及 發生變動日期
10,8210,勤誠,108/05/06,15:51:07,受邀參加富邦證券舉辦之線上法人說明會說明本公司2019年第一季營運成果
11,8210,勤誠,108/05/14,18:02:05,【公告】本公司108年第一季合併財務報表
12,8210,勤誠,108/05/14,18:02:31,【公告】本公司董事會決議一百零八年度股東常會新增議案
13,8210,勤誠,108/05/14,18:33:39,公告本公司董事會通過撤銷對Procase & Morex Corporation 之背書保證額度300萬美元
14,8210,勤誠,108/06/25,16:07:01,公告本公司設置公司治理主管
15,8210,勤誠,108/06/25,16:07:25,公告本公司108年股東常會重要決議事項
16,8210,勤誠,108/06/25,16:07:46,公告本公司董事會決議分派現金股利除息基準日
17,8210,勤誠,108/06/25,16:08:10,"公告本公司董事會決議通過處份,間接投資之薩摩亞 Cloud InternationalCompany Limited 結束營業"
18,8210,勤誠,108/08/05,13:56:58,受邀參加富邦證券舉辦2019年第二季營運成果線上法人說明會
19,8210,勤誠,108/08/13,16:02:12,【公告】本公司108年上半年合併財務報表
20,8210,勤誠,108/08/13,17:44:53,【公告】本公司董事會決議擬取得不動產相關事宜
21,8210,勤誠,108/08/13,17:45:28,公告本公司董事會通過展延CHENBRO MICOM (USA) INC. 之背書保證額度200萬美元
22,8210,勤誠,108/08/13,19:03:04,【補公告估價金額】本公司董事會決議擬取得不動產相關事宜
23,8210,勤誠,108/09/09,11:44:38,澄清媒體有關本公司相關報導
24,8210,勤誠,108/10/24,16:36:48,【簽約公告】本公司董事會決議擬取得不動產相關事宜
25,8210,勤誠,108/11/01,15:26:43,本公司參加群益金鼎證券舉辦2019年第三季營運成果線上法人說明會
26,8210,勤誠,108/11/12,17:01:12,【公告】本公司108年第三季合併財務報表
27,8210,勤誠,108/11/12,17:01:39,【公告】本公司擬出售中和區建一路之不動產事宜
28,8210,勤誠,108/11/20,13:41:37,公告本公司受邀參加寬量國際於新加坡主辦之「Taiwan CEO Day」
