,公司代號,公司名稱,發言日期,發言時間,主旨
0,8213,志超,109/01/08,16:40:28,代重要子公司統盟電子(股)公司公告臨時股東會(董事會代行) 之重要決議事項。
1,8213,志超,109/01/08,16:41:07,代子公司祥豐電子(中山)有限公司公告新增資金貸與 餘額達處理準則第二十二條第一項第二款及第三款
2,8213,志超,109/01/08,18:33:26,代子公司志超科技(蘇州)有限公司補公告資金貸與 餘額達處理準則第二十二條第一項第二款及第三款
3,8213,志超,109/01/08,18:34:30,代子公司志超科技(蘇州)有限公司補公告資金貸與餘額 達處理準則第二十二條第一項第三款
4,8213,志超,109/01/08,18:34:59,代子公司祥豐電子(中山)有限公司補公告新增資金貸與 餘額達處理準則第二十二條第一項第三款
5,8213,志超,109/01/10,17:19:16,代子公司統盟(無錫)電子有限公司公告向關係人取得營 業用機器設備一批累計達新台幣三億元以上相關事宜。
6,8213,志超,109/01/10,17:19:33,代子公司志超科技(蘇州)有限公司公告出售營業用機器設備 一批予關係人累計達新台幣三億元以上相關事宜。
7,8213,志超,109/01/31,16:04:22,有關武漢肺炎疫情相關聲明
8,8213,志超,109/02/12,17:17:41,公告大陸子公司復工事宜
9,8213,志超,109/02/20,16:06:41,代重要子公司統盟電子(股)公司公告臨時股東會(董事會代行) 之重要決議事項。
10,8213,志超,109/02/26,14:47:22,補充代子公司志超科技(蘇州)有限公司公告處分土地使用權、廠 房及設備事宜
11,8213,志超,109/03/23,14:54:03,公告本公司董事會決議買回庫藏股
12,8213,志超,109/03/23,18:34:38,代重要子公司統盟電子(股)公司公告股東常會重要決議事項 (董事會代行)
13,8213,志超,109/03/23,18:35:01,代重要子公司統盟電子股份有限公司公告董事會決議一○八 年度員工及董監酬勞金額及發放方式(董事會代行)
14,8213,志超,109/03/23,18:35:28,代重要子公司統盟電子(股)公司公告唯一董事同意一○八年 度盈餘分配，不分配股東股利。
15,8213,志超,109/03/23,18:44:52,公告本公司董事會決議召開109年股東常會事宜
16,8213,志超,109/03/23,18:45:23,公告本公司董事會決議解除經理人競業禁止限制事宜
17,8213,志超,109/03/23,19:31:28,代子公司祥豐電子(中山)有限公司公告資金貸與餘額達 處理準則第二十二條第三款
18,8213,志超,109/03/23,19:31:46,代子公司志超科技(蘇州)有限公司公告資金貸與餘額達 處理準則第二十二條第一項第二款及第三款
19,8213,志超,109/03/23,19:32:07,代子公司志超科技(蘇州)有限公司公告資金貸與餘額達 處理準則第二十二條第一項第三款
20,8213,志超,109/04/23,16:11:37,公告本公司董事會決議股利分派
21,8213,志超,109/04/30,14:40:44,公告本次買回庫藏股累積達本公司已發行股份總數百分之二
22,8213,志超,109/05/12,16:41:07,代子公司祥豐電子(中山)有限公司公告資金貸與餘額達 處理準則第二十二條第一項第二款及第三款
23,8213,志超,109/05/12,16:41:33,代子公司志超科技(蘇州)有限公司公告資金貸與餘額達 處理準則第二十二條第一項第三款
24,8213,志超,109/05/13,14:34:09,公告本公司第六次買回庫藏股已執行完畢
25,8213,志超,109/05/27,16:27:44,公告本公司訂定配息基準日
26,8213,志超,109/06/11,14:41:33,公告本公司109年股東常會重要決議事項
27,8213,志超,109/06/11,14:41:52,公告本公司股東常會通過解除董事之競業禁止事宜
28,8213,志超,109/07/07,14:29:42,代重要子公司志超科技(蘇州)有限公司公告 董事會決議辦理現金減資
29,8213,志超,109/07/31,15:15:17,代重要子公司志超科技(蘇州)有限公司辦理現金減資補充公告
30,8213,志超,109/08/11,14:46:55,代子公司志超科技(蘇州)有限公司公告資金貸與餘額達處理 準則第二十二條第一項第二款及第三款
31,8213,志超,109/08/25,18:03:33,"代重要子公司統盟(無錫)電子有限公司 公告董事會通過盈餘匯回統盟薩摩亞國際(股)公司 YANG AN INTERNATIIONAL(SAMOA)CO.,LTD。"
32,8213,志超,109/08/28,16:06:47,代重要子公司統盟(無錫)電子有限公司公告 董事會決議辦理現金增資1000萬美元。
33,8213,志超,109/08/31,14:34:16,本公司受邀參加福邦證券所舉辦之法人說明會
