,公司代號,公司名稱,發言日期,發言時間,主旨
0,8374,羅昇,102/01/29,16:43:30,因本公司有價證券於集中交易市場達公布注意交易資訊標準，故 公布相關財務業務等重大訊息，以利投資人區別瞭解。
1,8374,羅昇,102/01/31,14:28:08,公告本公司自集中市場買回國內第一次無擔保轉換公司債
2,8374,羅昇,102/02/19,16:45:51,補充說明102年1月份營收與去年同期差異甚大原因，俾利 投資人了解
3,8374,羅昇,102/03/22,15:19:17,本公司董事會決議召開102年股東常會公告
4,8374,羅昇,102/03/22,15:29:43,公告本公司董事會通過資本公積配發現金案
5,8374,羅昇,102/03/22,16:04:52,本公司公告新增背書保證金額達新台幣三千萬元以上且達 本公司最近期財務報表淨值百分之五以上
6,8374,羅昇,102/03/27,13:34:17,公告102/03/27發生於南投之地震對本公司財務業務並無重大影響
7,8374,羅昇,102/06/14,10:57:11,本公司102年股東常會重要決議事項
8,8374,羅昇,102/06/25,16:10:08,公告本公司董事會決議除息基準日及國內第一次無擔保轉換公司債 停止轉換
9,8374,羅昇,102/08/07,18:00:35,本公司公告新增背書保證金額達新台幣三千萬元以上且達本公司 最近期財務報表淨值百分之五以上
10,8374,羅昇,102/11/08,13:45:21,代子公司天津羅昇企業有限公司發布訴訟事項
