,公司代號,公司名稱,發言日期,發言時間,主旨
0,8404,百和興業-KY,106/01/06,17:55:11,公告本公司105年12月份自結合併營收概算
1,8404,百和興業-KY,106/01/12,17:45:52,公告本公司105年12月份自結合併損益相關資訊
2,8404,百和興業-KY,106/01/17,17:32:32,代無錫百和織造股份有限公司公告新增資金貸與金額達 「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2款及第3款之規定
3,8404,百和興業-KY,106/01/17,17:32:49,代無錫百和織造股份有限公司公告新增資金貸與金額達 「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第1款之規定
4,8404,百和興業-KY,106/02/08,17:42:40,公告本公司106年1月份自結合併營收概算
5,8404,百和興業-KY,106/02/14,17:37:56,公告本公司106年1月份自結合併損益相關資訊
6,8404,百和興業-KY,106/03/07,17:14:29,公告本公司董事會決議召開106年股東常會事宜
7,8404,百和興業-KY,106/03/07,17:32:22,公告本公司106年2月份自結合併營收概算
8,8404,百和興業-KY,106/03/07,17:49:28,公告本公司董事會通過105年度合併財務報告
9,8404,百和興業-KY,106/03/07,17:49:54,公告本公司董事會決議股利分派
10,8404,百和興業-KY,106/03/07,17:54:07,公告本公司董事會決議盈餘轉增資發行新股案
11,8404,百和興業-KY,106/03/07,18:11:25,公告本公司對越南百宏有限公司提供背書保證達【公開發行公司 資金貸與及背書保證處理準則】第25條第1項第4款之規定
12,8404,百和興業-KY,106/03/07,18:15:42,代子公司無錫百和織造股份有限公司公告董事會決議不分配股利
13,8404,百和興業-KY,106/03/07,18:21:17,代子公司無錫百和織造股份有限公司公告董事會決議 召開股東會相關事宜
14,8404,百和興業-KY,106/03/07,18:37:51,代無錫百和織造股份有限公司公告新增資金貸與金額達 「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2款及第3款之規定
15,8404,百和興業-KY,106/03/07,19:02:10,公告子公司越南百宏有限公司訂購機器設備
16,8404,百和興業-KY,106/03/15,17:01:21,代子公司無錫百和織造股份有限公司公告股東會之決議事項
17,8404,百和興業-KY,106/03/15,17:15:04,代無錫百和織造股份有限公司公告董監事任期屆滿改選
18,8404,百和興業-KY,106/03/15,17:18:54,代無錫百和織造股份有限公司公告選任董事長及總經理
19,8404,百和興業-KY,106/03/15,17:35:02,代宏興有限公司公告新增資金貸與金額達「公開發行公司 資金貸與及背書保證處理準則」第22條第1項第2款及第3款 之規定
20,8404,百和興業-KY,106/03/15,17:47:18,公告本公司106年2月份自結合併損益相關資訊
21,8404,百和興業-KY,106/03/28,17:24:01,代子公司越南百宏有限公司公告董事會決議 自有土地委託承造之相關事宜
