,公司代號,公司名稱,發言日期,發言時間,主旨
0,8404,百和興業-KY,108/01/08,16:32:03,公告本公司107年12月份自結合併營收概算
1,8404,百和興業-KY,108/01/15,16:54:07,公告本公司107年12月份自結合併損益相關資訊
2,8404,百和興業-KY,108/01/25,16:55:55,代無錫百和織造股份有限公司公告新增資金貸與金額達 「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第3款之規定
3,8404,百和興業-KY,108/02/14,16:57:21,公告本公司108年1月份自結合併營收概算
4,8404,百和興業-KY,108/02/19,16:54:30,公告本公司108年1月份自結合併損益相關資訊
5,8404,百和興業-KY,108/03/07,18:48:02,公告本公司108年2月份自結合併營收概算
6,8404,百和興業-KY,108/03/07,18:49:19,代子公司無錫百和織造股份有限公司公告董事會決議 召開股東會相關事宜
7,8404,百和興業-KY,108/03/07,18:50:17,代子公司無錫百和織造股份有限公司公告董事會決議 不分派2018年度股利
8,8404,百和興業-KY,108/03/14,19:07:02,公告本公司108年2月份自結合併損益相關資訊
9,8404,百和興業-KY,108/03/14,19:09:14,公告本公司董事會通過107年度合併財務報告
10,8404,百和興業-KY,108/03/14,19:13:21,公告本公司董事會決議股利分派
11,8404,百和興業-KY,108/03/14,19:15:16,公告本公司董事會決議召開108年股東常會事宜
12,8404,百和興業-KY,108/03/14,19:15:43,公告本公司董事會決議盈餘轉增資發行新股案
13,8404,百和興業-KY,108/03/14,19:17:20,公告本公司對宏興有限公司提供背書保證達【公開發行公司 資金貸與及背書保證處理準則】第25條第1項第4款之規定
14,8404,百和興業-KY,108/03/14,19:18:03,公告本公司新增資金貸與金額達「公開發行公司資金貸與及 背書保證處理準則」第22條第1項第3款之規定
15,8404,百和興業-KY,108/03/14,19:18:30,公告董事會決議本公司透過「宏興有限公司」增資「越南百宏 有限公司」
16,8404,百和興業-KY,108/03/14,19:18:57,代子公司東莞百宏實業有限公司公告董事會決議發放股利事宜
17,8404,百和興業-KY,108/03/22,16:35:24,代子公司無錫百和織造股份有限公司公告股東會之決議事項
18,8404,百和興業-KY,108/04/09,18:07:15,公告本公司108年3月份自結合併營收概算
19,8404,百和興業-KY,108/04/12,17:33:22,公告本公司108年3月份自結合併損益相關資訊
20,8404,百和興業-KY,108/04/12,17:33:46,代子公司無錫百和織造股份有限公司公告董事會決議發放股利事宜
21,8404,百和興業-KY,108/04/12,17:34:06,代子公司無錫百和織造股份有限公司公告董事會決議 召開股東臨時會相關事宜
22,8404,百和興業-KY,108/04/12,17:34:47,(補充)代子公司無錫百宏置業有限公司公告董事會決議 自有土地委託承造之相關事宜
