,公司代號,公司名稱,發言日期,發言時間,主旨
0,8411,福貞-KY,106/03/06,09:01:04,澄清106/03/04媒體報導說明
1,8411,福貞-KY,106/03/16,08:42:47,澄清105/03/16媒體報導說明
2,8411,福貞-KY,106/03/16,08:59:37,更正澄清106/03/16媒體報導說明
3,8411,福貞-KY,106/03/24,17:51:07,本公司受邀參加凱基證券舉辦之法人說明會
4,8411,福貞-KY,106/03/25,15:09:03,公告本公司董事會通過105年度合併財務報表
5,8411,福貞-KY,106/03/25,15:09:55,公告本公司董事會決議召開106年股東常會
6,8411,福貞-KY,106/03/25,15:10:39,董事會決議股利分派
7,8411,福貞-KY,106/03/25,15:11:18,公告本公司董事會通過105年度員工酬勞及董監酬勞分派案
8,8411,福貞-KY,106/03/25,15:15:20,公告本公司董事會決議通過辦理盈餘轉增資發行新股
9,8411,福貞-KY,106/03/25,15:16:24,公告本公司董事會決議通過新項目投資案
10,8411,福貞-KY,106/04/29,10:37:13,公告本公司董事會通過106年第1季度合併財務報告
11,8411,福貞-KY,106/06/16,19:48:27,公告本公司106年股東常會重要決議事項
12,8411,福貞-KY,106/06/16,19:48:59,公告本公司董事會決議配息基準日等相關事宜
13,8411,福貞-KY,106/06/16,19:49:38,公告本公司新增背書保證金額達處理準則第二十五條 第一項第二、三、四款規定辦理公告相關事宜
14,8411,福貞-KY,106/08/10,17:59:04,本公司受邀參加證交所所舉辦之「2017年度外國上市公司財務業務說明會」
15,8411,福貞-KY,106/08/12,15:25:12,公告本公司董事會通過106年第2季度合併財務報告
16,8411,福貞-KY,106/08/12,15:25:30,代重要子公司Joubert Holdings Limited公告董事會決議盈餘分配
17,8411,福貞-KY,106/08/12,15:31:43,公告本公司依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第一款
18,8411,福貞-KY,106/08/12,15:32:05,公告本公司及子公司對單一企業資金貸與金額達處理準則 第二十二條第一項第二款
19,8411,福貞-KY,106/08/12,15:32:26,本公司公告新增資金貸與金額達新台幣一千萬元以上 且達本公司最近期財務報表淨值百分之二以上
20,8411,福貞-KY,106/08/12,15:32:42,代子公司JOUBERT HOLDINGS LMITED公告新增資金貸與金額 達新台幣一千萬元以上且達該公開發行公司最近期財務報表 淨值百分之二以上
21,8411,福貞-KY,106/08/12,15:32:58,代子公司福建福貞金屬包裝有限公司公告新增資金貸與金額 達新台幣一千萬元以上且達該公開發行公司最近期財務報表 淨值百分之二以上
22,8411,福貞-KY,106/08/12,15:33:16,公告本公司新增背書保證金額達處理準則第二十五條第一項 第四款規定
23,8411,福貞-KY,106/08/12,15:33:32,代子公司福建福貞金屬包裝有限公司公告取得 山東福貞金屬包裝有限公司股權乙案
24,8411,福貞-KY,106/08/12,15:34:01,公告本公司董事會決議子公司Joubert Holdings Limited 之轉投資孫公司福建福貞金屬包裝有限公司間接100%投資 籌設大陸公司山東福天食品有限公司
25,8411,福貞-KY,106/10/28,15:05:00,公告本公司董事會通過106年第3季度合併財務報告
26,8411,福貞-KY,106/10/28,15:05:47,公告本公司董事會決議子公司Joubert Holdings Limited之轉投資 孫公司福建福貞金屬包裝有限公司間接100%投資籌設大陸新設立 河南福貞金屬包裝有限公司
27,8411,福貞-KY,106/12/11,16:26:46,本公司受邀參加永豐金證券舉辦之「2018年趨勢產業投資論壇」
