,公司代號,公司名稱,發言日期,發言時間,主旨
0,8427,基勝-KY,103/01/02,16:03:20,公告本公司背書保證達公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第四款
1,8427,基勝-KY,103/01/03,15:03:40,公告本公司民國102年12月自結合併營收資訊
2,8427,基勝-KY,103/01/07,17:56:42,公告本公司民國102年12月份自結合併損益相關資訊
3,8427,基勝-KY,103/02/06,18:16:36,公告本公司民國103年1月自結合併營收資訊
4,8427,基勝-KY,103/02/10,16:10:43,公告本公司民國103年1月份自結合併損益相關資訊
5,8427,基勝-KY,103/03/03,17:11:39,公告本公司民國103年2月份自結合併營收資訊
6,8427,基勝-KY,103/03/07,16:37:34,公告本公司民國103年2月份自結合併損益相關資訊
7,8427,基勝-KY,103/03/12,16:05:59,更正子公司基勝工業(上海)有限公司民國103年1月衍生性 商品交易資訊
8,8427,基勝-KY,103/03/19,16:14:04,公告本公司薪酬委員會委員異動
9,8427,基勝-KY,103/03/25,18:14:16,公告本公司董事會決議召開民國103年股東常會
10,8427,基勝-KY,103/03/25,18:15:16,公告本公司董事會重要決議事項
11,8427,基勝-KY,103/03/25,18:15:55,公告本公司董事會決議通過新任財務主管案
12,8427,基勝-KY,103/03/25,18:16:28,公告取得會計師內部控制專案審查報告
13,8427,基勝-KY,103/03/25,18:21:21,公告本公司董事會決議盈餘分配及資本公積發放現金事宜
14,8427,基勝-KY,103/04/02,17:59:45,公告本公司民國103年3月份自結合併營收資訊
15,8427,基勝-KY,103/04/08,17:47:18,公告本公司民國103年3月份自結合併損益相關資訊
16,8427,基勝-KY,103/04/28,17:16:15,公告本公司董事會重要決議事項
17,8427,基勝-KY,103/05/06,15:54:11,公告本公司民國103年4月自結合併營收資訊
18,8427,基勝-KY,103/05/09,16:11:45,公告本公司民國103年4月份自結合併損益相關資訊
19,8427,基勝-KY,103/05/30,16:32:05,公告本公司內部稽核主管代理人
20,8427,基勝-KY,103/06/03,17:17:54,公告本公司背書保證達公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第四款
21,8427,基勝-KY,103/06/03,18:05:41,公告本公司民國103年5月自結合併營收資訊
22,8427,基勝-KY,103/06/06,17:16:59,公告本公司民國103年5月份自結合併損益相關資訊
23,8427,基勝-KY,103/06/09,18:00:33,公告本公司背書保證達公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第四款
24,8427,基勝-KY,103/06/13,16:49:36,公告本公司民國103年股東常會重要決議事項
25,8427,基勝-KY,103/06/13,16:52:08,公告本公司民國103年股東常會通過解除新任董事競業禁止之 限制案
26,8427,基勝-KY,103/06/13,16:55:27,公告本公司董事任期屆滿全面改選案
27,8427,基勝-KY,103/06/13,17:00:51,公告本公司監察人任期屆滿全面改選案
28,8427,基勝-KY,103/06/13,17:02:28,公告本公司董事會選任董事長
29,8427,基勝-KY,103/06/13,17:04:24,公告本公司董事會通過委任第二屆薪資報酬委員會委員
30,8427,基勝-KY,103/06/30,17:29:01,公告本公司董事會決議除息及資本公積配發現金之基準日
31,8427,基勝-KY,103/07/02,17:45:55,公告本公司民國103年6月自結合併營收資訊
32,8427,基勝-KY,103/07/04,17:03:20,代重要子公司基勝工業(上海)有限公司公告董事會決議發放 股利
33,8427,基勝-KY,103/07/11,17:06:07,公告本公司民國103年6月份自結合併損益相關資訊
34,8427,基勝-KY,103/07/25,17:06:37,變更本公司訴訟及非訟代理人
35,8427,基勝-KY,103/07/30,17:07:30,代重要子公司-堯宗投資股份有限公司公告董事會決議 2013年度盈餘分配案
