,公司代號,公司名稱,發言日期,發言時間,主旨
0,8454,富邦媒,104/01/14,18:00:59,本公司受邀參加得意志銀行舉辦之「dbAccess Taiwan Conference 2015」
1,8454,富邦媒,104/01/23,18:24:02,富邦媒體代重要子公司富邦歌華(北京)商貿有限責任公司 公告董事會決議2015年第一次股東會召開日期及召集事由
2,8454,富邦媒,104/01/26,20:07:12,本公司受邀參加麥格理證券舉辦之投資論壇
3,8454,富邦媒,104/01/27,18:40:58,董事會決議召開103年股東常會相關事宜公告
4,8454,富邦媒,104/01/27,18:45:14,擬恢復momo3台部份地區營運
5,8454,富邦媒,104/01/27,18:55:33,本公司董事會決議規劃興建物流中心『倉儲建物』案
6,8454,富邦媒,104/01/27,19:03:42,本公司董事會決議規劃採購物流中心『倉儲設備』案
7,8454,富邦媒,104/01/27,20:03:41,董事會決議召開104年股東常會相關事宜公告 (更新原公告主旨)
8,8454,富邦媒,104/02/10,17:59:42,富邦媒體代重要子公司富邦歌華(北京)商貿有限責任公司 公告2015年第一次股東會決議事項
9,8454,富邦媒,104/03/09,10:46:11,澄清近日媒體報導本公司盜刷信用卡事件
10,8454,富邦媒,104/03/10,19:19:51,本公司受邀參加富邦證券舉辦之「富邦2015第一季產業論壇」
11,8454,富邦媒,104/03/17,18:53:05,"本公司受邀參加美林證券舉辦之「2015Taiwan, Technology & Beyond Conference」"
12,8454,富邦媒,104/03/24,18:34:08,董事會決議股利分派
13,8454,富邦媒,104/03/27,18:16:03,董事會決議召開104年股東常會相關事宜公告(增列議案)
14,8454,富邦媒,104/04/10,18:37:12,公告本公司經由購買第三地區投資事業之股權間接對大陸投資
15,8454,富邦媒,104/04/14,19:24:52,更正104/4/10本公司對大陸投資公告
16,8454,富邦媒,104/04/27,18:23:32,本公司自一○四年第二季起變更簽證會計師
17,8454,富邦媒,104/04/28,14:09:36,富邦媒體代重要子公司富邦歌華(北京)商貿有限責任公司 公告董事會決議2015年第二次股東會召開日期及召集事由
18,8454,富邦媒,104/05/06,18:09:31,104年股東常會重要決議事項
19,8454,富邦媒,104/05/13,16:09:22,富邦媒體代重要子公司富邦歌華(北京)商貿有限責任公司 公告2015年第二次股東會決議事項
20,8454,富邦媒,104/05/25,21:19:03,本公司受邀參加富邦證券舉辦之「2015年度富邦投資論壇」
21,8454,富邦媒,104/06/04,18:11:18,本公司受邀參加日盛證券舉辦之「2015日盛投資論壇」
22,8454,富邦媒,104/06/18,17:10:01,本公司受邀參加UBS舉辦之「UBS Taiwan Conference 2015」
23,8454,富邦媒,104/07/20,12:02:42,說明104/7/20經濟日報C5版之報導
24,8454,富邦媒,104/07/23,11:55:56,公告修正本公司103年度年報部份資料
25,8454,富邦媒,104/08/18,13:35:19,本公司受邀參加富邦證券舉辦之法人座談會
26,8454,富邦媒,104/08/20,13:35:08,本公司與台灣大福高科技設備股份有限公司簽訂自動化倉儲 設備與系統採購意向書
27,8454,富邦媒,104/08/25,17:48:36,本公司受邀參加野村證券舉辦之「Nomura Taiwan Corporate Day 2015」
28,8454,富邦媒,104/09/08,18:11:44,本公司受邀參加國票證券舉辦之「2015國票投資論壇」
29,8454,富邦媒,104/09/22,15:42:24,本公司受邀參加國泰證券第三季論壇
30,8454,富邦媒,104/09/22,16:05:41,富邦媒體代重要子公司富邦歌華(北京)商貿有限責任公司 公告董事會決議2015年第三次股東會召開日期及召集事由
31,8454,富邦媒,104/10/07,13:40:53,富邦媒體代重要子公司富邦歌華(北京)商貿有限責任公司 公告2015年第三次股東會決議事項
32,8454,富邦媒,104/10/07,13:42:30,富邦媒體代重要子公司富邦歌華(北京)商貿有限責任公司 公告法人董事-富盛集團(亞洲)有限公司改派代表人
33,8454,富邦媒,104/10/07,13:44:05,富邦媒體代重要子公司富邦歌華(北京)商貿有限責任公司 公告法人監察人-香港富邦媒體有限公司改派代表人
34,8454,富邦媒,104/10/08,22:17:02,本公司受邀參加麥格里證券舉辦的海外法人說明會
35,8454,富邦媒,104/10/09,11:16:18,富邦媒體代重要子公司富邦歌華(北京)商貿有限責任公司 公告董事會決議2015年第四次股東會召開日期及召集事由
36,8454,富邦媒,104/10/09,11:18:52,富邦媒體代重要子公司富邦歌華（北京）商貿有限責任公司 公告董事會通過向銀行借款案
37,8454,富邦媒,104/10/26,19:29:47,富邦媒體代重要子公司富邦歌華(北京)商貿有限責任公司公告 終止與北京家有金元商貿有限公司之業務合作
38,8454,富邦媒,104/10/26,19:41:48,富邦媒體代重要子公司富邦歌華(北京)商貿有限責任公司 公告終止與北京家有金元商貿有限公司之業務合作
