,公司代號,公司名稱,發言日期,發言時間,主旨
0,8473,山林水,105/01/11,17:31:33,更補正本公司104年12月背書保證公告
1,8473,山林水,105/01/12,17:49:22,更補正本公司102年度個體及合併、103年半年度合併、 103年度個體及合併、104年半年度合併財務報告附註部分資訊
2,8473,山林水,105/01/25,11:30:34,澄清媒體報導
3,8473,山林水,105/01/27,17:49:54,公告本公司105年第一次股東臨時會重要決議事項
4,8473,山林水,105/01/27,17:54:47,公告本公司105年第一次股東臨時會補選一席董事當選名單
5,8473,山林水,105/01/27,17:58:44,公告本公司105年第一次股東臨時會解除新任董事競業禁止 限制案不予討論
6,8473,山林水,105/02/19,18:14:44,依公開發行公司資金貸與及背書保證處理準則 第25條第一項第四款公告申報
7,8473,山林水,105/02/26,17:31:39,公告本公司董事會決議與北控水務集團有限公司 簽訂股權購買意向書
8,8473,山林水,105/03/02,12:20:36,更補正本公司105年1月背書保證公告
9,8473,山林水,105/03/10,17:08:32,依公開發行公司資金貸與及背書保證處理準則 第25條第一項第四款公告申報
10,8473,山林水,105/03/16,17:47:47,公告本公司董事會決議召開105年股東常會相關事宜
11,8473,山林水,105/03/16,17:49:46,代本公司之重要子公司綠山林開發事業(股)公司 公告董事會決議召開105年股東常會相關事宜
12,8473,山林水,105/03/17,18:00:35,因應本公司股票申請上市需要委託簽證會計師出具 內控專審報告
13,8473,山林水,105/03/24,14:44:31,更補正本公司103年度合併財務報告附註部分資訊
14,8473,山林水,105/04/26,15:08:52,公告本公司董事解任
15,8473,山林水,105/04/29,18:04:00,補充公告本公司董事會決議召開105年股東常會相關事宜
16,8473,山林水,105/04/29,18:04:49,公告本公司董事會決議股利分派
17,8473,山林水,105/04/29,18:09:22,公告本公司董事會決議104年度員工酬勞及董事酬勞分配案
18,8473,山林水,105/04/29,18:10:25,代本公司之重要子公司東山林開發事業(股)公司 公告董事會決議分派股利
19,8473,山林水,105/04/29,18:11:08,代本公司之重要子公司東山林開發事業(股)公司 公告董事會決議104年度員工酬勞及董監酬勞分配案
20,8473,山林水,105/04/29,18:11:49,代本公司之重要子公司東山林開發事業(股)公司 公告對關係人之捐贈事宜
21,8473,山林水,105/04/29,18:12:27,代本公司之重要子公司綠山林開發事業(股)公司 補充公告董事會決議召開105年股東常會相關事宜
22,8473,山林水,105/04/29,18:13:00,代本公司之重要子公司綠山林開發事業(股)公司 公告董事會決議分派股利
23,8473,山林水,105/04/29,18:13:44,代本公司之重要子公司綠山林開發事業(股)公司 公告董事會決議104年度員工酬勞及董監酬勞分配案
24,8473,山林水,105/05/09,17:26:02,更正本公司104年12月自結營業收入資料
25,8473,山林水,105/05/11,18:48:03,代子公司東山林開發事業(股)公司公告無形資產之取得
26,8473,山林水,105/06/13,16:00:14,公告本公司105年股東常會重要決議事項
27,8473,山林水,105/06/14,18:44:06,代本公司之重要子公司綠山林開發事業(股)公司 公告105年股東常會重要決議事項
28,8473,山林水,105/06/14,18:45:26,公告本公司105年現金股利配息基準日
29,8473,山林水,105/06/14,18:45:53,代本公司之重要子公司東山林開發事業(股)公司 公告董事會決議現金股利配息基準日
30,8473,山林水,105/06/14,18:46:15,代本公司之重要子公司綠山林開發事業(股)公司 公告董事會決議現金股利配息基準日
31,8473,山林水,105/06/28,17:35:03,公告本公司董事會決議辦理現金增資發行新股 供初次上市前公開承銷案
32,8473,山林水,105/07/06,14:00:44,更補正本公司103年度合併、104年半年度合併、104年度合併 財務報告附註部分資訊
33,8473,山林水,105/07/12,11:59:54,澄清媒體報導
34,8473,山林水,105/07/14,11:55:39,澄清媒體報導
35,8473,山林水,105/07/25,17:26:03,本公司將於105年7月28日召開上市前業績發表會
36,8473,山林水,105/07/29,12:01:40,澄清媒體報導
37,8473,山林水,105/07/29,12:20:06,代公告本公司投資100%之子公司元山林開發事業股份有限 公司與經濟部工業局簽訂觀音工業區下水道系統增建、改建、 修建、營運及移轉案契約。
38,8473,山林水,105/08/10,12:47:32,公告本公司與北控水務集團有限公司簽訂股權買賣協議書
39,8473,山林水,105/08/10,12:47:58,公告本公司與北京控股環境集團有限公司簽署 「土壤治理及修復」合作框架協議
40,8473,山林水,105/08/10,17:07:14,公告本公司初次上市現金增資委託代收及存儲價款機構
41,8473,山林水,105/08/10,17:08:45,公告本公司股票初次上巿現金增資認股繳款期間相關事宜
42,8473,山林水,105/08/11,11:02:43,澄清媒體報導
43,8473,山林水,105/08/16,17:36:35,公告本公司股務代理機構名稱、辦公處所及連絡電話
44,8473,山林水,105/08/16,17:47:55,公告本公司股票初次上巿前現金增資發行新股調整暫定 承銷價相關事宜
45,8473,山林水,105/08/25,16:02:55,公告本公司股票初次上市前現金增資發行新股承銷價格
46,8473,山林水,105/09/06,17:43:07,公告本公司辦理股票初次上市過額配售內容
47,8473,山林水,105/09/06,17:46:05,公告本公司初次上市現金增資收足股款暨現金增資基準日
48,8473,山林水,105/09/07,15:25:22,公告本公司股票即將終止興櫃交易並轉至臺灣證券交易所上巿交易
49,8473,山林水,105/09/13,16:50:01,公告本公司上巿掛牌首五個營業日穩定價格操作結果
50,8473,山林水,105/10/07,12:51:55,公告本公司初次申請股票上市時所出具之承諾事項暨其後續 執行情形
51,8473,山林水,105/10/26,16:12:43,公告本公司董事會決議召開105年第二次股東臨時會相關事宜
52,8473,山林水,105/11/17,17:07:20,公告本公司受邀參加臺灣證券交易所舉辦之「主題式業績發表會」
53,8473,山林水,105/12/13,15:29:42,公告本公司105年第二次股東臨時會重要決議事項
54,8473,山林水,105/12/13,15:30:24,公告本公司105年第二次股東臨時會補選一席董事當選名單
55,8473,山林水,105/12/13,15:31:12,公告本公司105年第2次股東臨時會通過解除新任董事及其代表人 競業禁止限制
56,8473,山林水,105/12/21,16:43:03,公告董事會通過對關係人捐贈事宜
