,公司代號,公司名稱,發言日期,發言時間,主旨
0,8481,政伸,105/03/25,15:06:20,公告本公司董事會決議通過104年度董監酬勞及員工酬勞案
1,8481,政伸,105/03/25,15:17:51,公告本公司董事會決議105年股東常會召開日期及相關事宜
2,8481,政伸,105/03/25,15:32:43,董事會決議股利分派
3,8481,政伸,105/06/20,14:01:42,公告本公司105年股東常會重要決議事項
4,8481,政伸,105/06/20,14:07:54,公告本公司董事會決議除息基準日
5,8481,政伸,105/08/12,17:39:21,公告本公司董事會通過105年第二季合併財務季報告
6,8481,政伸,105/08/30,10:28:29,公告更正本公司105年7月營收公告
7,8481,政伸,105/08/31,13:59:52,公告本公司取得會計師「內部控制專案審查報告」
8,8481,政伸,105/10/12,18:12:41,董事會決議辦理現金增資發行新股供初次上市前公開承銷案
9,8481,政伸,105/10/19,16:59:15,更正子公司105年09月資金貸與實際動支金額
10,8481,政伸,105/11/11,15:42:41,更正本公司一○三年度、一○四年度之個體及合併財務報告， 以及一○四年第二季、一○五年第二季合併財務季報告部分內容
11,8481,政伸,105/11/11,19:26:21,公告本公司董事會通過105年第三季合併財務季報告
