,公司代號,公司名稱,發言日期,發言時間,主旨
0,8481,政伸,106/01/13,17:27:52,代子公司政伸印刷(深圳)有限公司及政伸印刷(太倉)有限公司， 依公開發行公司資金貸與及背書保證處理準則第二十二條第一項 第三款公告
1,8481,政伸,106/02/02,16:11:28,公告本公司召開上巿前業績發表會
2,8481,政伸,106/02/08,11:53:37,公告澄清有關本公司上市掛牌價格之報導
3,8481,政伸,106/02/10,17:01:16,公告本公司股務代理機構名稱、辦公處所及聯絡電話
4,8481,政伸,106/02/10,17:04:31,公告本公司股票初次上巿前現金增資發行新股之相關事宜
5,8481,政伸,106/02/15,15:43:36,公告本公司股票即將終止興櫃交易並轉至臺灣證券交易所上市交易
6,8481,政伸,106/02/18,15:19:23,公告本公司股票初次上市前現金增資發行新股承銷價格
7,8481,政伸,106/02/18,15:23:55,公告本公司股票初次上市現金增資委託代收及存儲價款機構
8,8481,政伸,106/02/20,11:59:21,公告澄清「準上市：政伸(8481)2月24日以38元掛牌上市， 法人估今年EPS2.78元」之報導
9,8481,政伸,106/02/22,08:45:06,公告本公司辦理股票初次上巿過額配售內容
10,8481,政伸,106/02/23,09:31:46,公告本公司辦理股票初次上市前現金增資收足股款暨增資 基準日
11,8481,政伸,106/03/01,09:25:28,澄清106/02/24財訊快報報導
12,8481,政伸,106/03/08,14:04:24,公告本公司上巿掛牌首五個營業日穩定價格操作結果
13,8481,政伸,106/03/17,18:30:58,公告本公司董事會決議通過105年度個體財務報告及合併 財務報告
14,8481,政伸,106/03/17,18:32:12,本公司董事會決議通過子公司政伸印刷(太倉)有限公司廠房 搬遷計畫
15,8481,政伸,106/03/17,18:33:48,公告本公司董事會決議106年股東常會召開日期及相關事宜
16,8481,政伸,106/03/17,18:44:20,公告本公司董事會決議股利分派
17,8481,政伸,106/03/29,14:46:43,公告本公司受邀參加臺灣證券交易所舉辦之「主題式業績發表會」
18,8481,政伸,106/04/05,15:40:55,公告本公司初次申請股票上市時所出具之承諾事項暨其後續 執行情形
19,8481,政伸,106/05/12,16:48:10,公告本公司董事會通過106年第一季合併財務季報告
20,8481,政伸,106/05/12,16:51:01,本公司董事會決議通過子公司政伸印刷(深圳)有限公司之 廠房處理規劃
21,8481,政伸,106/05/12,16:54:04,本公司董事會決議新增大陸投資設立新公司
22,8481,政伸,106/06/23,15:21:49,公告本公司106年股東常會重要決議事項
23,8481,政伸,106/06/23,15:23:52,公告本公司106年股東常會增選獨立董事一席
24,8481,政伸,106/06/23,15:24:59,公告本公司106年股東常會通過解除新任董事競業禁止 之限制案。
25,8481,政伸,106/06/23,15:28:43,公告本公司106年股東常會決議授權董事長訂定盈餘分派 之除息基準日
26,8481,政伸,106/07/05,10:13:11,公告本公司初次申請股票上市時所出具之承諾事項暨其後續 執行情形
27,8481,政伸,106/07/10,15:36:20,代重要子公司政伸印刷(深圳)有限公司公告董事會決議盈餘分配案
28,8481,政伸,106/08/11,17:19:35,公告本公司董事會通過106年第二季合併財務季報告
29,8481,政伸,106/08/11,17:20:46,公告本公司發言人及代理發言人異動
30,8481,政伸,106/09/01,15:56:29,代重要子公司世同實業有限公司公告董事會決議盈餘分配案
31,8481,政伸,106/09/29,14:31:57,公告本公司新任中國地區營運長
32,8481,政伸,106/10/06,15:26:26,公告本公司初次申請股票上市時所出具之承諾事項暨其後續 執行情形
33,8481,政伸,106/10/17,09:56:53,澄清106/10/16 MoneyDJ理財網新聞
34,8481,政伸,106/11/10,16:49:33,公告本公司董事會通過106年第三季合併財務季報告
