,公司代號,公司名稱,發言日期,發言時間,主旨
0,8926,台汽電,103/01/16,18:07:59,公告本公司董事會通過行使優先承購權購買森霸電力(股)公司5.5% 股權。
1,8926,台汽電,103/01/16,18:08:32,公告本公司董事會通過行使優先承購權購買星能電力(股)公司5.5% 股權。
2,8926,台汽電,103/01/16,18:08:51,公告本公司董事會通過行使優先承購權購買星元電力(股)公司4.6% 股權。
3,8926,台汽電,103/01/20,18:10:02,更正公告本公司董事會通過行使優先承購權購買星元電力(股)公司 4.6%股權(修正累積持股比為38.27%)。
4,8926,台汽電,103/03/20,15:50:43,公告本公司薪資報酬委員會委員異動
5,8926,台汽電,103/03/20,15:52:41,董事會決議股利分派
6,8926,台汽電,103/03/20,17:42:55,公告本公司董事會決議召開103年股東常會
7,8926,台汽電,103/04/01,16:40:35,公告更正102年12月至103年2月之關係人交易申報資訊
8,8926,台汽電,103/06/17,18:19:37,代重要子公司星能(股)公司補行公告董事長及總經理異動
9,8926,台汽電,103/06/17,18:20:24,代重要子公司星能(股)公司補行公告董事會決議辦理 102年度現金增資發行新股
10,8926,台汽電,103/06/17,18:21:13,代重要子公司星能(股)公司補行公告102年度現金增資基準日
11,8926,台汽電,103/06/17,18:22:03,代重要子公司星能(股)公司補行公告法人董事及監察人 之代表人異動
12,8926,台汽電,103/06/17,18:22:19,代重要子公司星能(股)公司補行公告董事會決議不發放股利
13,8926,台汽電,103/06/17,18:22:34,代重要子公司星能(股)公司補行公告董事會決議辦理 減資彌補虧損
14,8926,台汽電,103/06/17,18:22:52,代重要子公司星能(股)公司補行公告減資基準日
15,8926,台汽電,103/06/19,17:47:33,本公司103年股東常會重要決議事項
16,8926,台汽電,103/06/19,17:47:55,本公司103年度股東常會改選董事及監察人
17,8926,台汽電,103/06/19,17:48:18,股東會通過解除董事競業禁止之限制案
18,8926,台汽電,103/06/26,17:26:34,代重要子公司星能(股)公司公告董事會(代行股東會職權)通過解除 董事競業禁止之限制案
19,8926,台汽電,103/06/26,17:26:50,代重要子公司星能(股)公司公告法人董事及監察人之代表人改派任
20,8926,台汽電,103/06/30,15:33:29,公告本公司董事會決議除息基準日
21,8926,台汽電,103/06/30,15:33:45,公告本公司董事會選任董事長
22,8926,台汽電,103/06/30,15:36:14,公告本公司董事會決議委任第二屆薪資報酬委員會委員
23,8926,台汽電,103/07/08,17:32:07,本公司轉投資之星能電力(股)公司彰濱電廠1號氣渦輪發電機 發生停機事故。
24,8926,台汽電,103/08/11,17:09:35,公告本公司董事會通過子公司合併案
25,8926,台汽電,103/10/01,17:52:54,公告本公司董事會通過擬行使優先承購權購買森霸電力(股)公司 5%股權
26,8926,台汽電,103/12/26,18:41:06,公告本公司發言人異動
27,8926,台汽電,103/12/26,18:41:42,代重要子公司星能(股)公司公告董事會決議辦理103年度 現金增資及訂定增資基準日
28,8926,台汽電,103/12/26,18:42:07,代重要子公司上民營造(股)公司公告董事會決議辦理 103年度現金增資及訂定增資基準日
29,8926,台汽電,103/12/26,18:42:30,代重要子公司上民營造(股)公司公告董事長、董事異動及 三分之一以上董事發生變動
