,公司代號,公司名稱,發言日期,發言時間,主旨
0,9802,鈺齊-KY,106/01/10,14:31:54,公告本公司105年第四季合併自結損益
1,9802,鈺齊-KY,106/01/12,11:41:30,公告本公司將收回已發行之限制員工權利新股辦理註銷完成公告
2,9802,鈺齊-KY,106/03/07,14:39:29,公告本公司受邀參加元富證券舉辦之「元富證券2017總體經濟論壇暨產業趨勢探討」
3,9802,鈺齊-KY,106/03/08,14:55:09,公告本公司董事會決議辦理限制員工權利新股收回註銷減資案
4,9802,鈺齊-KY,106/03/08,15:06:04,公告本公司董事會決議買回庫藏股事宜
5,9802,鈺齊-KY,106/03/08,15:12:03,董事會決議股利分派
6,9802,鈺齊-KY,106/03/08,15:14:55,本公司董事會決議106年股東常會相關事宜之資訊
7,9802,鈺齊-KY,106/03/09,13:31:10,公告本公司取得會計師105年度內部控制制度專案審查報告
8,9802,鈺齊-KY,106/03/24,14:36:09,公告本公司受邀參加臺灣證券交易所舉辦之『外國上市公司財務業務說明會』
9,9802,鈺齊-KY,106/04/12,18:19:01,公告本公司第二次買回庫藏股已執行完畢相關事宜
10,9802,鈺齊-KY,106/04/13,17:41:14,公告本公司將收回已發行之限制員工權利新股辦理註銷完成公告
11,9802,鈺齊-KY,106/04/14,14:37:13,公告本公司106年第一季合併自結損益
12,9802,鈺齊-KY,106/04/27,14:45:55,本公司之子公司「加和企業有限公司」，對其子公司 「鈺興鞋業有限責任公司」增資案
13,9802,鈺齊-KY,106/04/27,15:23:21,公告本公司董事會通過修訂「買回股份轉讓員工辦法」部分條文
14,9802,鈺齊-KY,106/04/27,17:31:09,補充本公司董事會決議106年股東常會相關事宜之資訊
15,9802,鈺齊-KY,106/05/05,14:39:21,公告本公司受邀參加犇亞證券舉辦之法人座談會
16,9802,鈺齊-KY,106/06/08,11:33:56,代重要子公司加和企業有限公司公告股利分派資訊
17,9802,鈺齊-KY,106/06/08,11:34:29,本公司106年股東常會重要決議事項
18,9802,鈺齊-KY,106/06/08,11:34:59,公告董事會決議配息基準日及股票停止過戶期間
19,9802,鈺齊-KY,106/06/16,14:36:49,公告本公司受邀參加富邦證券舉辦之法人說明會
20,9802,鈺齊-KY,106/06/21,16:04:39,公告本公司調整股東配息率
21,9802,鈺齊-KY,106/06/22,09:34:25,澄清106/06/21Money DJ理財網有關報導
22,9802,鈺齊-KY,106/07/17,14:30:16,公告本公司106年第二季合併自結損益
23,9802,鈺齊-KY,106/08/08,18:00:28,本公司之子公司「加和企業有限公司」，對其子公司「齊隆 製衣股份有限公司」增資案
24,9802,鈺齊-KY,106/09/11,14:37:57,公告本公司受邀參加第一金證券舉辦之「2017Q3投資座談會」
25,9802,鈺齊-KY,106/09/11,14:38:22,公告本公司受邀參加統一綜合證券舉辦之「2017大中華產業趨勢投資論壇」
26,9802,鈺齊-KY,106/10/12,14:58:27,公告本公司受邀參加麥格理證券舉辦之Macquarie Taiwan Corporate Day
27,9802,鈺齊-KY,106/10/13,14:33:22,公告本公司106年第三季合併自結損益
28,9802,鈺齊-KY,106/11/15,15:44:10,公告本公司受邀參加臺灣證券交易所舉辦之『外國上市公司財務業務說明會』
29,9802,鈺齊-KY,106/12/27,16:25:27,本公司之子公司「加和企業有限公司」，對其子公司 「鈺興鞋業有限責任公司」增資案
