,公司代號,公司名稱,發言日期,發言時間,主旨
0,9906,欣巴巴,102/01/10,17:28:31,本公司法人董事改派代表人
1,9906,欣巴巴,102/01/10,17:30:07,本公司法人董事改派代表人
2,9906,欣巴巴,102/01/10,17:30:47,本公司法人監察人改派代表人
3,9906,欣巴巴,102/01/11,16:49:51,本公司董事長異動
4,9906,欣巴巴,102/01/11,16:52:08,本公司總經理異動
5,9906,欣巴巴,102/01/11,16:54:15,本公司代理發言人異動
6,9906,欣巴巴,102/01/11,16:55:28,本公司內部稽核主管異動
7,9906,欣巴巴,102/01/11,17:03:30,本公司自然人董事異動
8,9906,欣巴巴,102/01/11,17:04:43,本公司會計主管異動
9,9906,欣巴巴,102/01/11,17:06:52,代子公司Top Brilliant International Ltd 公告減資相關事宜
10,9906,欣巴巴,102/01/18,15:53:20,本公司法人監察人指派代表人
11,9906,欣巴巴,102/01/19,15:46:06,本公司董事會通過擬與關係人簽定合建契約
12,9906,欣巴巴,102/01/21,16:38:05,更正102/01/19本公司董事會通過擬與關係人簽定合建契約
13,9906,欣巴巴,102/03/26,19:54:56,本公司董事會決議召開102年股東常會相關事宜
14,9906,欣巴巴,102/03/27,14:45:07,公告本日地震對本公司財務、業務並無重大影響
15,9906,欣巴巴,102/05/07,19:10:05,董事會決議股利分派
16,9906,欣巴巴,102/05/07,19:43:06,本公司董事會決議增資發行新股
17,9906,欣巴巴,102/05/07,19:45:43,本公司會計主管異動
18,9906,欣巴巴,102/05/10,15:50:37,本公司法人董事改派代表人
19,9906,欣巴巴,102/05/10,17:39:03,係因本公司有價證券於集中交易市場達公佈注意交易資訊標準 ，故公佈相關財務、業務等重大訊息，以利投資人區別暸解。
20,9906,欣巴巴,102/05/14,11:18:30,澄清媒體報導
21,9906,欣巴巴,102/06/03,11:47:33,公告本日地震對本公司財務、業務並無重大影響
22,9906,欣巴巴,102/06/04,13:17:23,本公司101年度合併損益表所列合併總損益金額 、基本每股盈餘14.28元來源等資訊揭露，以利投資 人區別暸解。
23,9906,欣巴巴,102/06/06,18:28:14,澄清媒體報導
24,9906,欣巴巴,102/06/10,16:18:25,本公司法人監察人改派代表人
25,9906,欣巴巴,102/06/10,17:59:29,102/6/10本公司董事會通過擬與關係人簽定合建契約
26,9906,欣巴巴,102/06/18,15:44:58,本公司102年股東常會決議事項
27,9906,欣巴巴,102/06/18,15:52:17,公告本公司102年股東常會增補董事事宜
28,9906,欣巴巴,102/06/18,15:52:48,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
29,9906,欣巴巴,102/06/18,15:53:12,解除本公司現任及新任董事及 其代表人競業限制
30,9906,欣巴巴,102/06/18,15:53:40,公告本公司變更地址事宜
31,9906,欣巴巴,102/06/26,14:54:52,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
32,9906,欣巴巴,102/06/27,08:42:59,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
33,9906,欣巴巴,102/06/28,09:35:30,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
34,9906,欣巴巴,102/06/28,15:30:13,公告本公司英文名稱由「Corner Corporation」， 更名為「Hsin Ba Ba Corporation」
35,9906,欣巴巴,102/06/28,16:15:45,公告本公司董事會決議更名全面換票計劃相關事宜
36,9906,欣巴巴,102/06/28,16:22:38,代重要子公司江城建設股份有限公司 公告董事會決議不分派股利
37,9906,欣巴巴,102/07/01,08:33:38,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
38,9906,欣巴巴,102/07/02,08:36:18,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
39,9906,欣巴巴,102/07/03,08:47:37,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
40,9906,欣巴巴,102/07/03,17:43:40,公告本公司更名全面換票計劃經主管機關核准相關事宜
41,9906,欣巴巴,102/07/04,08:41:11,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
42,9906,欣巴巴,102/07/05,08:40:47,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
43,9906,欣巴巴,102/07/08,09:05:42,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
44,9906,欣巴巴,102/07/09,08:48:57,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
45,9906,欣巴巴,102/07/10,08:33:48,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
46,9906,欣巴巴,102/07/11,08:35:52,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
47,9906,欣巴巴,102/07/12,09:48:58,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
48,9906,欣巴巴,102/07/15,08:59:03,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
49,9906,欣巴巴,102/07/15,17:35:29,公告本公司董事會決議除權基準日 等相關事宜
50,9906,欣巴巴,102/07/15,18:06:34,公告欣巴巴事業股份有限公司(原名稱:興達股份有限公司) 102.07.15董事會決議授權董事會購買土地案。
51,9906,欣巴巴,102/07/16,09:27:43,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
52,9906,欣巴巴,102/07/16,10:45:52,更正公告 欣巴巴事業股份有限公司(原名稱:興達股份有限公司) 102.07.15董事會決議授權董事長購買土地案。
53,9906,欣巴巴,102/07/17,09:18:16,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
54,9906,欣巴巴,102/07/18,08:29:10,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
55,9906,欣巴巴,102/07/19,08:38:03,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
56,9906,欣巴巴,102/07/22,08:35:02,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
57,9906,欣巴巴,102/07/22,16:52:43,係因本公司有價證券於集中交易市場達公佈注意交易資訊標準 ，故公佈相關財務、業務等重大訊息，以利投資人區別暸解。
58,9906,欣巴巴,102/07/23,08:47:34,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
59,9906,欣巴巴,102/07/24,08:39:50,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
60,9906,欣巴巴,102/07/25,08:42:10,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
61,9906,欣巴巴,102/07/26,09:05:17,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
62,9906,欣巴巴,102/07/29,08:38:40,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
63,9906,欣巴巴,102/07/30,08:33:50,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
64,9906,欣巴巴,102/07/31,08:36:17,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
65,9906,欣巴巴,102/08/01,08:40:38,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
66,9906,欣巴巴,102/08/02,08:36:32,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
67,9906,欣巴巴,102/08/05,09:09:56,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
68,9906,欣巴巴,102/08/06,08:54:11,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
69,9906,欣巴巴,102/08/07,08:35:02,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
70,9906,欣巴巴,102/08/08,08:34:38,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
71,9906,欣巴巴,102/08/09,08:33:48,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
72,9906,欣巴巴,102/08/12,08:38:46,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
73,9906,欣巴巴,102/08/12,16:28:15,公告本公司代理發言人異動
74,9906,欣巴巴,102/08/12,16:38:48,代本公司之子公司江城建設股份有限公司，公告出售不動產存貨。
75,9906,欣巴巴,102/08/12,16:39:29,本公司董事會通過擬與關係人簽定高雄市楠梓區援中段 一小段 172、175地號土地合建契約
76,9906,欣巴巴,102/08/12,17:24:57,代本公司之子公司江城建設股份有限公司，公告出售 不動產存貨。
77,9906,欣巴巴,102/08/13,08:37:14,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
78,9906,欣巴巴,102/08/14,08:52:38,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
79,9906,欣巴巴,102/08/15,08:33:59,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
80,9906,欣巴巴,102/08/16,08:19:14,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
81,9906,欣巴巴,102/08/16,16:47:28,係因本公司有價證券於集中交易市場達公佈注意交易資訊標準 ，故公佈相關財務、業務等重大訊息，以利投資人區別暸解。
82,9906,欣巴巴,102/08/19,08:42:18,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
83,9906,欣巴巴,102/08/19,13:56:15,本公司法人董事改派代表人
84,9906,欣巴巴,102/08/19,18:28:16,公告欣巴巴事業股份有限公司(原名稱:興達股份有限公司) 簽訂土地買賣契約書。
85,9906,欣巴巴,102/08/20,08:26:43,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
86,9906,欣巴巴,102/08/21,08:40:11,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
87,9906,欣巴巴,102/08/22,08:56:36,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
88,9906,欣巴巴,102/08/23,08:59:24,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
89,9906,欣巴巴,102/08/26,08:42:04,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
90,9906,欣巴巴,102/08/27,08:33:36,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
91,9906,欣巴巴,102/08/28,08:40:33,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
92,9906,欣巴巴,102/08/29,08:44:03,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
93,9906,欣巴巴,102/08/30,08:47:25,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
94,9906,欣巴巴,102/09/02,08:29:20,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
95,9906,欣巴巴,102/09/02,16:27:48,公告本公司董事會決議通過辦理現金增資發行新股
96,9906,欣巴巴,102/09/03,08:42:13,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
97,9906,欣巴巴,102/09/04,08:42:09,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
98,9906,欣巴巴,102/09/05,08:29:40,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
99,9906,欣巴巴,102/09/06,08:36:34,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
100,9906,欣巴巴,102/09/09,08:32:37,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
101,9906,欣巴巴,102/09/10,08:41:33,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
102,9906,欣巴巴,102/09/11,08:34:46,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
103,9906,欣巴巴,102/09/12,08:37:59,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
104,9906,欣巴巴,102/09/13,08:38:09,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
105,9906,欣巴巴,102/09/14,08:50:13,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
106,9906,欣巴巴,102/09/16,08:28:43,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
107,9906,欣巴巴,102/09/17,08:19:00,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
108,9906,欣巴巴,102/09/18,08:57:32,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
109,9906,欣巴巴,102/09/23,08:34:51,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
110,9906,欣巴巴,102/09/24,08:31:20,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
111,9906,欣巴巴,102/09/25,08:25:06,公告本公司名稱由興達股份有限公司 變更為欣巴巴事業股份有限公司
112,9906,欣巴巴,102/09/26,19:29:30,本公司之子公司江城建設股份有限公司於8/12經董事會通過出售 不動產存貨，於9/26正式簽約。
113,9906,欣巴巴,102/10/03,15:08:43,代本公司之子公司(江城建設股份有限公司)公告簽訂建築 興建追加工程合約案。
114,9906,欣巴巴,102/10/03,15:09:01,公告欣巴巴事業股份有限公司(原名稱:興達股份有限公司) 簽訂建築興建工程合約案。
115,9906,欣巴巴,102/10/23,16:38:49,公告本公司(原名稱:興達股份有限公司) 10/03由董事會通過獅頭段簽訂新建工程合約案， 於10/23正式簽約。
116,9906,欣巴巴,102/10/23,17:51:12,公告本公司(原名稱:興達股份有限公司) 於10/03由董事會通過獅頭段簽訂新建工程合約案， 於10/23正式簽約。
117,9906,欣巴巴,102/10/30,13:54:34,公告本公司(原名稱:興達股份有限公司)法人董事改派代表人
118,9906,欣巴巴,102/11/08,13:59:55,公告本公司(原名稱:興達股份有限公司)董事長異動
119,9906,欣巴巴,102/11/08,14:00:41,公告本公司(原名稱:興達股份有限公司)總經理異動
120,9906,欣巴巴,102/11/08,14:02:52,公告本公司(原名稱:興達股份有限公司)財務主管暨發言人異動
121,9906,欣巴巴,102/11/12,16:48:06,更正公告關係人交易申報
122,9906,欣巴巴,102/12/20,17:26:04,本公司承接子公司江城建設股份有限公司清豐段合建案 已投入總成本及權利移轉案。
123,9906,欣巴巴,102/12/20,17:26:25,代子公司江城建設股份有限公司清豐段合建案 移轉母公司公告。
124,9906,欣巴巴,102/12/31,19:11:07,本公司董事會102.12.20通過承接子公司江城建設清豐段合建相關 權利移轉案於102.12.31簽約，依規定公告。
125,9906,欣巴巴,102/12/31,19:12:00,子公司江城建設清豐段合建案經母公司董事會102.12.20決議通 過移轉母公司，於102.12.31簽約依規定代為公告。
