,公司代號,公司名稱,發言日期,發言時間,主旨
0,9914,美利達,103/01/13,10:30:09,澄清媒體報導
1,9914,美利達,103/03/26,16:23:50,公告本公司董事會決議事項
2,9914,美利達,103/03/26,16:27:07,本公司董事會決議召開股東常會日期
3,9914,美利達,103/05/09,11:44:02,董事會決議事項
4,9914,美利達,103/05/09,12:19:43,董事會決議盈餘轉增資發行新股案
5,9914,美利達,103/05/09,16:49:04,董事會決議股利分派
6,9914,美利達,103/05/09,16:52:02,本公司董事會新增103年度股東常會提報議案
7,9914,美利達,103/05/19,08:37:09,本公司參與桂盟國際(股)公司私募普通股案
8,9914,美利達,103/06/26,10:18:40,本公司股東常會決議事項
9,9914,美利達,103/06/27,10:29:28,澄清媒體報導
10,9914,美利達,103/07/21,17:30:52,本公司取得桂盟國際(股)公司私募普通股案。
11,9914,美利達,103/08/04,15:42:35,董事會決議股利發放時程
12,9914,美利達,103/08/12,14:49:04,本公司董事會決議事項公告
13,9914,美利達,103/08/22,10:24:53,澄清媒體報導
14,9914,美利達,103/08/27,10:08:16,澄清媒體報導
15,9914,美利達,103/11/12,16:03:44,本公司董事會決議事項公告
16,9914,美利達,103/12/19,10:34:07,澄清蘋果日報報導
