,公司代號,公司名稱,發言日期,發言時間,主旨
0,9918,欣天然,101/03/23,17:02:34,公告本公司董事會決議召開101年股東常會相關事宜。
1,9918,欣天然,101/03/23,17:02:54,本公司董事會決議發放股利
2,9918,欣天然,101/03/23,17:03:31,公告本公司為配合會計師事務所內部輪替作業調整，變更簽證 會計師。
3,9918,欣天然,101/03/27,16:49:05,因有價證券於集中市場有異常交易情形，故公佈基本資料 及相關財務， 業務等重大訊息，以供投資人區別瞭解
4,9918,欣天然,101/03/28,15:07:34,更正因有價證券於集中市場有異常交易情形，故公佈基本資 料及相關財務、業務等重大訊息，以供投資人區別瞭解。
5,9918,欣天然,101/05/25,17:29:11,公告本公司監察人財團法人榮民榮眷基金會代表人改派
6,9918,欣天然,101/05/29,17:13:35,公告本公司常務董事行政院國軍退除役官兵輔導委員會代表人改派
7,9918,欣天然,101/06/05,16:29:53,公告本公司監察人財團法人榮民榮眷基金會代表人改派
8,9918,欣天然,101/06/05,18:16:20,更正公告本公司監察人財團法人榮民榮眷基金會代表人改派
9,9918,欣天然,101/06/13,15:49:46,公告本公司101年股東常會重要決議事項
10,9918,欣天然,101/06/13,15:50:07,公告本公司101年股東常會董事當選名單。
11,9918,欣天然,101/06/13,15:50:17,公告本公司101年股東常會監察人當選名單。
12,9918,欣天然,101/06/13,16:43:44,公告本公司101年股東常會通過解除第16屆董事(含法人董事 代表人)競業禁止之限制案。
13,9918,欣天然,101/06/13,18:40:17,公告本公司薪資報酬委員會委員任期屆滿
14,9918,欣天然,101/06/22,17:45:10,本公司「董事長」續任公告。
15,9918,欣天然,101/06/22,17:53:06,公告本公司100年度盈餘分配案，現金股利發放事宜。
16,9918,欣天然,101/06/22,17:53:20,公告本公司第二屆「薪資報酬委員會」委員。
17,9918,欣天然,101/07/03,16:25:30,因有價證券於集中市場有異常交易情形，故公佈基本資料及 相關財務，業務等重大訊息，以供投資人區別瞭解。
18,9918,欣天然,101/07/17,15:30:03,補正本公司100年度年報部份資料。
19,9918,欣天然,101/08/01,13:54:54,公告本公司董事行政院國軍退除役官兵輔導委員會代表人異 動。
20,9918,欣天然,101/10/31,16:39:53,公告本公司董事行政院國軍退除役官兵輔導委員會代表人改派
21,9918,欣天然,101/12/24,16:57:01,本公司薪資報酬委員會原宋海笙先生改由董事赫國明先生擔 任，自101年12月24日生效。
