,公司代號,公司名稱,發言日期,發言時間,主旨
0,9921,巨大,103/01/13,10:46:17,澄清媒體報導
1,9921,巨大,103/02/20,16:03:29,"代重要子公司""捷安特(中國)有限公司""利潤分配公告"
2,9921,巨大,103/03/06,10:51:40,澄清媒體報導
3,9921,巨大,103/03/18,15:39:27,"本公司受邀參加美林證券於台北遠企飯店舉辦的  Taiwan, Technology & Beyond 2014"
4,9921,巨大,103/03/26,15:57:51,本公司新增資金貸與金額達新臺幣一千萬元以上 且達本公司最近期財務報表淨值百分之二以上
5,9921,巨大,103/03/26,17:03:01,董事會決議股利分派
6,9921,巨大,103/03/26,17:04:43,本公司董事會決議召開一○三年股東常會
7,9921,巨大,103/04/03,14:55:38,"代重要子公司""捷安特(中國)有限公司""利潤分配公告"
8,9921,巨大,103/04/11,10:02:26,澄清媒體報導
9,9921,巨大,103/04/16,14:37:42,"代重要子公司""GROWOOD INVESTMENT LTD.(高武投資 有限公司)""利潤分配公告"
10,9921,巨大,103/05/05,14:20:51,受邀參加花旗證券舉辦的CITI TAIWAN CORPORATE DAY 2014
11,9921,巨大,103/05/14,15:16:25,本公司董事會決議通過一○三年第一季財務報表
12,9921,巨大,103/05/14,15:16:49,本公司董事會通過參與桂盟國際(股)公司私募普通股現增案
13,9921,巨大,103/06/11,14:31:01,受邀參加大和國泰證券舉辦的Daiwa Taiwan Corporate Day in Tokyo法說會
14,9921,巨大,103/06/13,15:35:36,本公司新增資金貸與金額達新臺幣一千萬元以上 且達本公司最近期財務報表淨值百分之二以上。
15,9921,巨大,103/06/23,13:55:46,公告一○三年股東常會重要決議事項
16,9921,巨大,103/06/25,14:56:25,本公司受邀參加瑞銀證券舉辦的 UBS Taiwan Conference 2014
17,9921,巨大,103/06/27,11:22:10,澄清媒體報導
18,9921,巨大,103/07/14,14:02:40,"代重要子公司""捷安特(中國)有限公司""利潤分配公告"
19,9921,巨大,103/07/18,14:19:42,公告本公司決議除息基準日
20,9921,巨大,103/07/21,17:24:43,本公司取得桂盟國際(股)公司私募普通股相關事宜 (補充5/14之公告)
21,9921,巨大,103/07/25,13:37:26,"代重要子公司""GROWOOD INVESTMENT LTD.(高武投資 有限公司)""利潤分配公告"
22,9921,巨大,103/07/30,15:21:01,更正103年6月子公司HODAKA衍生性金融商品公告
23,9921,巨大,103/08/08,16:17:48,本公司董事會決議通過一○三年第二季財務報表
24,9921,巨大,103/08/08,16:22:37,公告本公司對大陸投資之捷安特投資有限公司增資， 再轉增資捷安特(昆山)有限公司
25,9921,巨大,103/08/11,10:32:55,澄清媒體報導
26,9921,巨大,103/08/22,10:39:26,"代重要子公司""GROWOOD INVESTMENT LTD.(高武投資 有限公司)""利潤分配公告"
27,9921,巨大,103/10/23,14:08:46,捷安特(中國)有限公司新增資金貸與金額達新臺幣一千萬元 以上且本公司最近期財務報表淨值百分之二以上。
28,9921,巨大,103/10/28,14:11:06,"代重要子公司""GROWOOD INVESTMENT LTD.(高武投資 有限公司)""利潤分配公告"
29,9921,巨大,103/11/07,17:11:13,本公司董事會決議通過一○三年第三季財務報表
30,9921,巨大,103/11/07,17:12:48,本公司新增資金貸與金額達新臺幣一千萬元以上且達 本公司最近期財務報表淨值百分之二以上
31,9921,巨大,103/11/10,11:13:12,澄清媒體報導
32,9921,巨大,103/11/11,17:26:29,本公司受邀參加摩根史坦利證券舉辦的 Morgan Stanley Thirteenth Annual Asia Pacific Summit
33,9921,巨大,103/11/28,14:49:19,"代重要子公司""GROWOOD INVESTMENT LTD.(高武投資 有限公司)""利潤分配公告"
34,9921,巨大,103/11/28,15:09:29,本公司受邀參加BNP PARIBAS在日本舉辦的 BNP PARIBAS 2nd APAC Industrials Conference
35,9921,巨大,103/12/01,15:36:09,本公司受邀參加NOMURA證券在日本舉辦的 Nomura Investment Forum 2014
36,9921,巨大,103/12/19,14:40:54,本公司發言人異動
37,9921,巨大,103/12/19,14:41:20,本公司董事會通過對關係人捐贈事宜
