,公司代號,公司名稱,發言日期,發言時間,主旨
0,9921,巨大,109/01/30,10:29:52,公告本公司之大陸子公司有關新型肺炎疫情之相關說明。
1,9921,巨大,109/02/12,16:10:52,補充新型肺炎疫情之相關說明。
2,9921,巨大,109/02/21,17:52:44,本公司受邀參加摩根大通舉辦之 Taiwan CEO-CFO  Conference 2020電話會議(13:00~14:00)
3,9921,巨大,109/03/20,20:59:18,本公司董事會決議召開109年股東常會
4,9921,巨大,109/03/20,21:00:10,本公司更換會計主管
5,9921,巨大,109/03/20,21:06:01,本公司董事會決議股利分配
6,9921,巨大,109/05/19,15:56:10,本公司受邀參加里昂證券舉辦之 CITIC CLSA Japan Forum 2020電話會議
7,9921,巨大,109/05/27,17:01:54,代重要子公司GROWOOD INVESTMENT LTD. 公告董事會決議發放股利
8,9921,巨大,109/06/19,15:02:36,公告本公司109年股東常會重要決議事項
9,9921,巨大,109/06/20,11:43:51,澄清媒體報導
10,9921,巨大,109/06/22,16:39:03,本公司受邀參加里昂證券舉辦之 CLST: Tour de Taiwan - Bike Virtual Access Day電話會議
11,9921,巨大,109/07/03,13:28:04,更正本公司109年5月衍生性商品交易資訊
12,9921,巨大,109/07/14,10:17:31,"更正子公司109年2,4,5,6月資金貸與資訊"
13,9921,巨大,109/07/14,19:12:54,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解
14,9921,巨大,109/07/27,14:35:34,"更正子公司捷安特輕合金科技（昆山）股份有限公司 109年4,5,6月衍生性商品交易資訊"
15,9921,巨大,109/07/29,17:09:58,代重要子公司GROWOOD INVESTMENT LTD. 公告董事會決議發放股利
16,9921,巨大,109/08/05,13:43:40,公告本公司決議除息基準日
17,9921,巨大,109/08/07,18:41:23,公告本公司董事會通過海外投資架構調整
18,9921,巨大,109/08/07,18:42:38,公告終止子公司捷安特輕合金科技（昆山）股份有限公司 首次公開發行人民幣普通股(A股)並申請在中國大陸之證券 交易所上市案
19,9921,巨大,109/08/07,18:51:43,本公司代大陸子公司公告合併案
20,9921,巨大,109/08/07,18:54:34,"公告本公司董事會通過100%投資設立子公司""愛普智科技(股)公司"""
21,9921,巨大,109/08/12,17:20:32,本公司處分桂盟普通股股票之公告
22,9921,巨大,109/08/17,16:36:47,本公司受邀參加CREDIT SUISSE舉辦的 Taiwan Non-Tech Corporate Days - A look beyond the pandemic電話會議
23,9921,巨大,109/08/25,12:02:19,本公司受邀參加證券交易所與高盛證券共同舉辦之線上 台灣投資說明會Taiwan Virtual Corporate Day 2020
24,9921,巨大,109/09/04,16:08:25,代重要子公司GROWOOD INVESTMENT LTD. 公告董事會決議發放股利
25,9921,巨大,109/09/11,15:02:44,本公司受邀參加27th Annual CITIC CLSA Flagship Investors
