,公司代號,公司名稱,發言日期,發言時間,主旨
0,9924,福興,101/03/16,17:51:35,董事會決議民國100年度盈餘分派案
1,9924,福興,101/03/16,17:52:06,公告本公司召開民國101年股東常會相關事項
2,9924,福興,101/03/16,17:59:00,本公司擬與百分之百持股之子公司- 台貿國際投資股份有限公司合併
3,9924,福興,101/03/16,17:59:50,本公司彰化分公司進行分割
4,9924,福興,101/06/15,17:51:42,公告本公司民國101年股東常會重要決議
5,9924,福興,101/06/15,17:52:05,公告本公司現金股利分配基準日
6,9924,福興,101/06/15,17:52:20,本公司將彰化分公司之相關營業分割 移轉之債權人通知公告事宜。
7,9924,福興,101/06/15,17:53:38,公告本公司董事會解除經理人競業禁止之限制案
8,9924,福興,101/07/05,08:38:16,策略聯盟契約之變更
9,9924,福興,101/08/01,16:40:08,本公司現金股利發放事宜
10,9924,福興,101/09/27,17:08:41,更正本公司101年7月、8月背書保證資訊揭露明細表 及8月衍生性金融商品交易金額
11,9924,福興,101/12/28,15:40:11,公告本公司內部稽核主管變更
12,9924,福興,101/12/28,15:41:31,本公司彰化分公司進行分割案補充說明
13,9924,福興,101/12/28,15:41:52,公告增資大陸地區福弘金屬工業(常熟)有限公司
14,9924,福興,101/12/28,15:42:14,本公司董事會決議通過銘宏材料科技(常熟)有限公司 辦理解散清算案
