,公司代號,公司名稱,發言日期,發言時間,主旨
0,9927,泰銘,105/01/15,10:05:35,更正本公司104年12月合併營收
1,9927,泰銘,105/03/04,16:54:35,"代重要子公司公告-泰銘(越南)責任有限公司、 TAIMING CORP.及THYE MING INDUSTRIAL(SAMOA)CO.,LTD董事會決 議不發放股利"
2,9927,泰銘,105/03/15,16:17:31,公告本公司董事會決議召開105年股東常會事宜
3,9927,泰銘,105/03/15,16:18:12,本公司董事會通過104年度員工及董監酬勞金額及發放方式
4,9927,泰銘,105/03/15,16:18:58,公告本公司董事會通過104年度財務報表
5,9927,泰銘,105/03/15,16:19:28,董事會決議股利分派
6,9927,泰銘,105/03/15,16:19:55,公告本公司新增背書保證金額達新臺幣三千萬元以上且達公司最近 期財務報表淨值百分之五以上
7,9927,泰銘,105/04/12,14:06:46,受邀參加群益金鼎證券舉辦之「港都會聯合投資論壇」
8,9927,泰銘,105/04/12,14:26:48,更正本公司受邀參加群益金鼎證券舉辦之「港都會聯合投資論壇」相關訊息
9,9927,泰銘,105/05/05,14:50:51,公告本公司董事會通過105年第一季合併財務報表
10,9927,泰銘,105/06/13,16:37:42,公告本公司105年股東常會重要決議事項
11,9927,泰銘,105/06/13,16:43:03,本公司股東常會通過104年度盈餘分配案
12,9927,泰銘,105/06/20,13:43:10,本公司參加廣東風華高新科技股份有限公司公開收購光頡科技股份 有限公司股票之應賣
13,9927,泰銘,105/08/11,15:36:57,公告本公司董事會通過105年度第二季合併財務報表
14,9927,泰銘,105/08/11,15:38:32,公告本公司董事會決議訂定除息基準日及現金股利發放等事宜
15,9927,泰銘,105/11/10,14:37:00,公告本公司董事會通過105年度第三季合併財務報表
16,9927,泰銘,105/11/10,14:37:48,公告本公司新增背書保證金額達新臺幣三千萬元以上且達公司最近 期財務報表淨值百分之五以上
