,公司代號,公司名稱,發言日期,發言時間,主旨
0,9927,泰銘,108/03/22,13:38:54,"代重要子公司公告-泰銘(越南)責任有限公司、 TAIMING CORP.及THYE MING INDUSTRIAL(SAMOA)CO.,LTD董事會決 議不發放股利"
1,9927,泰銘,108/03/27,15:59:50,公告本公司董事會通過107年度員工及董事酬勞金額及發放方式
2,9927,泰銘,108/03/27,16:00:29,公告本公司董事會通過107年度財務報表
3,9927,泰銘,108/03/27,16:01:11,董事會決議股利分派
4,9927,泰銘,108/03/27,16:04:21,公告本公司董事會決議召開108年股東常會事宜
5,9927,泰銘,108/05/09,14:10:50,公告本公司提報董事會108年第一季合併財務報表
6,9927,泰銘,108/06/28,14:33:17,公告本公司108年股東常會重要決議事項
7,9927,泰銘,108/06/28,14:34:11,公告本公司董事會決議訂定除息基準日及現金股利發放等事宜
8,9927,泰銘,108/06/28,14:35:07,公告本公司薪酬委員會成員異動
9,9927,泰銘,108/08/08,14:23:47,公告本公司提報董事會108年度第二季合併財務報表
10,9927,泰銘,108/09/20,17:03:23,公告本公司業務主管解任
11,9927,泰銘,108/11/07,15:34:59,公告本公司提報董事會108年度第三季合併財務報表
12,9927,泰銘,108/11/07,15:35:25,公告本公司新增背書保證金額達新臺幣三千萬元以上且達公司最 近期財務報表淨值百分之五以上
13,9927,泰銘,108/11/27,14:22:40,受邀參加台新綜合證券舉辦之「台新證券聯合法人說明會」
14,9927,泰銘,108/12/27,15:44:51,公告本公司新任業務主管
