,公司代號,公司名稱,發言日期,發言時間,主旨
0,9938,百和,105/01/07,17:12:10,公告本公司104年12月份自結合併營收概算
1,9938,百和,105/01/13,17:09:03,公告本公司104年12月份自結合併損益相關資訊
2,9938,百和,105/01/15,17:43:25,代子公司無錫百宏置業有限公司公告董事會決議自有土地委託 承造之相關事宜
3,9938,百和,105/02/05,16:49:23,代子公司無錫百宏置業有限公司公告董事會決議自有土地承造 人異動之相關事宜
4,9938,百和,105/02/15,17:03:05,公告本公司105年1月份自結合併營收概算
5,9938,百和,105/02/16,17:08:45,公告子公司百和國際有限公司董事會決議辦理減資
6,9938,百和,105/02/16,17:09:10,公告本公司105年1月份自結合併損益相關資訊
7,9938,百和,105/03/04,17:04:06,公告本公司105年2月份自結合併營收概算
8,9938,百和,105/03/07,18:01:39,公告董事會決議股利分派
9,9938,百和,105/03/07,18:11:18,公告本公司本公司董事會通過104年度合併財務報告
10,9938,百和,105/03/07,18:15:23,公告本公司董事會決議召開105年股東常會事宜
11,9938,百和,105/03/07,18:16:48,代子公司越南百和有限公司公告董事會決議發放股利 事宜
12,9938,百和,105/03/07,18:17:11,代子公司百和國際有限公司公告董事會決議發放股利 事宜
13,9938,百和,105/03/07,18:25:14,代子公司無錫百和織造股份有限公司公告新增資金貸與金額 達「公開發行公司資金貸與及背書保證處理準則」第22條第 1項第3款之規定
14,9938,百和,105/03/07,18:29:19,公告本公司董事會通過104年度員工酬勞及董監事酬勞分配案
15,9938,百和,105/03/15,17:06:35,公告本公司105年2月份自結合併損益相關資訊
16,9938,百和,105/03/31,17:08:24,公告本公司董事辭任
17,9938,百和,105/04/07,17:04:22,公告本公司105年3月份自結合併營收概算
18,9938,百和,105/04/12,17:26:53,公告本公司105年3月份自結合併損益相關資訊
19,9938,百和,105/05/06,17:04:28,公告本公司105年第1季合併財務報告已提報董事會
20,9938,百和,105/05/09,17:03:56,公告本公司105年4月份自結合併營收概算
21,9938,百和,105/05/12,17:08:01,公告本公司105年4月份自結合併損益相關資訊
22,9938,百和,105/06/06,17:05:43,公告本公司105年5月份自結合併營收概算
23,9938,百和,105/06/14,17:03:54,公告本公司105年5月份自結合併損益相關資訊
24,9938,百和,105/06/16,17:38:49,公告本公司105年股東常會重要決議事項
25,9938,百和,105/06/16,18:01:46,公告本公司對子公司背書保證達「公開發行公司資金貸與及背 書保證處理準則」第25條第1項第3款之規定
26,9938,百和,105/06/24,16:19:54,公告本公司訂定105年股東紅利除息基準日
27,9938,百和,105/07/06,17:05:26,公告本公司105年6月份自結合併營收概算
28,9938,百和,105/07/13,17:08:47,公告本公司105年6月份自結合併損益相關資訊
29,9938,百和,105/08/08,17:05:21,公告本公司105年7月份自結合併營收概算
30,9938,百和,105/08/11,17:02:52,公告本公司105年第2季合併財務報告已提報董事會
31,9938,百和,105/08/11,17:03:24,代子公司越南百和有限公司公告董事會決議發放股利 事宜
32,9938,百和,105/08/11,17:03:49,代子公司百和國際有限公司公告董事會決議發放股利 事宜
33,9938,百和,105/08/11,17:04:35,公告子公司百和國際有限公司董事會決議辦理現金減資
34,9938,百和,105/08/11,17:07:07,代子公司越南百和有限公司公告董事會決議 購置(承租)土地(使用權)
35,9938,百和,105/08/12,17:07:37,公告本公司105年7月份自結合併損益相關資訊
36,9938,百和,105/09/01,10:00:25,代子公司百和國際有限公司公告董事會決議發放股利 事宜
37,9938,百和,105/09/06,17:05:39,公告本公司105年8月份自結合併營收概算
38,9938,百和,105/09/13,17:07:12,公告本公司105年8月份自結合併損益相關資訊
39,9938,百和,105/10/06,17:04:34,公告本公司105年9月份自結合併營收概算
40,9938,百和,105/10/12,11:19:02,公告澄清大眾媒體報導資訊
41,9938,百和,105/10/12,14:32:35,公告本公司105年9月份自結合併損益相關資訊
42,9938,百和,105/10/13,15:10:12,代子公司越南百和有限公司公告董事會決議發放股利 事宜
43,9938,百和,105/11/04,14:47:19,公告本公司受邀參加大和國泰證劵舉辦之「Daiwa Investment Conference  Hong Kong 2016」
44,9938,百和,105/11/07,17:14:08,公告本公司105年第3季合併財務報告已提報董事會
45,9938,百和,105/11/07,17:26:32,公告本公司105年10月份自結合併營收概算
46,9938,百和,105/11/15,14:33:24,公告本公司105年10月份自結合併損益相關資訊
47,9938,百和,105/12/07,14:32:08,公告本公司105年11月份自結合併營收概算
48,9938,百和,105/12/13,14:32:53,公告本公司105年11月份自結合併損益相關資訊
49,9938,百和,105/12/19,18:12:41,代子公司百和興業股份有限公司公告新增資金貸與金額達「公 開發行公司資金貸與及背書保證處理準則」第22條第1項第3款 之規定
50,9938,百和,105/12/19,18:12:55,公告本公司董事會決議子公司無錫百宏置業有限公司 處份建案之部份房地予關係人
51,9938,百和,105/12/19,18:13:13,代子公司百和興業股份有限公司公告董事會決議透過「宏興有 限公司」增資「越南百宏有限公司」
