,公司代號,公司名稱,發言日期,發言時間,主旨
0,9939,宏全,102/01/02,16:10:10,說明報載相關訊息
1,9939,宏全,102/01/10,19:39:25,公告本公司受邀參加群益證券之法人說明會
2,9939,宏全,102/01/15,17:09:48,說明報載相關訊息
3,9939,宏全,102/02/07,19:57:43,代子公司宏全控股有限公司公告董事會新增對單一企業宏全 中國控股有限公司資金貸與金額達新台幣一千萬以上 且達本公司最近期財務報表淨值百分之二以上
4,9939,宏全,102/03/04,19:31:13,本公司受邀參加統一證券產業論壇
5,9939,宏全,102/03/04,19:31:22,本公司受邀參加元富證券2013產業論壇
6,9939,宏全,102/03/04,19:31:38,本公司參加元大證券舉辦之海外投資人說明會
7,9939,宏全,102/03/11,19:05:06,公告本公司原101.12.28董事會通過對東南亞子公司 宏全(泰國)有限公司現金增資案，金額變動特此公告。
8,9939,宏全,102/03/11,19:05:33,公告本公司原101.12.28董事會通過對東南亞子公司 宏全(緬甸)有限公司現金增資案，金額變動特此公告。
9,9939,宏全,102/03/12,14:04:31,公告本公司受邀參加美林證券舉辦之法人說明會
10,9939,宏全,102/03/12,17:58:14,更正本公司102年2月及累計營收淨額
11,9939,宏全,102/03/15,08:41:52,本公司受邀參加「富邦2013年1Q產業論壇」
12,9939,宏全,102/03/15,14:35:41,說明報載相關訊息
13,9939,宏全,102/03/27,19:32:11,公告今日地震對本公司財務及業務無影響
14,9939,宏全,102/03/29,17:31:03,公告本公司董事會通過101年度財務報表及合併財務報表
15,9939,宏全,102/03/29,17:31:34,更正本公司101年12月資金貸與明細表
16,9939,宏全,102/03/29,17:32:22,董事會決議召開102年度股東常會
17,9939,宏全,102/03/29,17:32:42,本公司102年3月29日董事會決議101年度盈餘分配案
18,9939,宏全,102/03/29,18:07:26,董事會決議提請股東會同意授權董事會辦理現金增資發行 普通股或以現金增資發行普通股方式參與發行海外存託憑證
19,9939,宏全,102/04/02,21:48:59,受邀參加華南永昌證券舉辦的法人座談會
20,9939,宏全,102/04/02,21:49:15,受邀參加群益證券舉辦的法人座談會
21,9939,宏全,102/04/08,15:34:24,說明報載相關訊息
22,9939,宏全,102/04/25,20:30:33,本公司受邀參加凱基證券舉辦的法人座談會
23,9939,宏全,102/04/29,11:01:29,說明報載相關訊息
24,9939,宏全,102/05/03,18:07:57,公告本公司董事會通過102年第一季合併財務報表
25,9939,宏全,102/05/03,21:26:19,本公司受邀參加臺灣證券交易所舉辦之「上市公司業績發表會」
26,9939,宏全,102/05/03,21:42:59,公告本公司及子公司對單一企業佳吉有限公司達資金貸與與背書 保證處理準則第二十五條第三款。
27,9939,宏全,102/05/06,13:01:41,說明報載相關訊息
28,9939,宏全,102/05/21,19:51:52,公告本公司股務代理機構合併事宜
29,9939,宏全,102/05/27,11:33:51,說明報載相關訊息
30,9939,宏全,102/05/30,19:53:05,本公司參加富邦證券舉辦之海外投資人說明會
31,9939,宏全,102/06/04,10:25:19,公告102年6月2日地震對本公司財務及業務並無重大影響
32,9939,宏全,102/06/13,19:48:03,本公司召開法人說明會
33,9939,宏全,102/06/19,19:04:34,公告本公司董事會決議現金配息基準日
34,9939,宏全,102/06/19,19:07:27,公告本公司102年股東常會重要決議事項
35,9939,宏全,102/06/19,19:37:41,"本公司董事會決議通過持股76.84%之子公司宏全中國控股 (股)公司以自有資金轉增資100%佳吉實業有限公司,擬新 設立投資宏全食品包裝(滁州)有限公司美金1,000萬元"
36,9939,宏全,102/06/27,16:25:26,本公司受邀參加瑞銀證券舉辦的法人座談會
37,9939,宏全,102/07/10,19:59:46,代子公司宏全控股有限公司公告董事會新增對單一企業宏全 中國控股有限公司資金貸與金額達新台幣一千萬以上 且達本公司最近期財務報表淨值百分之二以上
38,9939,宏全,102/07/10,19:59:56,代子公司佳吉實業有限公司公告董事會新增對單一企業宏全 中國控股有限公司資金貸與金額達新台幣一千萬以上 且達本公司最近期財務報表淨值百分之二以上
39,9939,宏全,102/07/18,14:09:05,說明報載相關訊息
40,9939,宏全,102/08/09,14:35:02,公告本公司董事會通過102年第二季合併財務報表
