,公司代號,公司名稱,發言日期,發言時間,主旨
0,9943,好樂迪,101/03/21,17:49:42,公告本公司董事會決議召開一○一年股東常會相關事宜。
1,9943,好樂迪,101/03/21,17:49:58,公告本公司董事會決議發放股利事宜。
2,9943,好樂迪,101/03/28,17:17:33,澄清有關媒體報導本公司遭掏空乙事。
3,9943,好樂迪,101/04/27,16:16:08,補充公告本公司董事會決議召開一○一年股東常會(增列議案)。
4,9943,好樂迪,101/04/27,16:16:18,採用國際會計準則(IFRSs)對本公司101年1月1日開帳日 之財務影響。
5,9943,好樂迪,101/06/22,16:04:50,公告本公司101年股東常會重要決議事項。
6,9943,好樂迪,101/07/26,16:53:33,董事會決議發放現金股利(除息基準日)
7,9943,好樂迪,101/08/29,16:47:53,代子公司阿爾發音樂公告董事會決議通過合併阿爾發全經紀
8,9943,好樂迪,101/09/04,14:21:32,更正本公司101年6-7月衍生性金融商品資訊
9,9943,好樂迪,101/10/16,14:30:06,公告本公司股務代理機構合併並變更營業處所事宜
10,9943,好樂迪,101/11/20,13:49:24,公告本公司更換股務代理機構
