,公司代號,公司名稱,發言日期,發言時間,主旨
0,9945,潤泰新,107/02/09,18:43:00,公告本公司『潤泰奇岩A5-4F實品屋設計及裝潢工程』及 『潤泰禮仁6F實品屋設計及裝潢工程』承攬契約事宜
1,9945,潤泰新,107/02/09,18:48:00,公告本公司『新莊副都心新建工程』結算事宜
2,9945,潤泰新,107/02/09,18:52:00,公告本公司『潤泰華城拆除、假設工程及外牆整修工程』 承攬契約事宜
3,9945,潤泰新,107/02/13,15:35:22,代子公司力勝開發(股)公司公告「TSUTAYA BOOKSTORE 內湖店 裝修工程」工程承攬契約事宜
4,9945,潤泰新,107/02/26,17:40:07,代子公司潤泰創新開發公告『潤泰創新開發江翠D案新建工程』 承攬契約事宜
5,9945,潤泰新,107/03/26,16:11:27,代子公司力勝開發(股)公司公告 「代官山4F-A22、5F-A7、5F-A23實品屋設計及裝潢工程」 工程承攬契約事宜
6,9945,潤泰新,107/03/26,21:23:26,本公司代子公司潤泰資源整合股份有限公司公告董事會決議 現金股利分派
7,9945,潤泰新,107/03/26,21:24:51,董事會決議股利分派
8,9945,潤泰新,107/03/26,21:37:03,本公司代子公司潤泰資源整合股份有限公司公告董事會決議 召開民國107年股東常會之相關訊息
9,9945,潤泰新,107/03/26,21:45:20,公告本公司董事會決議辦理減資事宜
10,9945,潤泰新,107/03/26,21:47:38,公告本公司首次適用國際財務報導 準則第9號之影響數
11,9945,潤泰新,107/03/26,22:27:23,公告本公司董事會決議召開2018年股東常會相關事宜
12,9945,潤泰新,107/03/31,15:16:29,更正本公司106年度IFRSs合併財報XBRL申報資訊
13,9945,潤泰新,107/04/19,17:58:53,本公司參加統一證券舉辦之「2018春；獨領風潮投資論壇」法人說明會，說明本公司近期之營運成果與未來展望
14,9945,潤泰新,107/04/30,17:57:03,公告本公司「新北市新店區斯馨段合建案」相關事宜
15,9945,潤泰新,107/04/30,17:59:58,公告本公司取得潤泰創新開發股份有限公司股票相關事宜
16,9945,潤泰新,107/05/10,18:49:37,公告「潤泰華城整修工程」承攬契約事宜
17,9945,潤泰新,107/05/17,18:55:47,公告本公司取得新北市新店區斯馨段111地號1筆 土地相關事宜
18,9945,潤泰新,107/06/11,18:19:05,公告本公司獲選為南港商三特公辦都更案最優申請人
19,9945,潤泰新,107/06/14,18:59:39,公告本公司107年度股東常會重要決議事項
20,9945,潤泰新,107/06/14,19:03:11,公告本公司辦理現金減資致債權人公告
21,9945,潤泰新,107/06/15,11:32:15,澄清媒體報導
22,9945,潤泰新,107/06/15,17:18:05,本公司代重要子公司潤泰資源整合股份有限公司公告2018年 股東常會重要決議事項
23,9945,潤泰新,107/06/15,17:46:30,代子公司力勝開發(股)公司公告「TSUTAYA BOOKSTORE 內湖店裝潢工程」結算事宜
24,9945,潤泰新,107/06/15,17:46:58,代子公司力勝開發(股)公司公告「寶清案新建工程」結算事宜
25,9945,潤泰新,107/07/06,16:20:06,公告本公司董事會決議除息基準日之相關訊息
26,9945,潤泰新,107/07/06,18:21:44,公告本公司為潤泰創新開發股份有限公司銀行融資背書保證事宜
27,9945,潤泰新,107/08/13,17:01:37,本公司擬與財團法人臺北市都市更新推動中心簽訂 臺北市南港段公辦都市更新案投資契約相關事宜。
28,9945,潤泰新,107/08/13,18:06:48,本公司2018年度減資，擬訂定減資基準日等相關事宜
29,9945,潤泰新,107/08/13,18:51:44,代重要子公司潤泰資源整合股份有限公司 公告董事改派代表人之相關訊息
30,9945,潤泰新,107/08/22,17:10:48,本公司參加台灣證券交易所舉辦之「民生消費產業」主題式業績發表會， 說明本公司近期之營運成果與未來展望
31,9945,潤泰新,107/08/29,19:28:48,公告本公司辦理現金減資完成資本額變更登記
32,9945,潤泰新,107/09/05,18:23:35,公告本公司『奇岩公設景觀裝修工程』結算事宜
33,9945,潤泰新,107/09/05,18:26:20,公告本公司『敦峰公設梯廳景觀工程』承攬契約事宜
34,9945,潤泰新,107/09/05,20:23:24,公告本公司2018年度減資換股作業計畫及減資換股 基準日等相關事宜
35,9945,潤泰新,107/09/19,17:45:49,代子公司力勝開發(股)公司公告「寶清段景觀、梯廳、公設 裝修工程」結算事宜
36,9945,潤泰新,107/11/14,17:42:27,"公告處分台北市中正區辛亥路1段6號13樓之2及14樓, 2戶建物及車位2個予關係人"
37,9945,潤泰新,107/11/19,19:21:52,本公司代重要子公司潤泰資源整合股份有限公司公告董事會決議 除息基準日之相關訊息
38,9945,潤泰新,107/11/19,19:27:26,本公司代重要子公司潤泰資源整合股份有限公司公告董事會決議 擬辦理減資事宜
39,9945,潤泰新,107/11/19,19:35:00,本公司代重要子公司潤泰資源整合股份有限公司公告董事會決議 召開2018年第一次股東臨時會之相關訊息
40,9945,潤泰新,107/12/05,18:22:52,本公司代重要子公司潤泰資源整合股份有限公司 公告2018年第一次股東臨時會重要決議事項
41,9945,潤泰新,107/12/05,18:27:08,本公司代重要子公司潤泰資源整合股份有限公司 辦理現金減資致債權人公告
42,9945,潤泰新,107/12/12,16:31:35,本公司參加國泰證券舉辦之「國泰證券第四季大中華高峰論壇」法人說明會，說明本公司近期之營運成果與未來展望
43,9945,潤泰新,107/12/28,15:53:47,公告本公司【潤泰北投奇岩新建工程】結算事宜
44,9945,潤泰新,107/12/28,15:58:35,公告本公司【潤泰北投奇岩假設工程】結算事宜
45,9945,潤泰新,107/12/28,16:02:12,公告本公司【潤泰禮仁公設、梯廳、景觀工程】結算事宜
