,發言日期,發言時間,發言人,發言人職稱,發言電話,主旨,符合條款,事實發生日,說明
0, 108/01/10, 18:01:45, 何明坤, 執行協理, 04-24615678#7369," 公告本公司之子公司裕元工業(集團)有限公司及
寶勝國際(控股)有限公司107年12月份自結營收","　第
51 款	"," 108/01/10
","
1.事實發生日:108/01/10
2.公司名稱:
 裕元工業(集團)有限公司(”裕元工業”)及寶勝國際(控股)有限公司(”寶勝國際”)
3.與公司關係(請輸入本公司或子公司):子公司
4.相互持股比例:
 截至107年12月31日止，本公司持股裕元工業50.97%，裕元工業持股寶勝國際62.33%；
 故本公司透過裕元工業間接持股寶勝國際31.77%。
5.發生緣由:公告本公司之子公司裕元工業及寶勝國際107年12月份自結營收。
6.因應措施:
 (1)裕元工業107年12月份自結營收為美金847,826仟元；累計107年1月至12月自結營收
    為美金9,700,141仟元。
 (2)寶勝國際107年12月份自結營收為人民幣2,001,436仟元；累計107年1月至12月自結
    營收為人民幣22,677,575仟元。
7.其他應敘明事項:
 上述公告之詳細內容，請參閱裕元工業網站：www.yueyuen.com 及寶勝國際網站：
 www.pousheng.com；或香港聯交所網站：www.hkex.com.hk。"
1, 108/02/15, 17:55:52, 何明坤, 執行協理, 04-24615678#7369," 公告本公司之子公司裕元工業(集團)有限公司及
寶勝國際(控股)有限公司108年1月份自結營收","　第
51 款	"," 108/02/15
","
1.事實發生日:108/02/15
2.公司名稱:
 裕元工業(集團)有限公司(”裕元工業”)及寶勝國際(控股)有限公司(”寶勝國際”)
3.與公司關係(請輸入本公司或子公司):子公司
4.相互持股比例:
 截至108年1月31日止，本公司持股裕元工業50.97%，裕元工業持股寶勝國際62.20%；
 故本公司透過裕元工業間接持股寶勝國際31.70%。
5.發生緣由:公告本公司之子公司裕元工業及寶勝國際108年1月份自結營收。
6.因應措施:
 (1)裕元工業108年1月份自結營收為美金924,042仟元。
 (2)寶勝國際108年1月份自結營收為人民幣2,510,163仟元。
7.其他應敘明事項:
 上述公告之詳細內容，請參閱裕元工業網站：www.yueyuen.com 及寶勝國際網站：
 www.pousheng.com；或香港聯交所網站：www.hkex.com.hk。"
2, 108/03/11, 18:31:21, 何明坤, 執行協理, 04-24615678#7369," 公告本公司之子公司裕元工業(集團)有限公司及
寶勝國際(控股)有限公司108年2月份自結營收","　第
51 款	"," 108/03/11
","
1.事實發生日:108/03/11
2.公司名稱:
 裕元工業(集團)有限公司(”裕元工業”)及寶勝國際(控股)有限公司(”寶勝國際”)
3.與公司關係(請輸入本公司或子公司):子公司
4.相互持股比例:
 截至108年2月28日止，本公司持股裕元工業50.97%，裕元工業持股寶勝國際62.20%；
 故本公司透過裕元工業間接持股寶勝國際31.70%。
5.發生緣由:公告本公司之子公司裕元工業及寶勝國際108年2月份自結營收。
6.因應措施:
 (1)裕元工業108年2月份自結營收為美金672,971仟元；累計108年1月至2月自結營收
    為美金1,597,911仟元。
 (2)寶勝國際108年2月份自結營收為人民幣1,741,647仟元；累計108年1月至2月自結
    營收為人民幣4,249,497仟元。
7.其他應敘明事項:
 上述公告之詳細內容，請參閱裕元工業網站：www.yueyuen.com 及寶勝國際網站：
 www.pousheng.com；或香港聯交所網站：www.hkex.com.hk。"
3, 108/03/19, 18:06:56, 何明坤, 執行協理, 04-24615678#7369, 本公司受邀參加美銀美林證券舉辦之法人說明會,"　第
12 款	"," 108/03/20
","
符合條款第四條第XX款：12
事實發生日：108/03/20
1.召開法人說明會之日期：108/03/20
2.召開法人說明會之時間：14 時 00 分 
3.召開法人說明會之地點：香格里拉台北遠東國際大飯店
4.法人說明會擇要訊息：應邀參加Bank of America Merrill Lynch舉辦之法人說明會，介紹本公司及說明近期營運績效。
5.其他應敘明事項：無
完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。"
4, 108/03/22, 19:19:05, 何明坤, 執行協理, 04-24615678#7369," 代子公司裕元工業(集團)有限公司(""裕元工業"")公告
獨立非執行董事變動","　第
6 款	"," 108/03/22
","
1.發生變動日期:108/03/22
2.選任或變動人員別（請輸入法人董事、法人監察人、獨立董事、自然人董事
  或自然人監察人）:獨立董事
3.舊任者職稱、姓名及簡歷:獨立非執行董事，黃明富先生
4.新任者職稱、姓名及簡歷:獨立非執行董事，何麗康先生，何先生曾為瑞穗銀行
 香港分行之總經理/替代行政總裁。
5.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「逝世」或「新任」）:
 辭職
6.異動原因:辭職
7.新任者選任時持股數:無持股
8.原任期（例xx/xx/xx ~ xx/xx/xx）:不適用
9.新任生效日期:108/05/24
10.同任期董事變動比率:不適用
11.同任期獨立董事變動比率:不適用
12.同任期監察人變動比率:不適用
13.屬三分之一以上董事發生變動（請輸入是或否）:否
14.其他應敘明事項:
(1)黃明富先生將退任裕元工業獨立非執行董事之職位，將不會在即將召開的
   裕元工業股東常會(預期將於108/05/31舉行)膺選連任。黃先生亦已辭任
   裕元工業提名委員會主席、以及審計委員會和薪酬委員會之成員，自
   108/05/24起生效。
(2)何麗康先生已獲委任為裕元工業之獨立非執行董事、裕元工業提名委員會
   主席、以及審計委員會和薪酬委員會之成員，自108/05/24起生效。
(3)裕元工業公告之詳細內容，請參閱裕元工業網站：www.yueyuen.com；
   或香港聯交所網站：www.hkex.com.hk。"
5, 108/03/22, 20:25:23, 何明坤, 執行協理, 04-24615678#7369," 代子公司裕元工業(集團)有限公司(""裕元工業"")公告
董事會決議107年末期股息分派","　第
14 款	"," 108/03/22
","
1.董事會決議日期:108/03/22
2.發放股利種類及金額:
 現金股利；裕元工業107年末期股息每股配發港幣1.10元。
3.其他應敘明事項:
(1)裕元工業107年度營業收入為美金9,695.28百萬元，稅後淨利(歸屬於
   本公司業主)為美金307.12百萬元，每股基本盈餘為美金18.84分(cents)。
(2)裕元工業末期股息擬於108年6月25日或以前派付。
(3)裕元工業公告之詳細內容，請參閱裕元工業網站：www.yueyuen.com；
   或香港聯交所站：www.hkex.com.hk。"
6, 108/03/22, 23:28:36, 何明坤, 執行協理, 04-24615678#7369," 代持股50.97%子公司裕元工業持股100%之子公司
Great Pacific Investments Limited公告處分
Hua Jian Industrial Holding Co., Limited 50%股權","　第
20 款	"," 108/03/22
","
1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
Hua Jian Industrial Holding Co., Limited 50%股權
2.事實發生日:108/3/22~108/3/22
3.交易數量、每單位價格及交易總金額:
交易數量：1股
交易總金額：人民幣418,000,000元
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
交易相對人：自然人
與公司之關係：非關係人
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
不適用
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用
7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用
8.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明
認列情形）:
預估處分利益約美金20,000,000元
9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
收現
10.本次交易之決定方式、價格決定之參考依據及決策單位:
董事會決議
11.取得或處分有價證券標的公司每股淨值:
不適用
12.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
數量：0股
金額：美金0元
持股比例：0%
權利受限情形：無
13.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:
占公司總資產之比例：39.90%
占歸屬於母公司業主之權益之比例：55.20%
營運資金數額：新台幣-7,024,300仟元
14.經紀人及經紀費用:
無
15.取得或處分之具體目的或用途:
增加投資收益
16.本次交易表示異議董事之意見:
無
17.本次交易為關係人交易:否
18.董事會通過日期:
不適用
19.監察人承認或審計委員會同意日期:
不適用
20.本次交易會計師出具非合理性意見:否
21.會計師事務所名稱:
力登冠奇會計師事務所
22.會計師姓名:
徐志彬
23.會計師開業證書字號:
臺省會證字第4089號
24.其他敘明事項:
上述總交易金額新台幣1,925,726,000元(人民幣兌換新台幣匯率以4.607計算)"
7, 108/03/25, 18:28:44, 何明坤, 執行協理, 04-24615678#7369, 寶成工業董事會決議召開一○八年股東常會公告,"　第
17 款	"," 108/03/25
","
1.董事會決議日期:108/03/25
2.股東會召開日期:108/06/13
3.股東會召開地點:彰化縣福興鄉福工路2號福興工業區本公司三樓會議室
4.召集事由一、報告事項:
(一)、一○七年度營業及財務報告。
(二)、審計委員會查核一○七年度決算報告。
(三)、一○七年度員工酬勞及董事酬勞分派情形報告。
5.召集事由二、承認事項:
(一)、承認本公司一○七年度營業報告書及財務報表案。
(二)、承認本公司一○七年度盈餘分派案。
6.召集事由三、討論事項:
(一)、討論修訂本公司「公司章程」案。
(二)、討論修訂本公司「取得或處分資產處理程序」案。
(三)、討論修訂本公司「資金貸與他人作業程序」案。
(四)、討論修訂本公司「背書保證作業程序」案。
7.召集事由四、選舉事項:選舉董事案(含三席獨立董事)。
8.召集事由五、其他議案:擬請解除本公司董事競業禁止之限制案。
9.召集事由六、臨時動議:無。
10.停止過戶起始日期:108/04/15
11.停止過戶截止日期:108/06/13
12.其他應敘明事項:
一、本次股東常會受理股東提案期間及提名期間：108年3月29日至108年4月8日止。
    受理提案之地點：寶成工業股份有限公司。
    地址：40764台中市西屯區台灣大道四段600號13樓。
    電話：04-2461-5678分機7398。
二、盈餘分派相關內容尚未決定，預計股東常會40日前另行公告。"
8, 108/03/25, 18:29:58, 何明坤, 執行協理, 04-24615678#7369, 公告本公司董事會決議解除經理人競業禁止之限制,"　第
21 款	"," 108/03/25
","
1.董事會決議日:108/03/25
2.許可從事競業行為之經理人姓名及職稱:胡嘉和副總經理、蔡乃湧副總經理
張佳栗副總經理及吳惠琪協理
3.許可從事競業行為之項目:與本公司營業範圍相同或類似之公司
4.許可從事競業行為之期間:任職本公司經理人期間
5.決議情形（請依公司法第32條說明表決結果）:全體出席董事同意通過
6.所許可之競業行為如屬大陸地區事業之營業者，經理人姓名及職稱
（非屬大陸地區事業之營業者，以下請輸〝不適用〞）:不適用
7.所擔任該大陸地區事業之公司名稱及職務:不適用
8.所擔任該大陸地區事業地址:不適用
9.所擔任該大陸地區事業營業項目:不適用
10.對本公司財務業務之影響程度:不適用
11.經理人如有對該大陸地區事業從事投資者，其投資金額及持股比例:不適用
12.其他應敘明事項:無"
9, 108/03/25, 20:13:50, 何明坤, 執行協理, 04-24615678#7369, 代子公司Wealthplus Holdings Limited公告取得德意志銀行票券,"　第
20 款	"," 108/03/25
","
1.證券名稱:
3 Year Chinese Renminbi (“CNY”) Denominated Note(德意志銀行發行)
2.交易日期:108/3/25~108/3/25
3.交易數量、每單位價格及交易總金額:
交易總金額：人民幣429,000,000元
4.處分利益（或損失）（取得有價證券者不適用）:
不適用
5.與交易標的公司之關係:
無
6.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
累計取得總金額: 人民幣429,000,000元
持股比例:不適用
受限情形:無
7.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列之有價證券投
資（含本次交易）占公司最近期財務報表中總資產及歸屬於母公司業主之權益之比例
暨最近期財務報表中營運資金數額:
占公司總資產比例:58.66%
占歸屬於母公司業主之權益之比例:86.50%
營運資金數額:NTD-14,716,484仟元
8.取得或處分之具體目的:
固定收益投資
9.本次交易表示異議董事之意見:
無
10.本次交易為關係人交易:
否
11.交易相對人及其與公司之關係:
不適用
12.董事會通過日期:
不適用
13.監察人承認或審計委員會同意日期:
不適用
14.其他敘明事項:
上述交易總金額NTD1,974,687,000元(人民幣兌換新台幣匯率以4.603計算)"
